cell_id,Phaethornis bourcieri,Phaethornis bourcieri bourcieri,Phaethornis bourcieri major
835f00fffffffff,22.0,0.0,0.0
835f01fffffffff,9.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,216.0,0.0,0.0
835f06fffffffff,2.0,0.0,0.0
835f10fffffffff,12.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0
835f12fffffffff,3.0,0.0,0.0
835f13fffffffff,4.0,0.0,0.0
835f14fffffffff,10.0,0.0,0.0
835f16fffffffff,4.0,0.0,0.0
835f1cfffffffff,3.0,0.0,0.0
835f29fffffffff,1.0,0.0,0.0
835f2cfffffffff,1.0,0.0,0.0
835f54fffffffff,10.0,0.0,0.0
835f68fffffffff,2.0,0.0,0.0
835f70fffffffff,1.0,0.0,0.0
835f71fffffffff,46.0,7.0,0.0
835f75fffffffff,8.0,0.0,0.0
835f76fffffffff,12.0,0.0,0.0
836641fffffffff,74.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0
83664efffffffff,4.0,0.0,0.0
836656fffffffff,1.0,0.0,0.0
83665afffffffff,93.0,2.0,0.0
83665bfffffffff,71.0,0.0,0.0
83665efffffffff,15.0,0.0,0.0
836663fffffffff,2.0,0.0,0.0
83666bfffffffff,3.0,0.0,0.0
8366c0fffffffff,16.0,0.0,0.0
8366c1fffffffff,4.0,0.0,0.0
8366c2fffffffff,110.0,1.0,0.0
8366c3fffffffff,10.0,0.0,0.0
8366c5fffffffff,7.0,0.0,0.0
8366c8fffffffff,1.0,0.0,0.0
8366c9fffffffff,12.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0
8366cefffffffff,35.0,0.0,0.0
8366d1fffffffff,31.0,0.0,0.0
8366d8fffffffff,41.0,0.0,0.0
8366dafffffffff,8.0,0.0,0.0
8366dbfffffffff,4.0,0.0,0.0
8366dcfffffffff,307.0,14.0,0.0
8366ddfffffffff,41.0,2.0,0.0
8366defffffffff,91.0,0.0,0.0
8366e3fffffffff,1.0,0.0,0.0
8366e5fffffffff,9.0,0.0,0.0
8366e8fffffffff,4.0,0.0,0.0
8366e9fffffffff,9.0,0.0,0.0
8366eafffffffff,7.0,0.0,0.0
8366ecfffffffff,38.0,0.0,0.0
8366eefffffffff,12.0,0.0,0.0
83804dfffffffff,1.0,0.0,0.0
838068fffffffff,2.0,0.0,0.0
83806bfffffffff,8.0,0.0,0.0
838a00fffffffff,1.0,0.0,0.0
838a41fffffffff,2.0,0.0,0.0
838a45fffffffff,93.0,0.0,0.0
838a4bfffffffff,1.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0
838a68fffffffff,5.0,0.0,0.0
838a69fffffffff,22.0,0.0,0.0
838a6dfffffffff,60.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0
838a80fffffffff,5.0,0.0,0.0
838a9cfffffffff,2.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0
838ad8fffffffff,2.0,0.0,0.0
838adcfffffffff,2.0,0.0,0.0
838af0fffffffff,36.0,5.0,0.0
838af1fffffffff,1.0,0.0,0.0
838af2fffffffff,79.0,9.0,0.0
838af4fffffffff,2.0,0.0,0.0
838af6fffffffff,299.0,10.0,0.0
838b5cfffffffff,2.0,0.0,0.0
838b69fffffffff,9.0,0.0,0.0
838b99fffffffff,18.0,0.0,0.0
838b9dfffffffff,2.0,0.0,0.0
838f41fffffffff,1.0,0.0,0.0
838f44fffffffff,9.0,0.0,0.0
838f48fffffffff,16.0,0.0,0.0
838f4cfffffffff,1.0,0.0,0.0
838f61fffffffff,6.0,0.0,0.0
838f63fffffffff,1.0,0.0,0.0
838f65fffffffff,9.0,0.0,0.0
838f71fffffffff,3.0,0.0,0.0
838f74fffffffff,3.0,0.0,0.0
