cell_id,Phaethornis griseogularis,Phaethornis griseogularis porcullae,Phaethornis griseogularis griseogularis/zonura
8466091ffffffff,3.0,0.0,0.0
8466097ffffffff,4.0,0.0,0.0
8466099ffffffff,12.0,0.0,0.0
84660b3ffffffff,15.0,0.0,0.0
84660b7ffffffff,2.0,0.0,0.0
84660c1ffffffff,4.0,0.0,0.0
84660cbffffffff,14.0,0.0,0.0
84660d1ffffffff,16.0,0.0,0.0
84660d9ffffffff,6.0,0.0,0.0
84660ddffffffff,4.0,0.0,0.0
8466213ffffffff,9.0,0.0,0.0
8466293ffffffff,2.0,0.0,0.0
846629bffffffff,1.0,0.0,0.0
846629dffffffff,4.0,0.0,0.0
84662b7ffffffff,26.0,0.0,0.0
84662d3ffffffff,23.0,0.0,0.0
84662e1ffffffff,2.0,0.0,0.0
84662e9ffffffff,5.0,0.0,0.0
8466529ffffffff,3.0,0.0,0.0
846652dffffffff,2.0,0.0,0.0
8466565ffffffff,6.0,0.0,0.0
846656dffffffff,73.0,0.0,0.0
8466639ffffffff,1.0,0.0,0.0
84666c5ffffffff,1.0,0.0,0.0
8466725ffffffff,8.0,0.0,0.0
8466737ffffffff,6.0,0.0,0.0
8466c01ffffffff,31.0,0.0,0.0
8466c05ffffffff,14.0,0.0,0.0
8466c09ffffffff,3.0,0.0,0.0
8466c0dffffffff,252.0,0.0,4.0
8466c17ffffffff,4.0,0.0,0.0
8466c19ffffffff,4.0,0.0,0.0
8466c1dffffffff,3.0,0.0,0.0
8466c21ffffffff,96.0,0.0,0.0
8466c23ffffffff,12.0,0.0,0.0
8466c27ffffffff,7.0,0.0,0.0
8466c29ffffffff,57.0,0.0,0.0
8466c2bffffffff,5.0,0.0,0.0
8466c2dffffffff,117.0,0.0,0.0
8466c4bffffffff,1.0,0.0,0.0
8466c53ffffffff,10.0,0.0,0.0
8466c57ffffffff,23.0,0.0,0.0
8466c5bffffffff,7.0,0.0,0.0
8466c5dffffffff,66.0,0.0,0.0
8466c67ffffffff,64.0,0.0,0.0
8466cdbffffffff,3.0,0.0,0.0
8466ce9ffffffff,8.0,0.0,0.0
8466d19ffffffff,2.0,0.0,0.0
8466d1bffffffff,262.0,0.0,0.0
8466da1ffffffff,5.0,0.0,0.0
8466da7ffffffff,4.0,0.0,0.0
8466da9ffffffff,2.0,0.0,0.0
8466dadffffffff,99.0,0.0,5.0
8466dc9ffffffff,1.0,0.0,0.0
8466de1ffffffff,466.0,0.0,31.0
8466de3ffffffff,1.0,0.0,0.0
8466de7ffffffff,7.0,0.0,0.0
8466debffffffff,29.0,0.0,2.0
8466dedffffffff,1.0,0.0,0.0
8466e03ffffffff,98.0,0.0,5.0
8466e0bffffffff,127.0,0.0,0.0
8466e11ffffffff,17.0,0.0,0.0
8466e15ffffffff,33.0,0.0,0.0
8466e1dffffffff,117.0,0.0,0.0
8466e31ffffffff,2.0,0.0,0.0
8466e37ffffffff,2.0,0.0,0.0
8466e39ffffffff,8.0,0.0,0.0
8466e3bffffffff,22.0,0.0,0.0
8466e3dffffffff,8.0,0.0,0.0
8466e51ffffffff,26.0,0.0,0.0
8466e53ffffffff,13.0,0.0,0.0
8466e55ffffffff,22.0,0.0,0.0
8466e57ffffffff,898.0,0.0,0.0
8466e59ffffffff,259.0,0.0,4.0
8466e5bffffffff,2.0,0.0,0.0
8466e5dffffffff,11.0,0.0,0.0
8466ec5ffffffff,1.0,0.0,0.0
8466ec7ffffffff,13.0,0.0,0.0
8466ecbffffffff,1.0,0.0,0.0
8466ee5ffffffff,30.0,0.0,0.0
8466ee7ffffffff,6.0,0.0,0.0
8466eedffffffff,3.0,0.0,0.0
8467537ffffffff,6.0,0.0,0.0
84675a5ffffffff,9.0,0.0,0.0
84675adffffffff,1.0,0.0,0.0
84675ebffffffff,2.0,0.0,0.0
848f08bffffffff,2.0,0.0,0.0
848f093ffffffff,4.0,0.0,0.0
848f0d1ffffffff,32.0,6.0,0.0
848f0d3ffffffff,63.0,0.0,0.0
848f0d5ffffffff,1.0,0.0,0.0
848f0d7ffffffff,3.0,0.0,0.0
848f29bffffffff,1.0,0.0,0.0
848f401ffffffff,1.0,0.0,0.0
848f421ffffffff,1.0,0.0,0.0
848f439ffffffff,9.0,0.0,0.0
848f461ffffffff,1.0,0.0,0.0
848f463ffffffff,7.0,0.0,0.0
848f465ffffffff,66.0,0.0,0.0
848f467ffffffff,9.0,0.0,0.0
848f501ffffffff,5.0,0.0,0.0
848f509ffffffff,42.0,0.0,0.0
848f50dffffffff,143.0,8.0,0.0
848f541ffffffff,2.0,0.0,0.0
848f543ffffffff,1.0,0.0,0.0
848f545ffffffff,17.0,6.0,0.0
848f547ffffffff,89.0,27.0,0.0
848f549ffffffff,15.0,0.0,0.0
848f54bffffffff,26.0,0.0,0.0
848f54dffffffff,21.0,6.0,0.0
848f553ffffffff,2.0,0.0,0.0
848f559ffffffff,59.0,0.0,0.0
848f55bffffffff,5.0,0.0,0.0
848f705ffffffff,33.0,0.0,8.0
848f70dffffffff,3.0,0.0,0.0
848f721ffffffff,19.0,0.0,3.0
848f723ffffffff,1.0,0.0,0.0
848f727ffffffff,10.0,0.0,0.0
848f729ffffffff,301.0,0.0,29.0
848f72bffffffff,60.0,0.0,13.0
848f72dffffffff,11.0,0.0,0.0
848f733ffffffff,38.0,0.0,0.0
848f745ffffffff,29.0,0.0,0.0
848f74dffffffff,11.0,0.0,0.0
848f763ffffffff,22.0,0.0,2.0
848f76bffffffff,12.0,0.0,0.0
