cell_id,Phaethornis malaris,Phaethornis malaris malaris/insolitus,Phaethornis malaris [moorei Group],Phaethornis malaris margarettae
84664e9ffffffff,1.0,0.0,0.0,0.0
84665abffffffff,3.0,0.0,0.0,0.0
8466c0dffffffff,7.0,0.0,0.0,0.0
8466c4bffffffff,4.0,0.0,0.0,0.0
8466dadffffffff,14.0,0.0,14.0,0.0
8466dc3ffffffff,2.0,0.0,0.0,0.0
8466dc7ffffffff,1.0,0.0,0.0,0.0
8466de1ffffffff,1.0,0.0,1.0,0.0
8466de3ffffffff,2.0,0.0,0.0,0.0
8466debffffffff,1.0,0.0,1.0,0.0
8466e15ffffffff,7.0,0.0,2.0,0.0
8466e3bffffffff,4.0,0.0,0.0,0.0
8481321ffffffff,2.0,0.0,0.0,2.0
8481323ffffffff,2.0,0.0,0.0,2.0
8481327ffffffff,2.0,0.0,0.0,2.0
8481851ffffffff,26.0,0.0,0.0,26.0
848a45dffffffff,6.0,0.0,0.0,0.0
848b693ffffffff,6.0,0.0,0.0,0.0
848b745ffffffff,1.0,0.0,0.0,0.0
848b76bffffffff,1.0,0.0,0.0,0.0
848b9d5ffffffff,4.0,0.0,0.0,0.0
848f463ffffffff,4.0,0.0,0.0,0.0
848f731ffffffff,2.0,0.0,0.0,0.0
