cell_id,Phaethornis malaris,Phaethornis malaris malaris/insolitus,Phaethornis malaris [moorei Group],Phaethornis malaris margarettae
825f07fffffffff,3.0,0.0,0.0,0.0
825f17fffffffff,22.0,1.0,0.0,0.0
826647fffffffff,47.0,0.0,0.0,0.0
82664ffffffffff,10.0,0.0,0.0,0.0
826657fffffffff,12.0,0.0,0.0,0.0
82665ffffffffff,250.0,0.0,30.0,0.0
826667fffffffff,3.0,0.0,0.0,0.0
826677fffffffff,7.0,0.0,0.0,0.0
8266c7fffffffff,111.0,0.0,2.0,0.0
8266cffffffffff,30.0,0.0,9.0,0.0
8266d7fffffffff,124.0,0.0,0.0,0.0
8266dffffffffff,958.0,0.0,108.0,0.0
8266e7fffffffff,23.0,0.0,0.0,0.0
8266effffffffff,206.0,0.0,6.0,0.0
82804ffffffffff,4.0,0.0,0.0,0.0
82806ffffffffff,3.0,0.0,0.0,0.0
828117fffffffff,2.0,0.0,0.0,0.0
828137fffffffff,37.0,0.0,0.0,34.0
828a07fffffffff,12.0,0.0,0.0,0.0
828a17fffffffff,14.0,0.0,0.0,0.0
828a1ffffffffff,23.0,0.0,0.0,0.0
828a27fffffffff,3.0,0.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0,0.0
828a47fffffffff,89.0,0.0,9.0,0.0
828a5ffffffffff,1.0,0.0,0.0,0.0
828a6ffffffffff,233.0,0.0,0.0,0.0
828a87fffffffff,2.0,0.0,0.0,0.0
828a9ffffffffff,2.0,0.0,0.0,0.0
828af7fffffffff,31.0,0.0,0.0,0.0
828b0ffffffffff,1.0,0.0,0.0,0.0
828b27fffffffff,75.0,0.0,0.0,0.0
828b2ffffffffff,33.0,0.0,0.0,0.0
828b47fffffffff,174.0,0.0,0.0,0.0
828b4ffffffffff,5.0,0.0,0.0,0.0
828b57fffffffff,4.0,0.0,0.0,0.0
828b67fffffffff,370.0,0.0,0.0,0.0
828b6ffffffffff,61.0,0.0,0.0,0.0
828b77fffffffff,88.0,0.0,0.0,0.0
828f47fffffffff,628.0,0.0,78.0,0.0
828f4ffffffffff,53.0,0.0,0.0,0.0
828f5ffffffffff,15.0,0.0,0.0,0.0
828f67fffffffff,43.0,0.0,0.0,0.0
828f6ffffffffff,19.0,0.0,0.0,0.0
828f77fffffffff,80.0,0.0,13.0,0.0
82a597fffffffff,4.0,0.0,0.0,3.0
82b327fffffffff,44.0,0.0,0.0,0.0
