cell_id,Phrygilus gayi,Phrygilus gayi minor,Phrygilus gayi gayi/caniceps
83b204fffffffff,10.0,0.0,0.0
83b222fffffffff,81.0,21.0,0.0
83b223fffffffff,2.0,0.0,0.0
83b226fffffffff,7.0,0.0,0.0
83b256fffffffff,4.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0
83b2c0fffffffff,433.0,3.0,2.0
83b2c1fffffffff,10.0,0.0,0.0
83b2c2fffffffff,15.0,15.0,0.0
83b2c3fffffffff,29.0,9.0,0.0
83b2c4fffffffff,1896.0,8.0,0.0
83b2c5fffffffff,4347.0,18.0,4.0
83b2c8fffffffff,3.0,0.0,0.0
83b2cafffffffff,26.0,0.0,0.0
83b2cefffffffff,4.0,0.0,0.0
83b2d8fffffffff,2.0,0.0,0.0
83b2d9fffffffff,5.0,0.0,0.0
83b2dafffffffff,7.0,0.0,0.0
83b2dcfffffffff,4.0,0.0,0.0
83b2ddfffffffff,7.0,0.0,0.0
83b2e1fffffffff,2.0,0.0,0.0
83b2e2fffffffff,167.0,5.0,0.0
83b2e3fffffffff,285.0,1.0,0.0
83b2eafffffffff,82.0,0.0,3.0
83b2ebfffffffff,6.0,0.0,0.0
83b2ecfffffffff,4.0,0.0,0.0
83b2eefffffffff,4.0,0.0,0.0
83b35afffffffff,2.0,0.0,0.0
83c320fffffffff,1.0,0.0,1.0
83ce99fffffffff,12.0,0.0,0.0
83ce9dfffffffff,4.0,0.0,0.0
83cea0fffffffff,2.0,0.0,0.0
83cf12fffffffff,1.0,0.0,0.0
83cfa1fffffffff,3.0,0.0,0.0
83cfa4fffffffff,8.0,0.0,2.0
83df45fffffffff,4.0,0.0,0.0
83df69fffffffff,2.0,0.0,0.0
83df6bfffffffff,1.0,0.0,1.0
