cell_id,Phylloscopus poliocephalus,Phylloscopus poliocephalus suaramerdu,Phylloscopus poliocephalus emilsalimi,Phylloscopus poliocephalus henrietta,Phylloscopus poliocephalus waterstradti,Phylloscopus poliocephalus everetti,Phylloscopus poliocephalus ceramensis,Phylloscopus poliocephalus avicola,Phylloscopus poliocephalus [poliocephalus Group],Phylloscopus poliocephalus [matthiae Group]
8268dffffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82728ffffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
827297fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
8272a7fffffffff,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0
8272d7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
8272dffffffffff,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0
827397fffffffff,65.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
82739ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
827687fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82769ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827797fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82779ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829547fffffffff,80.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
829567fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82956ffffffffff,199.0,0.0,0.0,0.0,1.0,0.0,163.0,0.0,0.0,0.0
829c87fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
829c8ffffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
829c97fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829c9ffffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
829cb7fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829cd7fffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
829ed7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829edffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
