cell_id,Phylloscopus trochiloides,Phylloscopus trochiloides viridanus,Phylloscopus trochiloides trochiloides/ludlowi,Phylloscopus trochiloides obscuratus
8408b67ffffffff,1.0,0.0,0.0,0.0
8409993ffffffff,2.0,0.0,0.0,0.0
8409a45ffffffff,1.0,0.0,0.0,0.0
8409a47ffffffff,2.0,0.0,0.0,0.0
841828bffffffff,1.0,0.0,0.0,0.0
8419401ffffffff,3.0,0.0,0.0,0.0
841940dffffffff,2.0,0.0,0.0,0.0
8419411ffffffff,2.0,0.0,0.0,0.0
8419413ffffffff,2.0,0.0,0.0,0.0
8419415ffffffff,5.0,0.0,0.0,0.0
841941dffffffff,3.0,1.0,0.0,0.0
8419461ffffffff,2.0,0.0,0.0,0.0
841946bffffffff,2.0,0.0,0.0,0.0
841948dffffffff,1.0,0.0,0.0,0.0
84194c5ffffffff,1.0,0.0,0.0,0.0
84194ddffffffff,2.0,0.0,0.0,0.0
8419519ffffffff,1.0,0.0,0.0,0.0
841972bffffffff,2.0,0.0,0.0,0.0
8419733ffffffff,1.0,0.0,0.0,0.0
8419739ffffffff,2.0,0.0,0.0,0.0
841973bffffffff,2.0,0.0,0.0,0.0
841e049ffffffff,4.0,0.0,0.0,0.0
841e057ffffffff,2.0,0.0,0.0,0.0
841e0ddffffffff,2.0,0.0,0.0,0.0
841e22dffffffff,12.0,0.0,0.0,0.0
841e23dffffffff,2.0,0.0,0.0,0.0
841e2a1ffffffff,1.0,0.0,0.0,0.0
841e2a5ffffffff,1.0,0.0,0.0,0.0
841e35bffffffff,1.0,0.0,0.0,0.0
841e6d9ffffffff,2.0,0.0,0.0,0.0
841e769ffffffff,2.0,0.0,0.0,0.0
841f051ffffffff,2.0,0.0,0.0,0.0
841f137ffffffff,2.0,0.0,0.0,0.0
841f2a3ffffffff,15.0,15.0,0.0,0.0
841f325ffffffff,2.0,0.0,0.0,0.0
841f33dffffffff,5.0,0.0,0.0,0.0
841f523ffffffff,2.0,0.0,0.0,0.0
841f725ffffffff,8.0,0.0,0.0,0.0
841f72dffffffff,2.0,0.0,0.0,0.0
841f8ebffffffff,1.0,0.0,0.0,0.0
841fa35ffffffff,2.0,0.0,0.0,0.0
8420103ffffffff,1.0,1.0,0.0,0.0
84201a3ffffffff,2.0,0.0,0.0,0.0
84201abffffffff,4.0,0.0,0.0,0.0
84201b9ffffffff,3.0,3.0,0.0,0.0
842099bffffffff,1.0,0.0,0.0,0.0
84209b3ffffffff,1.0,0.0,0.0,0.0
8420e3dffffffff,2.0,2.0,0.0,0.0
8420e61ffffffff,2.0,0.0,0.0,0.0
8420e65ffffffff,1.0,0.0,0.0,0.0
8420e69ffffffff,2.0,2.0,0.0,0.0
84240cdffffffff,2.0,0.0,0.0,0.0
8425ac9ffffffff,8.0,8.0,0.0,0.0
842c51bffffffff,1.0,0.0,0.0,0.0
842c56dffffffff,1.0,0.0,0.0,0.0
842c5e9ffffffff,2.0,0.0,0.0,0.0
842d64dffffffff,2.0,0.0,0.0,0.0
843c027ffffffff,1.0,0.0,0.0,0.0
843c029ffffffff,3.0,0.0,0.0,0.0
843c02dffffffff,2.0,0.0,0.0,0.0
843c0a1ffffffff,4.0,0.0,4.0,0.0
843c0a5ffffffff,16.0,0.0,6.0,0.0
843c0a9ffffffff,2.0,0.0,0.0,0.0
843c0adffffffff,27.0,0.0,27.0,0.0
843c159ffffffff,2.0,0.0,0.0,0.0
843c191ffffffff,2.0,0.0,0.0,0.0
843c199ffffffff,7.0,0.0,1.0,0.0
843c19bffffffff,1.0,0.0,0.0,0.0
843c1b5ffffffff,5.0,0.0,0.0,0.0
843c1b9ffffffff,3.0,0.0,0.0,0.0
843c1c3ffffffff,18.0,0.0,0.0,0.0
843c1c7ffffffff,2.0,0.0,0.0,0.0
843c1d1ffffffff,3.0,0.0,0.0,0.0
843c1d3ffffffff,6.0,0.0,0.0,0.0
843c1dbffffffff,3.0,0.0,0.0,0.0
843c333ffffffff,1.0,0.0,0.0,0.0
843c337ffffffff,1.0,0.0,0.0,0.0
843c363ffffffff,3.0,0.0,0.0,0.0
843c367ffffffff,6.0,6.0,0.0,0.0
843c36bffffffff,3.0,0.0,0.0,0.0
843c527ffffffff,12.0,0.0,2.0,0.0
843c533ffffffff,4.0,0.0,0.0,0.0
843c581ffffffff,92.0,0.0,0.0,10.0
843c585ffffffff,6.0,0.0,0.0,0.0
843c587ffffffff,3.0,0.0,0.0,0.0
843c589ffffffff,1.0,0.0,0.0,0.0
843c5a1ffffffff,26.0,0.0,26.0,0.0
843c5a9ffffffff,18.0,0.0,18.0,0.0
843c5d1ffffffff,1.0,0.0,0.0,0.0
843c5d5ffffffff,1.0,0.0,0.0,0.0
843c899ffffffff,8.0,0.0,0.0,8.0
843c8c7ffffffff,2.0,0.0,0.0,0.0
843c8cbffffffff,2.0,0.0,0.0,0.0
843c8d7ffffffff,4.0,0.0,0.0,0.0
843c8d9ffffffff,6.0,0.0,0.0,0.0
843c8dbffffffff,4.0,0.0,0.0,0.0
843c8e5ffffffff,2.0,0.0,0.0,0.0
843c92dffffffff,4.0,0.0,0.0,0.0
843c949ffffffff,2.0,0.0,0.0,0.0
