cell_id,Pica pica,Pica pica melanotos,Pica pica [pica Group],Pica pica camtschatica
840120bffffffff,2.0,0.0,2.0,0.0
840120dffffffff,2.0,0.0,0.0,0.0
8401227ffffffff,2.0,0.0,0.0,0.0
840123dffffffff,7.0,0.0,0.0,0.0
8401243ffffffff,2.0,0.0,0.0,0.0
8401259ffffffff,1.0,0.0,0.0,0.0
840125dffffffff,4.0,0.0,0.0,0.0
8401261ffffffff,6.0,0.0,0.0,0.0
8401265ffffffff,34.0,0.0,4.0,0.0
8401267ffffffff,2.0,0.0,0.0,0.0
8401269ffffffff,2.0,0.0,0.0,0.0
840126bffffffff,4.0,0.0,0.0,0.0
840126dffffffff,1.0,0.0,0.0,0.0
840130bffffffff,28.0,0.0,0.0,0.0
8401319ffffffff,12.0,0.0,0.0,0.0
840131dffffffff,8.0,0.0,0.0,0.0
840134bffffffff,8.0,0.0,2.0,0.0
8401351ffffffff,96.0,0.0,19.0,0.0
8401353ffffffff,14.0,0.0,0.0,0.0
8401355ffffffff,31.0,0.0,10.0,0.0
8401359ffffffff,1.0,0.0,0.0,0.0
840135bffffffff,67.0,0.0,4.0,0.0
840135dffffffff,11.0,0.0,4.0,0.0
8408007ffffffff,3.0,0.0,0.0,0.0
8408025ffffffff,5.0,0.0,0.0,0.0
840802bffffffff,3.0,0.0,0.0,0.0
8408065ffffffff,28.0,0.0,0.0,0.0
8408105ffffffff,5.0,0.0,0.0,0.0
8408107ffffffff,5.0,0.0,0.0,0.0
840810dffffffff,7.0,0.0,0.0,0.0
8408111ffffffff,2.0,0.0,0.0,0.0
8408113ffffffff,1.0,0.0,0.0,0.0
8408115ffffffff,2.0,0.0,0.0,0.0
8408119ffffffff,4.0,0.0,0.0,0.0
840811dffffffff,11.0,0.0,0.0,0.0
8408123ffffffff,2.0,0.0,0.0,0.0
8408127ffffffff,2.0,0.0,0.0,0.0
8408129ffffffff,2.0,0.0,1.0,0.0
840812bffffffff,2.0,0.0,0.0,0.0
8408133ffffffff,18.0,0.0,0.0,0.0
8408135ffffffff,2.0,0.0,0.0,0.0
8408137ffffffff,2.0,0.0,0.0,0.0
8408147ffffffff,2.0,0.0,2.0,0.0
8408149ffffffff,2.0,0.0,0.0,0.0
840814bffffffff,2.0,0.0,0.0,0.0
840814dffffffff,3.0,0.0,0.0,0.0
8408151ffffffff,116.0,0.0,2.0,0.0
8408153ffffffff,8.0,0.0,0.0,0.0
8408159ffffffff,178.0,0.0,9.0,0.0
840815bffffffff,29.0,0.0,1.0,0.0
8408165ffffffff,6.0,0.0,4.0,0.0
840816bffffffff,2.0,0.0,0.0,0.0
8408193ffffffff,10.0,0.0,0.0,0.0
840819bffffffff,1.0,0.0,0.0,0.0
84081d9ffffffff,3.0,0.0,0.0,0.0
84081e5ffffffff,22.0,0.0,0.0,0.0
84081e7ffffffff,2.0,0.0,0.0,0.0
84081ebffffffff,2.0,0.0,0.0,0.0
84081edffffffff,6.0,0.0,0.0,0.0
8408283ffffffff,2.0,0.0,0.0,0.0
8408287ffffffff,4.0,0.0,0.0,0.0
8408293ffffffff,2.0,0.0,0.0,0.0
840829bffffffff,7.0,0.0,0.0,0.0
84082a5ffffffff,6.0,0.0,2.0,0.0
84082abffffffff,1.0,0.0,0.0,0.0
84082b1ffffffff,2.0,0.0,0.0,0.0
84082b7ffffffff,2.0,0.0,0.0,0.0
84082b9ffffffff,2.0,0.0,0.0,0.0
84082bbffffffff,2.0,0.0,0.0,0.0
84082bdffffffff,2.0,0.0,0.0,0.0
84082dbffffffff,1.0,0.0,0.0,0.0
8408305ffffffff,2.0,0.0,0.0,0.0
8408321ffffffff,2.0,0.0,0.0,0.0
8408329ffffffff,7.0,0.0,0.0,0.0
840832bffffffff,2.0,0.0,1.0,0.0
840832dffffffff,3.0,0.0,0.0,0.0
8408331ffffffff,3.0,0.0,0.0,0.0
8408333ffffffff,9.0,0.0,0.0,0.0
8408339ffffffff,4.0,0.0,0.0,0.0
840833bffffffff,14.0,0.0,0.0,0.0
840833dffffffff,5.0,0.0,0.0,0.0
8408361ffffffff,8.0,0.0,0.0,0.0
8408363ffffffff,4.0,0.0,0.0,0.0
8408365ffffffff,26.0,0.0,0.0,0.0
840836dffffffff,32.0,0.0,0.0,0.0
8408805ffffffff,4.0,0.0,0.0,0.0
8408807ffffffff,10.0,0.0,0.0,0.0
8408809ffffffff,16.0,0.0,0.0,0.0
840880bffffffff,9.0,0.0,0.0,0.0
840880dffffffff,184.0,0.0,0.0,0.0
8408829ffffffff,54.0,0.0,0.0,0.0
840882bffffffff,9.0,0.0,0.0,0.0
840882dffffffff,11.0,0.0,0.0,0.0
8408831ffffffff,12.0,0.0,0.0,0.0
8408837ffffffff,20.0,0.0,0.0,0.0
8408839ffffffff,18.0,0.0,0.0,0.0
840883dffffffff,26.0,0.0,0.0,0.0
8408841ffffffff,20.0,0.0,0.0,0.0
8408843ffffffff,5.0,0.0,0.0,0.0
8408845ffffffff,11.0,0.0,0.0,0.0
8408847ffffffff,5.0,0.0,0.0,0.0
840884bffffffff,8.0,0.0,0.0,0.0
840884dffffffff,2.0,0.0,0.0,0.0
8408851ffffffff,3.0,0.0,0.0,0.0
8408855ffffffff,10.0,0.0,0.0,0.0
8408859ffffffff,6.0,0.0,0.0,0.0
840885bffffffff,4.0,0.0,0.0,0.0
840885dffffffff,8.0,0.0,0.0,0.0
8408861ffffffff,7.0,0.0,0.0,0.0
8408863ffffffff,89.0,0.0,0.0,0.0
8408865ffffffff,10.0,0.0,0.0,0.0
8408867ffffffff,596.0,0.0,0.0,0.0
8408869ffffffff,52.0,0.0,0.0,0.0
840886bffffffff,124.0,0.0,0.0,0.0
8408885ffffffff,2.0,0.0,0.0,0.0
8408889ffffffff,23.0,0.0,2.0,0.0
840888dffffffff,15.0,0.0,5.0,0.0
8408891ffffffff,2.0,0.0,0.0,0.0
8408893ffffffff,4.0,0.0,0.0,0.0
8408895ffffffff,1.0,0.0,0.0,0.0
8408897ffffffff,1.0,0.0,0.0,0.0
8408899ffffffff,4.0,0.0,0.0,0.0
84088a1ffffffff,9.0,0.0,0.0,0.0
84088a3ffffffff,4.0,0.0,0.0,0.0
84088a9ffffffff,9.0,0.0,2.0,0.0
84088adffffffff,4.0,0.0,0.0,0.0
84088b7ffffffff,2.0,0.0,0.0,0.0
84088d3ffffffff,7.0,0.0,7.0,0.0
84088e1ffffffff,4.0,0.0,4.0,0.0
84088e3ffffffff,3.0,0.0,0.0,0.0
84088e7ffffffff,6.0,0.0,6.0,0.0
8408901ffffffff,7.0,0.0,0.0,0.0
8408937ffffffff,2.0,0.0,0.0,0.0
8408959ffffffff,49.0,0.0,0.0,0.0
840895bffffffff,64.0,0.0,0.0,0.0
8408961ffffffff,7.0,0.0,0.0,0.0
8408965ffffffff,12.0,0.0,0.0,0.0
840896bffffffff,4.0,0.0,0.0,0.0
8408985ffffffff,28.0,0.0,0.0,0.0
840898bffffffff,19.0,0.0,0.0,0.0
8408991ffffffff,36.0,0.0,8.0,0.0
8408995ffffffff,45.0,0.0,4.0,0.0
8408997ffffffff,174.0,0.0,43.0,0.0
8408999ffffffff,8.0,0.0,2.0,0.0
840899bffffffff,1.0,0.0,0.0,0.0
840899dffffffff,7.0,0.0,0.0,0.0
84089a1ffffffff,23.0,0.0,0.0,0.0
84089a5ffffffff,7.0,0.0,0.0,0.0
84089a7ffffffff,12.0,0.0,0.0,0.0
84089a9ffffffff,70.0,0.0,0.0,0.0
84089abffffffff,8.0,0.0,0.0,0.0
84089adffffffff,2.0,0.0,0.0,0.0
84089b1ffffffff,18.0,0.0,0.0,0.0
84089b5ffffffff,1.0,0.0,0.0,0.0
84089b7ffffffff,4.0,0.0,0.0,0.0
84089bbffffffff,29.0,0.0,0.0,0.0
84089bdffffffff,14.0,0.0,0.0,0.0
84089d1ffffffff,45.0,0.0,1.0,0.0
84089d3ffffffff,189.0,0.0,5.0,0.0
84089d7ffffffff,3.0,0.0,0.0,0.0
84089d9ffffffff,13.0,0.0,0.0,0.0
84089dbffffffff,36.0,0.0,0.0,0.0
84089e1ffffffff,6.0,0.0,0.0,0.0
84089e3ffffffff,19.0,0.0,0.0,0.0
84089e5ffffffff,4.0,0.0,0.0,0.0
84089e7ffffffff,2.0,0.0,0.0,0.0
84089ebffffffff,11.0,0.0,0.0,0.0
8408a01ffffffff,2.0,0.0,0.0,0.0
8408a07ffffffff,2.0,0.0,0.0,0.0
8408a0bffffffff,1.0,0.0,0.0,0.0
8408a15ffffffff,4.0,0.0,0.0,0.0
8408a21ffffffff,2.0,0.0,0.0,0.0
8408a25ffffffff,1.0,0.0,0.0,0.0
8408a27ffffffff,41.0,0.0,0.0,0.0
8408a31ffffffff,3.0,0.0,0.0,0.0
8408a35ffffffff,16.0,0.0,0.0,0.0
8408a39ffffffff,5.0,0.0,0.0,0.0
8408a3dffffffff,2.0,0.0,0.0,0.0
8408a43ffffffff,4.0,0.0,0.0,0.0
8408a45ffffffff,27.0,0.0,18.0,0.0
8408a4bffffffff,4.0,0.0,0.0,0.0
8408a4dffffffff,2.0,0.0,0.0,0.0
8408a53ffffffff,2.0,0.0,0.0,0.0
8408a5bffffffff,2.0,0.0,2.0,0.0
8408a61ffffffff,2.0,0.0,0.0,0.0
8408a63ffffffff,2.0,0.0,0.0,0.0
8408a69ffffffff,6.0,0.0,4.0,0.0
8408a6dffffffff,9.0,0.0,5.0,0.0
8408a81ffffffff,3.0,0.0,0.0,0.0
8408a97ffffffff,1.0,0.0,0.0,0.0
8408acdffffffff,2.0,0.0,0.0,0.0
8408ad9ffffffff,1.0,0.0,0.0,0.0
8408ae3ffffffff,4.0,0.0,0.0,0.0
8408b05ffffffff,6.0,0.0,2.0,0.0
8408b07ffffffff,3.0,0.0,0.0,0.0
8408b09ffffffff,4.0,0.0,0.0,0.0
8408b0dffffffff,27.0,0.0,0.0,0.0
8408b11ffffffff,84.0,0.0,0.0,0.0
8408b15ffffffff,19.0,0.0,0.0,0.0
8408b17ffffffff,7.0,0.0,0.0,0.0
8408b1bffffffff,2.0,0.0,0.0,0.0
8408b1dffffffff,4.0,0.0,0.0,0.0
8408b29ffffffff,2.0,0.0,0.0,0.0
8408b2bffffffff,2.0,0.0,0.0,0.0
8408b31ffffffff,3.0,0.0,0.0,0.0
8408b33ffffffff,13.0,0.0,0.0,0.0
8408b37ffffffff,5.0,0.0,0.0,0.0
8408b3bffffffff,6.0,0.0,0.0,0.0
8408b3dffffffff,21.0,0.0,0.0,0.0
8408b41ffffffff,15.0,0.0,0.0,0.0
8408b47ffffffff,4.0,0.0,0.0,0.0
8408b49ffffffff,4.0,0.0,0.0,0.0
8408b4dffffffff,4.0,0.0,0.0,0.0
8408b51ffffffff,11.0,0.0,0.0,0.0
8408b53ffffffff,4.0,0.0,0.0,0.0
8408b57ffffffff,6.0,0.0,0.0,0.0
8408b5bffffffff,4.0,0.0,0.0,0.0
8408b61ffffffff,1.0,0.0,0.0,0.0
8408b63ffffffff,5.0,0.0,0.0,0.0
8408b65ffffffff,5.0,0.0,0.0,0.0
8408b67ffffffff,22.0,0.0,0.0,0.0
8408b6bffffffff,3.0,0.0,0.0,0.0
8408b6dffffffff,1.0,0.0,0.0,0.0
8408c01ffffffff,2.0,0.0,0.0,0.0
8408c07ffffffff,3.0,0.0,0.0,0.0
8408c19ffffffff,14.0,0.0,0.0,0.0
8408c1bffffffff,6.0,0.0,0.0,0.0
8408c21ffffffff,6.0,0.0,2.0,0.0
8408c25ffffffff,4.0,0.0,2.0,0.0
8408c29ffffffff,12.0,0.0,2.0,0.0
8408c2bffffffff,4.0,0.0,0.0,0.0
8408c31ffffffff,17.0,0.0,0.0,0.0
8408c33ffffffff,1.0,0.0,0.0,0.0
8408c35ffffffff,1.0,0.0,0.0,0.0
8408c3dffffffff,2.0,0.0,0.0,0.0
8408c43ffffffff,1.0,0.0,0.0,0.0
8408c57ffffffff,1.0,0.0,0.0,0.0
8408c81ffffffff,5.0,0.0,0.0,0.0
8408c85ffffffff,2.0,0.0,0.0,0.0
8408c89ffffffff,8.0,0.0,0.0,0.0
8408c8bffffffff,40.0,0.0,1.0,0.0
8408c8dffffffff,12.0,0.0,2.0,0.0
8408c91ffffffff,4.0,0.0,0.0,0.0
8408c93ffffffff,13.0,0.0,0.0,0.0
8408c95ffffffff,15.0,0.0,4.0,0.0
8408c97ffffffff,31.0,0.0,16.0,0.0
8408c99ffffffff,3.0,0.0,0.0,0.0
8408c9bffffffff,2.0,0.0,0.0,0.0
8408cc7ffffffff,2.0,0.0,2.0,0.0
8408cd3ffffffff,12.0,0.0,0.0,0.0
8408cd5ffffffff,22.0,0.0,0.0,0.0
8408cd7ffffffff,31.0,0.0,0.0,0.0
8408cdbffffffff,3.0,0.0,0.0,0.0
8408ce1ffffffff,13.0,0.0,2.0,0.0
8408ce5ffffffff,5.0,0.0,0.0,0.0
8408cebffffffff,5.0,0.0,0.0,0.0
8408cedffffffff,4.0,0.0,4.0,0.0
8408d01ffffffff,1.0,0.0,0.0,0.0
8408d03ffffffff,2.0,0.0,0.0,0.0
8408d07ffffffff,7.0,0.0,0.0,0.0
8408d0bffffffff,2.0,0.0,2.0,0.0
8408d11ffffffff,4.0,0.0,0.0,0.0
8408d15ffffffff,4.0,0.0,0.0,0.0
8408d19ffffffff,144.0,0.0,8.0,0.0
8408d1bffffffff,1.0,0.0,0.0,0.0
8408d1dffffffff,10.0,0.0,0.0,0.0
8408d2bffffffff,2.0,0.0,0.0,0.0
8408d2dffffffff,7.0,0.0,0.0,0.0
8408d31ffffffff,7.0,0.0,0.0,0.0
8408d33ffffffff,4.0,0.0,0.0,0.0
8408d37ffffffff,7.0,0.0,2.0,0.0
8408d3bffffffff,3.0,0.0,0.0,0.0
8408d41ffffffff,9.0,0.0,0.0,0.0
8408d43ffffffff,5.0,0.0,0.0,0.0
8408d45ffffffff,5.0,0.0,0.0,0.0
8408d4bffffffff,4.0,0.0,0.0,0.0
8408d51ffffffff,10.0,0.0,2.0,0.0
8408d55ffffffff,9.0,0.0,0.0,0.0
8408d57ffffffff,25.0,0.0,4.0,0.0
8408d81ffffffff,78.0,0.0,3.0,0.0
8408d83ffffffff,3.0,0.0,0.0,0.0
8408d85ffffffff,8.0,0.0,2.0,0.0
8408d8bffffffff,18.0,0.0,1.0,0.0
8408d8dffffffff,3.0,0.0,0.0,0.0
8408dbdffffffff,2.0,0.0,0.0,0.0
8408dd1ffffffff,2.0,0.0,2.0,0.0
8408dd9ffffffff,6.0,0.0,0.0,0.0
