cell_id,Picumnus cirratus,Picumnus cirratus macconnelli/confusus,Picumnus cirratus [cirratus Group]
825f0ffffffffff,2.0,0.0,0.0
825f1ffffffffff,7.0,0.0,0.0
825f2ffffffffff,106.0,0.0,0.0
828047fffffffff,2.0,0.0,0.0
82806ffffffffff,21.0,0.0,0.0
828117fffffffff,5.0,0.0,0.0
828127fffffffff,16.0,0.0,3.0
828137fffffffff,32.0,0.0,0.0
82814ffffffffff,11.0,0.0,0.0
828a9ffffffffff,8.0,0.0,0.0
828b27fffffffff,32.0,0.0,0.0
828b37fffffffff,4.0,0.0,0.0
82a597fffffffff,21.0,0.0,0.0
82a807fffffffff,32.0,0.0,2.0
82a80ffffffffff,2.0,0.0,0.0
82a817fffffffff,2128.0,0.0,126.0
82a81ffffffffff,275.0,0.0,2.0
82a82ffffffffff,17.0,0.0,0.0
82a837fffffffff,10.0,0.0,0.0
82a847fffffffff,25.0,0.0,3.0
82a84ffffffffff,1.0,0.0,0.0
82a867fffffffff,70.0,0.0,0.0
82a86ffffffffff,46.0,0.0,0.0
82a877fffffffff,33.0,0.0,4.0
82a887fffffffff,864.0,0.0,30.0
82a88ffffffffff,180.0,0.0,12.0
82a897fffffffff,300.0,0.0,18.0
82a89ffffffffff,11.0,0.0,0.0
82a8a7fffffffff,3820.0,0.0,150.0
82a8affffffffff,614.0,0.0,20.0
82a8b7fffffffff,48.0,0.0,0.0
82a8e7fffffffff,1.0,0.0,1.0
82a8f7fffffffff,16.0,0.0,0.0
82a947fffffffff,1165.0,0.0,1.0
82a94ffffffffff,847.0,0.0,0.0
82a957fffffffff,27.0,0.0,0.0
82a95ffffffffff,215.0,0.0,0.0
82a967fffffffff,392.0,0.0,0.0
82a96ffffffffff,434.0,0.0,0.0
82a977fffffffff,8.0,0.0,0.0
82b247fffffffff,501.0,0.0,0.0
82b24ffffffffff,347.0,0.0,0.0
82b257fffffffff,1.0,0.0,0.0
82b25ffffffffff,187.0,0.0,0.0
82b267fffffffff,109.0,0.0,0.0
82b26ffffffffff,94.0,0.0,0.0
82b277fffffffff,168.0,0.0,0.0
82b2effffffffff,2.0,0.0,0.0
82b347fffffffff,821.0,0.0,0.0
82b34ffffffffff,120.0,0.0,0.0
82b357fffffffff,216.0,0.0,0.0
82b35ffffffffff,1479.0,0.0,0.0
82b367fffffffff,68.0,0.0,0.0
82b36ffffffffff,174.0,0.0,0.0
82c2c7fffffffff,340.0,0.0,0.0
82c2cffffffffff,652.0,0.0,0.0
82c2dffffffffff,26.0,0.0,0.0
82c2e7fffffffff,383.0,0.0,0.0
82c2effffffffff,94.0,0.0,0.0
