cell_id,Picumnus spilogaster,Picumnus spilogaster spilogaster/orinocensis,Picumnus spilogaster pallidus
835f08fffffffff,108.0,0.0,0.0
835f09fffffffff,195.0,0.0,0.0
835f0bfffffffff,80.0,0.0,0.0
835f28fffffffff,1.0,0.0,0.0
835f29fffffffff,66.0,0.0,0.0
835f2dfffffffff,2.0,0.0,0.0
835f40fffffffff,5.0,0.0,0.0
835f41fffffffff,2.0,0.0,0.0
835f42fffffffff,2.0,0.0,0.0
835f43fffffffff,3.0,0.0,0.0
835f5dfffffffff,1.0,0.0,0.0
835f70fffffffff,1.0,0.0,0.0
836664fffffffff,6.0,0.0,0.0
836666fffffffff,2.0,0.0,0.0
836675fffffffff,7.0,1.0,0.0
838046fffffffff,1.0,0.0,0.0
838054fffffffff,9.0,0.0,1.0
838055fffffffff,13.0,0.0,2.0
838073fffffffff,16.0,0.0,3.0
838adafffffffff,117.0,19.0,0.0
838adbfffffffff,2.0,0.0,0.0
838adcfffffffff,5.0,0.0,0.0
