cell_id,Picus canus,Picus canus canus/jessoensis,Picus canus [guerini Group],Picus canus dedemi
82089ffffffffff,2.0,2.0,0.0,0.0
82095ffffffffff,2.0,0.0,0.0,0.0
821187fffffffff,5.0,5.0,0.0,0.0
82118ffffffffff,4.0,4.0,0.0,0.0
8211affffffffff,25.0,25.0,0.0,0.0
821e0ffffffffff,2.0,2.0,0.0,0.0
821e27fffffffff,4.0,0.0,0.0,0.0
821e47fffffffff,2.0,0.0,0.0,0.0
821e57fffffffff,2.0,0.0,0.0,0.0
821e5ffffffffff,4.0,0.0,0.0,0.0
821e6ffffffffff,1.0,0.0,0.0,0.0
821ec7fffffffff,1.0,1.0,0.0,0.0
821ecffffffffff,9.0,0.0,0.0,0.0
821f0ffffffffff,2.0,0.0,0.0,0.0
821f1ffffffffff,2.0,0.0,0.0,0.0
821f5ffffffffff,3.0,3.0,0.0,0.0
821f87fffffffff,8.0,0.0,0.0,0.0
821fb7fffffffff,1.0,0.0,0.0,0.0
82204ffffffffff,1.0,1.0,0.0,0.0
822c27fffffffff,14.0,0.0,0.0,0.0
822e8ffffffffff,1.0,0.0,0.0,0.0
82309ffffffffff,2.0,0.0,0.0,0.0
8231affffffffff,2.0,2.0,0.0,0.0
823c07fffffffff,7.0,0.0,7.0,0.0
823c0ffffffffff,12.0,0.0,0.0,0.0
823c17fffffffff,7.0,0.0,6.0,0.0
823c1ffffffffff,50.0,0.0,4.0,0.0
823c37fffffffff,7.0,0.0,3.0,0.0
823c5ffffffffff,10.0,0.0,10.0,0.0
823c87fffffffff,2.0,0.0,0.0,0.0
823c8ffffffffff,51.0,0.0,2.0,0.0
823c97fffffffff,34.0,0.0,0.0,0.0
823ce7fffffffff,7.0,0.0,4.0,0.0
823d17fffffffff,4.0,0.0,1.0,0.0
823d37fffffffff,1.0,0.0,0.0,0.0
823daffffffffff,34.0,0.0,24.0,0.0
82404ffffffffff,3.0,0.0,3.0,0.0
824057fffffffff,4.0,0.0,4.0,0.0
8240b7fffffffff,1.0,0.0,1.0,0.0
8240e7fffffffff,2.0,0.0,2.0,0.0
82411ffffffffff,7.0,0.0,7.0,0.0
824197fffffffff,2.0,0.0,2.0,0.0
82419ffffffffff,1.0,0.0,1.0,0.0
8241b7fffffffff,2.0,0.0,2.0,0.0
824ba7fffffffff,8.0,0.0,0.0,0.0
8264a7fffffffff,3.0,0.0,0.0,0.0
8264b7fffffffff,3.0,0.0,3.0,0.0
8265b7fffffffff,2.0,0.0,2.0,0.0
