cell_id,Picus chlorolophus,Picus chlorolophus [chlorolophus Group],Picus chlorolophus chlorigaster/wellsi,Picus chlorolophus citrinocristatus/longipennis,Picus chlorolophus rodgeri/vanheysti
823c07fffffffff,192.0,0.0,0.0,0.0,0.0
823c0ffffffffff,135.0,0.0,0.0,0.0,0.0
823c17fffffffff,115.0,0.0,0.0,0.0,0.0
823c1ffffffffff,633.0,0.0,0.0,0.0,0.0
823c37fffffffff,62.0,0.0,0.0,0.0,0.0
823c57fffffffff,209.0,0.0,0.0,0.0,0.0
823c5ffffffffff,473.0,0.0,0.0,0.0,0.0
823c87fffffffff,3.0,0.0,0.0,0.0,0.0
823c8ffffffffff,29.0,0.0,0.0,0.0,0.0
823c97fffffffff,115.0,0.0,0.0,0.0,0.0
823cb7fffffffff,11.0,0.0,0.0,0.0,0.0
823cc7fffffffff,103.0,0.0,0.0,0.0,0.0
823ccffffffffff,3.0,0.0,0.0,0.0,0.0
823cd7fffffffff,6.0,0.0,0.0,0.0,0.0
823cdffffffffff,18.0,0.0,0.0,0.0,0.0
823ce7fffffffff,654.0,0.0,0.0,0.0,0.0
823ceffffffffff,216.0,0.0,0.0,0.0,0.0
823cf7fffffffff,25.0,0.0,0.0,0.0,0.0
823d17fffffffff,1106.0,0.0,0.0,0.0,0.0
823d1ffffffffff,58.0,0.0,0.0,0.0,0.0
823d37fffffffff,32.0,0.0,0.0,0.0,0.0
823d9ffffffffff,8.0,0.0,0.0,0.0,0.0
823daffffffffff,1642.0,0.0,0.0,0.0,0.0
82404ffffffffff,131.0,0.0,0.0,0.0,0.0
824067fffffffff,14.0,0.0,0.0,0.0,0.0
82406ffffffffff,14.0,0.0,0.0,0.0,0.0
824147fffffffff,22.0,0.0,0.0,0.0,0.0
82414ffffffffff,8.0,0.0,0.0,0.0,0.0
82415ffffffffff,1.0,0.0,0.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0,0.0,0.0
82416ffffffffff,8.0,0.0,0.0,0.0,0.0
824177fffffffff,43.0,0.0,0.0,0.0,0.0
824187fffffffff,5.0,0.0,0.0,0.0,0.0
8242dffffffffff,3.0,0.0,0.0,0.0,0.0
826007fffffffff,426.0,0.0,0.0,0.0,0.0
826017fffffffff,991.0,0.0,0.0,0.0,0.0
82601ffffffffff,190.0,0.0,0.0,0.0,0.0
826027fffffffff,376.0,0.0,0.0,0.0,0.0
826037fffffffff,2669.0,0.0,0.0,0.0,0.0
826097fffffffff,3.0,0.0,0.0,0.0,0.0
82609ffffffffff,7.0,0.0,0.0,0.0,0.0
8260affffffffff,235.0,0.0,0.0,0.0,0.0
8260b7fffffffff,4.0,0.0,0.0,0.0,0.0
826107fffffffff,573.0,0.0,0.0,0.0,0.0
826117fffffffff,98.0,0.0,0.0,0.0,0.0
82611ffffffffff,67.0,0.0,0.0,0.0,0.0
82618ffffffffff,3.0,0.0,0.0,0.0,0.0
826417fffffffff,24.0,0.0,0.0,0.0,0.0
826487fffffffff,133.0,0.0,0.0,0.0,0.0
82648ffffffffff,3.0,0.0,0.0,0.0,0.0
826497fffffffff,152.0,0.0,0.0,0.0,0.0
8264a7fffffffff,37.0,0.0,0.0,0.0,0.0
8264b7fffffffff,56.0,0.0,0.0,0.0,0.0
826507fffffffff,166.0,0.0,0.0,0.0,0.0
82652ffffffffff,2.0,0.0,0.0,0.0,0.0
826557fffffffff,26.0,0.0,0.0,0.0,0.0
826587fffffffff,10.0,0.0,0.0,0.0,0.0
82658ffffffffff,5.0,0.0,0.0,0.0,0.0
826597fffffffff,142.0,0.0,0.0,0.0,0.0
82659ffffffffff,67.0,0.0,0.0,0.0,0.0
8265b7fffffffff,159.0,0.0,0.0,0.0,0.0
826937fffffffff,11.0,0.0,0.0,0.0,0.0
828cd7fffffffff,11.0,0.0,0.0,0.0,0.0
828cf7fffffffff,4.0,0.0,0.0,0.0,0.0
