cell_id,Pionus menstruus,Pionus menstruus menstruus/rubrigularis,Pionus menstruus reichenowi
845f01bffffffff,1.0,1.0,0.0
845f583ffffffff,16.0,2.0,0.0
845f5b9ffffffff,13.0,2.0,0.0
8466107ffffffff,21.0,19.0,0.0
846610bffffffff,3.0,0.0,0.0
8466131ffffffff,2.0,0.0,0.0
8466139ffffffff,13.0,6.0,0.0
8466163ffffffff,4.0,4.0,0.0
8466165ffffffff,8.0,8.0,0.0
8466193ffffffff,3.0,3.0,0.0
846619bffffffff,2.0,0.0,0.0
84661b1ffffffff,12.0,0.0,0.0
84661bbffffffff,3.0,0.0,0.0
84661ebffffffff,2.0,0.0,0.0
8466849ffffffff,7.0,0.0,0.0
8466a05ffffffff,6.0,3.0,0.0
8466a0bffffffff,14.0,1.0,0.0
8466a51ffffffff,13.0,13.0,0.0
8466a5bffffffff,1.0,0.0,0.0
8466a65ffffffff,4.0,0.0,0.0
8466b49ffffffff,2.0,0.0,0.0
8466b53ffffffff,6.0,6.0,0.0
8466b55ffffffff,3.0,0.0,0.0
8466b57ffffffff,3.0,0.0,0.0
8466dc3ffffffff,4.0,1.0,0.0
8466e65ffffffff,3.0,0.0,0.0
8466f03ffffffff,2.0,0.0,0.0
8466f19ffffffff,7.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0
8466f57ffffffff,3.0,0.0,0.0
8466f59ffffffff,3.0,0.0,0.0
8467413ffffffff,2.0,0.0,0.0
84674cdffffffff,2.0,0.0,0.0
84674ddffffffff,2.0,0.0,0.0
8467519ffffffff,1.0,0.0,0.0
8467531ffffffff,4.0,0.0,0.0
84675c7ffffffff,6.0,0.0,0.0
84675cbffffffff,13.0,0.0,0.0
84679a5ffffffff,8.0,0.0,0.0
84679a7ffffffff,2.0,0.0,0.0
84679b7ffffffff,1.0,0.0,0.0
846d693ffffffff,1.0,0.0,0.0
846d699ffffffff,2.0,0.0,0.0
84814adffffffff,5.0,5.0,0.0
84814e7ffffffff,2.0,2.0,0.0
8481803ffffffff,4.0,0.0,4.0
848180bffffffff,3.0,0.0,2.0
848181dffffffff,5.0,0.0,5.0
8481851ffffffff,2.0,0.0,2.0
848a059ffffffff,1.0,1.0,0.0
848a185ffffffff,2.0,0.0,0.0
848a337ffffffff,10.0,0.0,0.0
848aac9ffffffff,2.0,0.0,0.0
848af63ffffffff,2.0,0.0,0.0
848b0b5ffffffff,1.0,0.0,0.0
848b0c1ffffffff,1.0,1.0,0.0
848b229ffffffff,2.0,2.0,0.0
848b22dffffffff,3.0,3.0,0.0
848b44dffffffff,2.0,2.0,0.0
848b511ffffffff,1.0,1.0,0.0
848b52dffffffff,2.0,2.0,0.0
848b5cdffffffff,6.0,6.0,0.0
848b617ffffffff,2.0,2.0,0.0
848b637ffffffff,1.0,0.0,0.0
848b63bffffffff,6.0,6.0,0.0
848b6edffffffff,18.0,17.0,0.0
848b713ffffffff,2.0,0.0,0.0
848b75bffffffff,2.0,0.0,0.0
848f0d9ffffffff,2.0,0.0,0.0
848f0dbffffffff,5.0,0.0,0.0
848f541ffffffff,2.0,0.0,0.0
848f61bffffffff,2.0,0.0,0.0
848f73dffffffff,1.0,1.0,0.0
84a8917ffffffff,1.0,0.0,1.0
