cell_id,Pionus tumultuosus,Pionus tumultuosus seniloides,Pionus tumultuosus tumultuosus
84661b1ffffffff,1.0,0.0,0.0
84661b3ffffffff,2.0,1.0,0.0
8466291ffffffff,2.0,0.0,0.0
8466299ffffffff,6.0,0.0,0.0
846629dffffffff,4.0,2.0,0.0
8466c25ffffffff,2.0,2.0,0.0
8466d0bffffffff,4.0,0.0,0.0
8466d31ffffffff,2.0,2.0,0.0
8466de1ffffffff,2.0,2.0,0.0
8466e65ffffffff,7.0,7.0,0.0
84675a5ffffffff,3.0,0.0,0.0
84675adffffffff,2.0,2.0,0.0
84675ebffffffff,4.0,0.0,0.0
848b203ffffffff,10.0,0.0,0.0
848b21dffffffff,2.0,0.0,0.0
848b2cdffffffff,2.0,0.0,0.0
848b2dbffffffff,2.0,0.0,0.0
848b75bffffffff,3.0,0.0,0.0
848e649ffffffff,4.0,0.0,4.0
848e651ffffffff,2.0,0.0,2.0
848f291ffffffff,8.0,6.0,0.0
848f2bbffffffff,11.0,0.0,0.0
848f4adffffffff,1.0,0.0,0.0
848f547ffffffff,2.0,0.0,0.0
848f553ffffffff,2.0,2.0,0.0
848f5c1ffffffff,2.0,0.0,0.0
848f5cbffffffff,4.0,0.0,0.0
848f733ffffffff,2.0,2.0,0.0
