cell_id,Platyrinchus mystaceus,Platyrinchus mystaceus [albogularis Group],Platyrinchus mystaceus [mystaceus Group]
835f40fffffffff,1.0,0.0,0.0
835f58fffffffff,41.0,0.0,0.0
835f59fffffffff,1.0,0.0,0.0
835f5bfffffffff,21.0,0.0,0.0
835f71fffffffff,4.0,0.0,0.0
836608fffffffff,42.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0
836612fffffffff,9.0,0.0,0.0
836613fffffffff,47.0,0.0,0.0
836618fffffffff,6.0,0.0,0.0
836619fffffffff,26.0,0.0,0.0
83661bfffffffff,95.0,0.0,0.0
83661dfffffffff,155.0,0.0,0.0
83661efffffffff,1.0,0.0,0.0
836620fffffffff,22.0,0.0,0.0
836621fffffffff,3.0,0.0,0.0
836656fffffffff,2.0,0.0,0.0
8366a0fffffffff,135.0,0.0,0.0
8366a2fffffffff,2.0,0.0,0.0
8366a3fffffffff,27.0,0.0,0.0
8366a5fffffffff,274.0,0.0,0.0
8366b4fffffffff,831.0,0.0,0.0
8366b5fffffffff,412.0,0.0,0.0
8366c0fffffffff,4.0,0.0,0.0
8366c4fffffffff,12.0,0.0,0.0
8366c6fffffffff,17.0,0.0,0.0
8366d0fffffffff,13.0,0.0,0.0
8366d1fffffffff,4.0,0.0,0.0
8366d2fffffffff,3.0,0.0,0.0
8366d3fffffffff,283.0,9.0,0.0
8366defffffffff,48.0,0.0,0.0
8366e0fffffffff,16.0,0.0,0.0
8366e4fffffffff,39.0,0.0,0.0
8366e5fffffffff,2.0,0.0,0.0
8366e6fffffffff,12.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,48.0,7.0,0.0
8366f3fffffffff,4.0,0.0,0.0
8366f5fffffffff,75.0,4.0,0.0
836742fffffffff,10.0,0.0,0.0
836743fffffffff,18.0,0.0,0.0
83674cfffffffff,4.0,0.0,0.0
83674dfffffffff,1.0,0.0,0.0
836751fffffffff,6.0,0.0,0.0
836759fffffffff,10.0,0.0,0.0
83675cfffffffff,6.0,0.0,0.0
83679afffffffff,18.0,0.0,0.0
836d68fffffffff,51.0,0.0,0.0
836d69fffffffff,1987.0,0.0,0.0
838002fffffffff,5.0,0.0,0.0
838005fffffffff,5.0,0.0,0.0
838010fffffffff,161.0,0.0,10.0
838016fffffffff,4.0,0.0,0.0
83801cfffffffff,1.0,0.0,0.0
838036fffffffff,28.0,0.0,2.0
838102fffffffff,13.0,0.0,1.0
838106fffffffff,4.0,0.0,0.0
838114fffffffff,1.0,0.0,0.0
838116fffffffff,7.0,0.0,0.0
83811efffffffff,4.0,0.0,0.0
838124fffffffff,2.0,0.0,0.0
838130fffffffff,64.0,0.0,0.0
838132fffffffff,3.0,0.0,1.0
838133fffffffff,63.0,0.0,5.0
838134fffffffff,13.0,0.0,0.0
838136fffffffff,90.0,0.0,4.0
83815cfffffffff,2.0,0.0,0.0
83815efffffffff,2.0,0.0,0.0
838163fffffffff,4.0,0.0,0.0
838171fffffffff,29.0,0.0,0.0
838175fffffffff,3.0,0.0,0.0
838180fffffffff,12.0,0.0,0.0
838181fffffffff,125.0,0.0,14.0
838183fffffffff,9.0,0.0,0.0
838185fffffffff,135.0,0.0,49.0
83819dfffffffff,2.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0
838b22fffffffff,6.0,0.0,0.0
838b2cfffffffff,1.0,0.0,0.0
838b61fffffffff,23.0,0.0,0.0
838b9dfffffffff,5.0,0.0,0.0
838bb5fffffffff,9.0,0.0,2.0
838e64fffffffff,2.0,0.0,0.0
838e65fffffffff,1.0,0.0,0.0
838e6cfffffffff,2.0,0.0,0.0
838f0dfffffffff,178.0,0.0,0.0
838f29fffffffff,19.0,0.0,0.0
838f2afffffffff,15.0,0.0,0.0
838f2bfffffffff,5.0,0.0,0.0
838f2cfffffffff,35.0,0.0,0.0
838f40fffffffff,3.0,0.0,0.0
838f42fffffffff,2.0,0.0,0.0
838f43fffffffff,19.0,0.0,0.0
838f46fffffffff,40.0,0.0,0.0
838f4afffffffff,4.0,0.0,0.0
838f55fffffffff,1.0,0.0,0.0
838f5dfffffffff,1.0,0.0,0.0
838f70fffffffff,5.0,0.0,0.0
838f72fffffffff,4.0,0.0,0.0
83a800fffffffff,26.0,0.0,0.0
83a801fffffffff,7.0,0.0,0.0
83a802fffffffff,9.0,0.0,0.0
83a803fffffffff,2.0,0.0,0.0
83a804fffffffff,47.0,0.0,3.0
83a805fffffffff,21.0,0.0,0.0
83a806fffffffff,579.0,0.0,36.0
83a80cfffffffff,8.0,0.0,0.0
83a80dfffffffff,2.0,0.0,0.0
83a810fffffffff,753.0,0.0,7.0
83a811fffffffff,45.0,0.0,0.0
83a812fffffffff,611.0,0.0,28.0
83a813fffffffff,76.0,0.0,8.0
83a814fffffffff,16.0,0.0,0.0
83a815fffffffff,476.0,0.0,25.0
83a816fffffffff,28.0,0.0,3.0
83a818fffffffff,10.0,0.0,0.0
83a81afffffffff,8.0,0.0,0.0
83a81cfffffffff,167.0,0.0,0.0
83a81dfffffffff,43.0,0.0,1.0
83a81efffffffff,401.0,0.0,0.0
83a820fffffffff,11.0,0.0,0.0
83a821fffffffff,16.0,0.0,0.0
83a822fffffffff,22.0,0.0,0.0
83a823fffffffff,17.0,0.0,0.0
83a824fffffffff,37.0,0.0,0.0
83a825fffffffff,4.0,0.0,0.0
83a826fffffffff,42.0,0.0,0.0
83a828fffffffff,7.0,0.0,0.0
83a82afffffffff,12.0,0.0,0.0
83a82cfffffffff,4.0,0.0,0.0
83a82efffffffff,10.0,0.0,0.0
