cell_id,Ploceus ocularis,Ploceus ocularis crocatus,Ploceus ocularis ocularis/suahelicus
846ac51ffffffff,1.0,1.0,0.0
847a403ffffffff,2.0,0.0,0.0
847a41dffffffff,4.0,0.0,0.0
847a451ffffffff,1.0,0.0,0.0
847a4cdffffffff,2.0,0.0,0.0
847a6a1ffffffff,4.0,4.0,0.0
847a6adffffffff,4.0,4.0,0.0
847a6e5ffffffff,6.0,0.0,6.0
847ac81ffffffff,2.0,0.0,0.0
847b4c1ffffffff,4.0,0.0,0.0
847b4c7ffffffff,1.0,0.0,0.0
847b4c9ffffffff,9.0,0.0,0.0
847b4cbffffffff,3.0,0.0,0.0
8482d07ffffffff,2.0,2.0,0.0
8482d2bffffffff,2.0,0.0,0.0
8482d3dffffffff,5.0,5.0,0.0
84970d3ffffffff,2.0,0.0,0.0
84972e3ffffffff,3.0,0.0,0.0
84974a9ffffffff,1.0,0.0,0.0
84bcd29ffffffff,3.0,0.0,3.0
84bcd63ffffffff,1.0,0.0,1.0
