cell_id,Ploceus rubiginosus,Ploceus rubiginosus trothae,Ploceus rubiginosus rubiginosus
837a40fffffffff,11.0,0.0,0.0
837a41fffffffff,1.0,0.0,1.0
837a45fffffffff,1.0,0.0,0.0
837a50fffffffff,1.0,0.0,0.0
837a58fffffffff,2.0,0.0,0.0
837a60fffffffff,12.0,0.0,0.0
837a65fffffffff,2.0,0.0,2.0
837a68fffffffff,1.0,0.0,0.0
837a71fffffffff,1.0,0.0,0.0
837ac8fffffffff,3.0,0.0,0.0
837ae8fffffffff,1.0,0.0,0.0
837b4afffffffff,1.0,0.0,0.0
839690fffffffff,2.0,0.0,0.0
839692fffffffff,2.0,0.0,0.0
839693fffffffff,2.0,0.0,0.0
83ac96fffffffff,2.0,0.0,0.0
