cell_id,Pnoepyga albiventer,Pnoepyga albiventer albiventer/pallidior,Pnoepyga albiventer mutica
833c00fffffffff,5.0,5.0,0.0
833c02fffffffff,121.0,108.0,0.0
833c03fffffffff,1.0,1.0,0.0
833c06fffffffff,11.0,7.0,0.0
833c0afffffffff,285.0,224.0,0.0
833c0bfffffffff,105.0,57.0,0.0
833c19fffffffff,1.0,1.0,0.0
833c1dfffffffff,179.0,141.0,0.0
833c31fffffffff,19.0,15.0,0.0
833c33fffffffff,3.0,3.0,0.0
833c43fffffffff,17.0,17.0,0.0
833c52fffffffff,59.0,1.0,0.0
833c53fffffffff,6.0,6.0,0.0
833c56fffffffff,2.0,0.0,0.0
833c58fffffffff,193.0,163.0,0.0
833c59fffffffff,4.0,0.0,0.0
833c5cfffffffff,20.0,20.0,0.0
833c5dfffffffff,3.0,2.0,0.0
833c5efffffffff,1.0,0.0,0.0
833cd8fffffffff,24.0,23.0,0.0
833cd9fffffffff,2.0,2.0,0.0
833ce4fffffffff,26.0,18.0,0.0
833ce5fffffffff,129.0,94.0,0.0
833ce8fffffffff,14.0,0.0,0.0
833d10fffffffff,141.0,114.0,0.0
833d11fffffffff,17.0,12.0,0.0
833d13fffffffff,51.0,42.0,0.0
833d14fffffffff,2.0,0.0,0.0
833d15fffffffff,120.0,28.0,0.0
833d1afffffffff,138.0,24.0,0.0
833d1efffffffff,405.0,315.0,0.0
833d33fffffffff,28.0,28.0,0.0
833dadfffffffff,321.0,233.0,0.0
83404cfffffffff,28.0,26.0,0.0
83404dfffffffff,2.0,0.0,0.0
83404efffffffff,1.0,1.0,0.0
834052fffffffff,2.0,0.0,2.0
834058fffffffff,1.0,1.0,0.0
834059fffffffff,10.0,10.0,0.0
8340c0fffffffff,4.0,0.0,4.0
8340c5fffffffff,14.0,0.0,14.0
8340c6fffffffff,5.0,0.0,5.0
8340e1fffffffff,27.0,0.0,27.0
8340e3fffffffff,9.0,0.0,9.0
8340ecfffffffff,31.0,0.0,31.0
8340eefffffffff,9.0,0.0,9.0
834159fffffffff,5.0,4.0,0.0
