cell_id,Poecile gambeli,Poecile gambeli [gambeli Group],Poecile gambeli [baileyae Group]
841215dffffffff,2.0,0.0,0.0
8412801ffffffff,2.0,0.0,0.0
8412843ffffffff,2.0,0.0,0.0
8412851ffffffff,7.0,0.0,0.0
8412853ffffffff,2.0,0.0,0.0
8412855ffffffff,6.0,0.0,0.0
8412857ffffffff,27.0,0.0,0.0
8412859ffffffff,2.0,0.0,0.0
841285dffffffff,1.0,0.0,0.0
8412887ffffffff,42.0,0.0,0.0
841288dffffffff,14.0,0.0,0.0
8412891ffffffff,100.0,0.0,0.0
8412893ffffffff,51.0,0.0,0.0
8412895ffffffff,10.0,0.0,0.0
8412897ffffffff,32.0,0.0,0.0
8412899ffffffff,14.0,0.0,0.0
841289bffffffff,98.0,0.0,0.0
84128abffffffff,5.0,0.0,0.0
84128b1ffffffff,10.0,0.0,0.0
84128b9ffffffff,2.0,0.0,0.0
84128bbffffffff,1.0,0.0,0.0
84128bdffffffff,860.0,0.0,0.0
84128d3ffffffff,53.0,0.0,0.0
84128d5ffffffff,2.0,0.0,0.0
84128d9ffffffff,14.0,0.0,0.0
84128dbffffffff,36.0,0.0,0.0
84128ddffffffff,4.0,0.0,0.0
84128e3ffffffff,16.0,0.0,0.0
84128e7ffffffff,3.0,0.0,0.0
8412a33ffffffff,3.0,0.0,0.0
8412a35ffffffff,1.0,0.0,0.0
8412a69ffffffff,4.0,0.0,0.0
8412a83ffffffff,2.0,0.0,0.0
8412a8bffffffff,1.0,0.0,0.0
8412a91ffffffff,2.0,0.0,0.0
8412a93ffffffff,2.0,0.0,0.0
8412a97ffffffff,27.0,0.0,0.0
8412a99ffffffff,60.0,0.0,0.0
8412a9dffffffff,2.0,0.0,0.0
8412aa5ffffffff,2.0,0.0,0.0
8412aa7ffffffff,9.0,0.0,0.0
8412ab3ffffffff,334.0,0.0,0.0
8412ab5ffffffff,6.0,0.0,0.0
8412ab7ffffffff,2.0,0.0,0.0
8412abbffffffff,9.0,0.0,0.0
8412ad7ffffffff,15.0,0.0,0.0
8412c01ffffffff,171.0,0.0,0.0
8412c03ffffffff,415.0,0.0,3.0
8412c05ffffffff,7.0,0.0,0.0
8412c07ffffffff,42.0,0.0,0.0
8412c09ffffffff,11.0,0.0,0.0
8412c0bffffffff,100.0,0.0,0.0
8412c11ffffffff,1954.0,0.0,3.0
8412c13ffffffff,219.0,0.0,0.0
8412c15ffffffff,24.0,0.0,0.0
8412c17ffffffff,118.0,0.0,0.0
8412c19ffffffff,19.0,0.0,0.0
8412c1bffffffff,296.0,0.0,0.0
8412c1dffffffff,661.0,0.0,0.0
8412c21ffffffff,33.0,0.0,0.0
8412c23ffffffff,3.0,0.0,0.0
8412c25ffffffff,3.0,0.0,0.0
8412c2dffffffff,2.0,0.0,0.0
8412c31ffffffff,17.0,0.0,0.0
8412c33ffffffff,253.0,0.0,0.0
8412c35ffffffff,2.0,0.0,0.0
8412c39ffffffff,22.0,0.0,0.0
8412c3bffffffff,404.0,0.0,0.0
8412c3dffffffff,2.0,0.0,0.0
