cell_id,Poecile montanus,Poecile montanus [montanus Group],Poecile montanus [songarus Group]
82099ffffffffff,1.0,1.0,0.0
821877fffffffff,7.0,0.0,0.0
821947fffffffff,56.0,9.0,0.0
82194ffffffffff,4.0,4.0,0.0
821957fffffffff,17.0,2.0,0.0
82195ffffffffff,12.0,0.0,0.0
82196ffffffffff,10.0,0.0,0.0
821e07fffffffff,1.0,1.0,0.0
821e0ffffffffff,3.0,0.0,0.0
821e2ffffffffff,2.0,0.0,0.0
821e57fffffffff,8.0,8.0,0.0
821ea7fffffffff,2.0,2.0,0.0
821ec7fffffffff,27.0,6.0,0.0
821f17fffffffff,2.0,0.0,0.0
821f37fffffffff,9.0,6.0,0.0
821f77fffffffff,1.0,0.0,0.0
821f87fffffffff,7.0,0.0,0.0
821f8ffffffffff,10.0,4.0,0.0
821f9ffffffffff,18.0,2.0,0.0
821faffffffffff,5.0,3.0,0.0
821fb7fffffffff,2.0,0.0,0.0
8220e7fffffffff,1.0,0.0,1.0
82250ffffffffff,1.0,1.0,0.0
82255ffffffffff,8.0,2.0,0.0
822e77fffffffff,6.0,0.0,0.0
823147fffffffff,1.0,0.0,0.0
82316ffffffffff,1.0,0.0,0.0
823177fffffffff,2.0,2.0,0.0
