cell_id,Pogoniulus bilineatus,Pogoniulus bilineatus [bilineatus Group],Pogoniulus bilineatus makawai
82541ffffffffff,8.0,0.0,0.0
8254affffffffff,6.0,2.0,0.0
8254e7fffffffff,45.0,5.0,0.0
8254effffffffff,2.0,0.0,0.0
8254f7fffffffff,18.0,2.0,0.0
825887fffffffff,2.0,0.0,0.0
82588ffffffffff,2.0,0.0,0.0
825897fffffffff,24.0,0.0,0.0
8258b7fffffffff,4.0,0.0,0.0
8258cffffffffff,3.0,0.0,0.0
8258d7fffffffff,66.0,0.0,0.0
8258dffffffffff,24.0,0.0,0.0
8258e7fffffffff,41.0,0.0,0.0
8258f7fffffffff,1.0,0.0,0.0
826a9ffffffffff,20.0,0.0,0.0
826ac7fffffffff,798.0,0.0,0.0
826acffffffffff,446.0,5.0,0.0
826adffffffffff,1570.0,0.0,0.0
826ae7fffffffff,2.0,0.0,0.0
826aeffffffffff,128.0,0.0,0.0
82750ffffffffff,162.0,21.0,0.0
82751ffffffffff,3.0,0.0,0.0
827527fffffffff,14.0,0.0,0.0
82752ffffffffff,158.0,8.0,0.0
8275a7fffffffff,17.0,0.0,0.0
827a47fffffffff,337.0,0.0,0.0
827a4ffffffffff,703.0,0.0,0.0
827a67fffffffff,2.0,0.0,0.0
827a6ffffffffff,737.0,0.0,0.0
827b4ffffffffff,77.0,0.0,0.0
827b5ffffffffff,68.0,0.0,0.0
827b6ffffffffff,34.0,0.0,0.0
82821ffffffffff,1.0,0.0,0.0
828287fffffffff,10.0,0.0,0.0
82828ffffffffff,293.0,0.0,0.0
8282a7fffffffff,29.0,0.0,0.0
8282affffffffff,44.0,0.0,0.0
8282b7fffffffff,1.0,0.0,0.0
8282d7fffffffff,134.0,0.0,0.0
8282dffffffffff,2.0,0.0,0.0
8282f7fffffffff,14.0,0.0,0.0
828317fffffffff,12.0,2.0,0.0
82838ffffffffff,3.0,0.0,0.0
82839ffffffffff,44.0,0.0,0.0
8283a7fffffffff,6.0,0.0,0.0
8283affffffffff,19.0,7.0,0.0
829607fffffffff,43.0,0.0,0.0
82960ffffffffff,53.0,0.0,0.0
829617fffffffff,2.0,0.0,0.0
82962ffffffffff,5.0,0.0,0.0
829657fffffffff,8.0,0.0,0.0
829677fffffffff,3.0,0.0,0.0
82968ffffffffff,18.0,0.0,0.0
8296affffffffff,2.0,0.0,0.0
8296b7fffffffff,59.0,0.0,0.0
8296d7fffffffff,3.0,0.0,0.0
829707fffffffff,120.0,13.0,0.0
829717fffffffff,147.0,2.0,0.0
82971ffffffffff,52.0,1.0,0.0
829727fffffffff,3.0,0.0,0.0
829737fffffffff,25.0,0.0,0.0
82978ffffffffff,14.0,0.0,0.0
829797fffffffff,5.0,0.0,0.0
8297a7fffffffff,4.0,0.0,0.0
8297affffffffff,22.0,0.0,0.0
8297b7fffffffff,2.0,0.0,0.0
82bc0ffffffffff,1.0,0.0,0.0
82bc1ffffffffff,74.0,3.0,0.0
82bc8ffffffffff,157.0,30.0,0.0
82bc9ffffffffff,32.0,1.0,0.0
82bcd7fffffffff,97.0,0.0,0.0
82bce7fffffffff,7.0,0.0,0.0
82bcf7fffffffff,1555.0,370.0,0.0
