cell_id,Polioptila caerulea,Polioptila caerulea [obscura Group],Polioptila caerulea caerulea,Polioptila caerulea cozumelae
840e4dbffffffff,2.0,0.0,0.0,0.0
840ecc9ffffffff,5.0,0.0,0.0,0.0
8412d17ffffffff,26.0,0.0,0.0,0.0
841aa01ffffffff,2.0,0.0,0.0,0.0
841aa07ffffffff,16.0,0.0,0.0,0.0
841aa3dffffffff,1.0,0.0,0.0,0.0
842600bffffffff,2.0,0.0,0.0,0.0
8426015ffffffff,5.0,0.0,0.0,0.0
8426017ffffffff,3.0,0.0,0.0,0.0
842601dffffffff,12.0,0.0,2.0,0.0
8426021ffffffff,2.0,0.0,0.0,0.0
8426055ffffffff,2.0,0.0,0.0,0.0
8426087ffffffff,3.0,0.0,3.0,0.0
842608dffffffff,10.0,0.0,10.0,0.0
8426093ffffffff,2.0,0.0,0.0,0.0
84260a1ffffffff,3.0,0.0,2.0,0.0
84260d9ffffffff,18.0,0.0,0.0,0.0
84260e3ffffffff,2.0,0.0,2.0,0.0
84260ebffffffff,3.0,0.0,1.0,0.0
842610dffffffff,3.0,0.0,0.0,0.0
8426111ffffffff,2.0,0.0,0.0,0.0
8426115ffffffff,1.0,1.0,0.0,0.0
8426127ffffffff,2.0,0.0,0.0,0.0
842618bffffffff,1.0,0.0,1.0,0.0
84261b3ffffffff,3.0,0.0,0.0,0.0
84261e3ffffffff,1.0,1.0,0.0,0.0
8426237ffffffff,2.0,0.0,0.0,0.0
8426251ffffffff,2.0,0.0,0.0,0.0
8426255ffffffff,4.0,0.0,0.0,0.0
8426269ffffffff,12.0,0.0,0.0,0.0
8426291ffffffff,5.0,0.0,0.0,0.0
8426293ffffffff,2.0,0.0,0.0,0.0
84262b3ffffffff,14.0,0.0,0.0,0.0
8426347ffffffff,10.0,0.0,0.0,0.0
8426355ffffffff,10.0,0.0,0.0,0.0
8426359ffffffff,6.0,0.0,0.0,0.0
8426405ffffffff,1.0,0.0,0.0,0.0
8426409ffffffff,1.0,0.0,0.0,0.0
842640dffffffff,4.0,0.0,0.0,0.0
8426417ffffffff,2.0,0.0,0.0,0.0
8426421ffffffff,1.0,0.0,1.0,0.0
8426429ffffffff,2.0,0.0,0.0,0.0
842642bffffffff,1.0,0.0,0.0,0.0
8426431ffffffff,3.0,0.0,0.0,0.0
8426433ffffffff,4.0,0.0,0.0,0.0
8426437ffffffff,3.0,0.0,0.0,0.0
