cell_id,Polioptila plumbea,Polioptila plumbea plumbiceps/anteocularis,Polioptila plumbea innotata,Polioptila plumbea plumbea,Polioptila plumbea parvirostris,Polioptila plumbea atricapilla
835e65fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f01fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f03fffffffff,54.0,0.0,0.0,0.0,0.0,0.0
835f08fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
835f09fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
835f0bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
835f0dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
835f10fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
835f12fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
835f13fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
835f14fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
835f16fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f1cfffffffff,73.0,0.0,0.0,0.0,0.0,0.0
835f1dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f1efffffffff,21.0,0.0,0.0,0.0,0.0,0.0
835f22fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
835f28fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f29fffffffff,301.0,0.0,2.0,0.0,0.0,0.0
835f2bfffffffff,87.0,0.0,0.0,0.0,0.0,0.0
835f2dfffffffff,141.0,0.0,0.0,0.0,0.0,0.0
835f40fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
835f41fffffffff,50.0,0.0,0.0,0.0,0.0,0.0
835f42fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f48fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f49fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
835f4afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f4bfffffffff,191.0,0.0,0.0,0.0,0.0,0.0
835f4efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f68fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
835f6afffffffff,5.0,0.0,0.0,0.0,0.0,0.0
835f71fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
835f74fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836602fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836604fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
836606fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
836609fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83660afffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83660cfffffffff,45.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83660efffffffff,6.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,390.0,0.0,0.0,0.0,0.0,0.0
836619fffffffff,53.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,113.0,0.0,0.0,0.0,0.0,0.0
83661cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83661dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836620fffffffff,1145.0,25.0,0.0,0.0,0.0,0.0
836621fffffffff,207.0,3.0,0.0,0.0,0.0,0.0
836622fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
836623fffffffff,20.0,1.0,0.0,0.0,0.0,0.0
836625fffffffff,1852.0,83.0,0.0,0.0,0.0,0.0
836628fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
836629fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
83662bfffffffff,118.0,0.0,0.0,0.0,0.0,0.0
83662cfffffffff,280.0,0.0,0.0,0.0,0.0,0.0
83662dfffffffff,15.0,0.0,0.0,0.0,0.0,0.0
83662efffffffff,21.0,0.0,0.0,0.0,0.0,0.0
836631fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
836641fffffffff,225.0,0.0,7.0,0.0,0.0,0.0
836644fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
836645fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
836650fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
836652fffffffff,230.0,0.0,0.0,0.0,0.0,0.0
836654fffffffff,67.0,0.0,0.0,0.0,0.0,0.0
836656fffffffff,86.0,0.0,0.0,0.0,0.0,0.0
83665afffffffff,6.0,0.0,0.0,0.0,0.0,0.0
836660fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
836661fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836662fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
836663fffffffff,68.0,0.0,0.0,0.0,0.0,0.0
836664fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
836666fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83666afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83666efffffffff,16.0,0.0,0.0,0.0,0.0,0.0
836670fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
836671fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836672fffffffff,85.0,0.0,0.0,0.0,0.0,0.0
836673fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
836674fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
836675fffffffff,68.0,0.0,0.0,0.0,0.0,0.0
836676fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8366c4fffffffff,519.0,0.0,0.0,0.0,0.0,0.0
8366c5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8366c6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8366d5fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8366d8fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366dcfffffffff,29.0,0.0,0.0,0.0,1.0,0.0
8366ddfffffffff,30.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,18.0,0.0,0.0,0.0,2.0,0.0
8366e0fffffffff,374.0,0.0,0.0,0.0,0.0,0.0
8366e1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8366e2fffffffff,265.0,0.0,0.0,0.0,0.0,0.0
8366e3fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8366e4fffffffff,263.0,0.0,0.0,0.0,0.0,0.0
8366e5fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8366e6fffffffff,1653.0,0.0,0.0,0.0,0.0,0.0
8366eafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366ecfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8366eefffffffff,33.0,0.0,0.0,0.0,0.0,0.0
8366f1fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8366f5fffffffff,314.0,0.0,0.0,0.0,0.0,0.0
836740fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836741fffffffff,106.0,11.0,0.0,0.0,0.0,0.0
836742fffffffff,255.0,2.0,0.0,0.0,0.0,0.0
836743fffffffff,461.0,13.0,0.0,0.0,0.0,0.0
836748fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83674afffffffff,88.0,12.0,0.0,0.0,0.0,0.0
83674cfffffffff,442.0,24.0,0.0,0.0,0.0,0.0
83674dfffffffff,20.0,0.0,0.0,0.0,0.0,0.0
83674efffffffff,217.0,17.0,0.0,0.0,0.0,0.0
836750fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
836751fffffffff,170.0,1.0,0.0,0.0,0.0,0.0
836752fffffffff,773.0,2.0,0.0,0.0,0.0,0.0
836753fffffffff,518.0,7.0,0.0,0.0,0.0,0.0
836755fffffffff,3703.0,6.0,0.0,0.0,0.0,0.0
836756fffffffff,143.0,0.0,0.0,0.0,0.0,0.0
836758fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
836759fffffffff,67.0,6.0,0.0,0.0,0.0,0.0
83675afffffffff,51.0,0.0,0.0,0.0,0.0,0.0
83675bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83675cfffffffff,657.0,0.0,0.0,0.0,0.0,0.0
83675dfffffffff,34.0,0.0,0.0,0.0,0.0,0.0
83675efffffffff,39.0,0.0,0.0,0.0,0.0,0.0
836769fffffffff,41.0,0.0,0.0,0.0,0.0,0.0
83676bfffffffff,16.0,0.0,0.0,0.0,0.0,0.0
838000fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
838002fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
838003fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838005fffffffff,11.0,0.0,0.0,0.0,0.0,1.0
838006fffffffff,16.0,0.0,0.0,0.0,0.0,5.0
