cell_id,Prinia flaviventris,Prinia flaviventris [flaviventris Group],Prinia flaviventris sonitans
833c36fffffffff,3.0,0.0,0.0
833c5cfffffffff,2.0,2.0,0.0
833c88fffffffff,15.0,0.0,0.0
833cc2fffffffff,2.0,0.0,0.0
833ce1fffffffff,2.0,0.0,0.0
833cecfffffffff,17.0,0.0,0.0
833cf2fffffffff,42.0,0.0,0.0
833d32fffffffff,10.0,0.0,0.0
833d36fffffffff,2.0,0.0,0.0
833da1fffffffff,27.0,0.0,0.0
833da9fffffffff,1.0,0.0,0.0
833daafffffffff,1.0,0.0,0.0
833dacfffffffff,14.0,0.0,0.0
83415efffffffff,7.0,0.0,7.0
8341b0fffffffff,1.0,0.0,1.0
8341b5fffffffff,2.0,0.0,2.0
834b84fffffffff,17.0,0.0,0.0
834ba0fffffffff,13.0,0.0,0.0
834ba1fffffffff,10.0,0.0,0.0
834ba2fffffffff,91.0,0.0,0.0
834ba3fffffffff,9.0,0.0,0.0
834ba5fffffffff,9.0,0.0,0.0
834bb1fffffffff,37.0,0.0,0.0
834bb5fffffffff,62.0,0.0,0.0
8364a4fffffffff,5.0,0.0,0.0
836500fffffffff,35.0,0.0,0.0
836501fffffffff,25.0,0.0,0.0
836502fffffffff,7.0,0.0,0.0
836503fffffffff,73.0,0.0,0.0
836505fffffffff,32.0,0.0,0.0
83650efffffffff,5.0,0.0,0.0
836518fffffffff,88.0,0.0,0.0
83651cfffffffff,13.0,0.0,0.0
83651dfffffffff,129.0,0.0,0.0
836520fffffffff,15.0,0.0,0.0
836522fffffffff,4.0,0.0,0.0
836523fffffffff,18.0,0.0,0.0
836526fffffffff,2.0,0.0,0.0
836531fffffffff,8.0,0.0,0.0
836582fffffffff,1.0,1.0,0.0
836599fffffffff,3.0,0.0,0.0
83659cfffffffff,2.0,2.0,0.0
836802fffffffff,2.0,2.0,0.0
836811fffffffff,4.0,4.0,0.0
836815fffffffff,2.0,2.0,0.0
836818fffffffff,8.0,8.0,0.0
83681afffffffff,2.0,2.0,0.0
83681cfffffffff,3.0,3.0,0.0
83681efffffffff,7.0,7.0,0.0
8395a4fffffffff,5.0,1.0,0.0
