cell_id,Psarocolius angustifrons,Psarocolius angustifrons [angustifrons Group],Psarocolius angustifrons oleagineus
826607fffffffff,2.0,0.0,0.0
82660ffffffffff,942.0,10.0,0.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,7410.0,97.0,0.0
826627fffffffff,301.0,0.0,0.0
82662ffffffffff,131.0,0.0,0.0
826647fffffffff,29.0,0.0,0.0
826657fffffffff,85.0,0.0,0.0
82665ffffffffff,171.0,0.0,0.0
826677fffffffff,10.0,0.0,0.0
8266c7fffffffff,6436.0,47.0,0.0
8266cffffffffff,313.0,8.0,0.0
8266d7fffffffff,961.0,52.0,0.0
8266dffffffffff,13442.0,1341.0,0.0
8266e7fffffffff,4425.0,45.0,0.0
8266effffffffff,1587.0,0.0,0.0
8266f7fffffffff,226.0,0.0,0.0
826747fffffffff,449.0,0.0,4.0
82674ffffffffff,37.0,0.0,0.0
82675ffffffffff,204.0,0.0,0.0
828a47fffffffff,1861.0,21.0,0.0
828a4ffffffffff,2.0,0.0,0.0
828a57fffffffff,25.0,0.0,0.0
828a6ffffffffff,2634.0,0.0,0.0
828a77fffffffff,50.0,0.0,0.0
828aaffffffffff,3.0,0.0,0.0
828ae7fffffffff,8.0,0.0,0.0
828af7fffffffff,167.0,17.0,0.0
828b0ffffffffff,2.0,0.0,0.0
828b27fffffffff,164.0,0.0,0.0
828b2ffffffffff,173.0,0.0,0.0
828b47fffffffff,2547.0,14.0,0.0
828b4ffffffffff,43.0,5.0,0.0
828b57fffffffff,2.0,0.0,0.0
828b5ffffffffff,5.0,0.0,0.0
828b67fffffffff,4325.0,262.0,0.0
828b6ffffffffff,549.0,15.0,0.0
828b77fffffffff,311.0,2.0,0.0
828e67fffffffff,449.0,0.0,0.0
828e6ffffffffff,3.0,0.0,0.0
828f0ffffffffff,25.0,0.0,0.0
828f2ffffffffff,52.0,0.0,0.0
828f47fffffffff,1102.0,24.0,0.0
828f4ffffffffff,388.0,0.0,0.0
828f57fffffffff,45.0,0.0,0.0
828f5ffffffffff,169.0,0.0,0.0
828f67fffffffff,536.0,0.0,0.0
828f6ffffffffff,233.0,0.0,0.0
828f77fffffffff,2086.0,190.0,0.0
82b327fffffffff,92.0,0.0,0.0
