cell_id,Pseudastur albicollis,Pseudastur albicollis ghiesbreghti,Pseudastur albicollis costaricensis,Pseudastur albicollis williaminae,Pseudastur albicollis albicollis
834521fffffffff,1.0,0.0,0.0,0.0,0.0
834525fffffffff,17.0,3.0,0.0,0.0,0.0
834528fffffffff,2.0,2.0,0.0,0.0,0.0
83452afffffffff,4.0,2.0,0.0,0.0,0.0
83452cfffffffff,6.0,0.0,0.0,0.0,0.0
83452dfffffffff,4.0,0.0,0.0,0.0,0.0
83452efffffffff,17.0,9.0,0.0,0.0,0.0
835f03fffffffff,1.0,0.0,0.0,0.0,1.0
835f58fffffffff,14.0,0.0,0.0,0.0,8.0
836610fffffffff,2.0,0.0,0.0,0.0,0.0
836611fffffffff,23.0,0.0,0.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0,0.0,0.0
83661bfffffffff,6.0,0.0,0.0,0.0,0.0
83661cfffffffff,58.0,0.0,0.0,0.0,0.0
836621fffffffff,4.0,0.0,0.0,0.0,0.0
836629fffffffff,2.0,0.0,0.0,0.0,0.0
8366b0fffffffff,4.0,0.0,2.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0,0.0,0.0
8366b4fffffffff,3.0,0.0,0.0,0.0,0.0
8366b5fffffffff,3.0,0.0,1.0,0.0,0.0
8366c2fffffffff,2.0,0.0,0.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0,0.0,2.0
83675cfffffffff,2.0,0.0,0.0,0.0,0.0
83679afffffffff,11.0,0.0,9.0,0.0,0.0
836d20fffffffff,6.0,0.0,0.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0,0.0,0.0
836d2bfffffffff,2.0,0.0,0.0,0.0,0.0
836d2cfffffffff,8.0,0.0,0.0,0.0,0.0
836d30fffffffff,4.0,0.0,0.0,0.0,0.0
836d31fffffffff,11.0,0.0,0.0,0.0,0.0
836d68fffffffff,1.0,0.0,1.0,0.0,0.0
836d69fffffffff,67.0,0.0,53.0,0.0,0.0
836d6bfffffffff,2.0,0.0,0.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0,0.0,0.0
838171fffffffff,2.0,0.0,0.0,0.0,0.0
838af4fffffffff,3.0,0.0,0.0,0.0,3.0
838b61fffffffff,1.0,0.0,0.0,0.0,0.0
838b69fffffffff,1.0,0.0,0.0,0.0,0.0
838b74fffffffff,1.0,0.0,0.0,0.0,1.0
