cell_id,Pseudastur albicollis,Pseudastur albicollis ghiesbreghti,Pseudastur albicollis costaricensis,Pseudastur albicollis williaminae,Pseudastur albicollis albicollis
8445203ffffffff,48.0,0.0,0.0,0.0,0.0
8445205ffffffff,10.0,0.0,0.0,0.0,0.0
8445207ffffffff,39.0,0.0,0.0,0.0,0.0
844520bffffffff,67.0,0.0,0.0,0.0,0.0
844520dffffffff,3.0,0.0,0.0,0.0,0.0
8445211ffffffff,13.0,0.0,0.0,0.0,0.0
8445213ffffffff,9.0,0.0,0.0,0.0,0.0
8445215ffffffff,131.0,0.0,0.0,0.0,0.0
8445217ffffffff,8.0,1.0,0.0,0.0,0.0
844521bffffffff,3.0,0.0,0.0,0.0,0.0
844521dffffffff,66.0,0.0,0.0,0.0,0.0
8445221ffffffff,41.0,0.0,0.0,0.0,0.0
8445225ffffffff,258.0,0.0,0.0,0.0,0.0
844522dffffffff,6.0,0.0,0.0,0.0,0.0
8445233ffffffff,311.0,10.0,0.0,0.0,0.0
844523bffffffff,55.0,2.0,0.0,0.0,0.0
8445243ffffffff,1.0,0.0,0.0,0.0,0.0
8445253ffffffff,2.0,2.0,0.0,0.0,0.0
8445255ffffffff,1.0,0.0,0.0,0.0,0.0
8445257ffffffff,7.0,0.0,0.0,0.0,0.0
8445263ffffffff,49.0,0.0,0.0,0.0,0.0
844526bffffffff,8.0,0.0,0.0,0.0,0.0
8445285ffffffff,4.0,0.0,0.0,0.0,0.0
8445289ffffffff,4.0,0.0,0.0,0.0,0.0
84452a9ffffffff,85.0,0.0,0.0,0.0,0.0
84452adffffffff,14.0,0.0,0.0,0.0,0.0
84452c1ffffffff,2.0,0.0,0.0,0.0,0.0
84452c3ffffffff,65.0,11.0,0.0,0.0,0.0
84452c5ffffffff,10.0,0.0,0.0,0.0,0.0
84452c7ffffffff,16.0,0.0,0.0,0.0,0.0
84452c9ffffffff,8.0,0.0,0.0,0.0,0.0
84452cbffffffff,10.0,0.0,0.0,0.0,0.0
84452d9ffffffff,112.0,58.0,0.0,0.0,0.0
84452e1ffffffff,1784.0,56.0,0.0,0.0,0.0
84452e3ffffffff,166.0,2.0,0.0,0.0,0.0
84452e5ffffffff,489.0,13.0,0.0,0.0,0.0
84452e7ffffffff,69.0,0.0,0.0,0.0,0.0
84452e9ffffffff,72.0,0.0,0.0,0.0,0.0
84452ebffffffff,35.0,8.0,0.0,0.0,0.0
84452edffffffff,87.0,9.0,0.0,0.0,0.0
8445303ffffffff,2.0,0.0,0.0,0.0,0.0
8445305ffffffff,24.0,0.0,0.0,0.0,0.0
8445307ffffffff,2.0,0.0,0.0,0.0,0.0
8445309ffffffff,2.0,0.0,0.0,0.0,0.0
844530dffffffff,2.0,0.0,0.0,0.0,0.0
8445319ffffffff,38.0,0.0,0.0,0.0,0.0
8445329ffffffff,2.0,0.0,0.0,0.0,0.0
844532bffffffff,38.0,0.0,0.0,0.0,0.0
844532dffffffff,2.0,0.0,0.0,0.0,0.0
8445341ffffffff,2.0,0.0,0.0,0.0,0.0
8445343ffffffff,2.0,0.0,0.0,0.0,0.0
8445345ffffffff,7.0,0.0,0.0,0.0,0.0
8445351ffffffff,20.0,0.0,0.0,0.0,0.0
8445363ffffffff,29.0,0.0,0.0,0.0,0.0
8445365ffffffff,7.0,0.0,0.0,0.0,0.0
8445367ffffffff,11.0,0.0,0.0,0.0,0.0
8445649ffffffff,14.0,0.0,0.0,0.0,0.0
845f00bffffffff,8.0,0.0,0.0,0.0,0.0
845f011ffffffff,1.0,0.0,0.0,0.0,0.0
845f017ffffffff,1.0,0.0,0.0,0.0,0.0
845f031ffffffff,2.0,0.0,0.0,0.0,0.0
845f035ffffffff,34.0,0.0,0.0,0.0,0.0
845f03dffffffff,62.0,0.0,0.0,0.0,0.0
845f095ffffffff,4.0,0.0,0.0,0.0,0.0
845f09dffffffff,2.0,0.0,0.0,0.0,0.0
845f0d9ffffffff,1.0,0.0,0.0,0.0,0.0
845f105ffffffff,6.0,0.0,0.0,0.0,0.0
845f117ffffffff,2.0,0.0,0.0,0.0,0.0
845f12bffffffff,5.0,0.0,0.0,0.0,0.0
845f139ffffffff,1.0,0.0,0.0,0.0,0.0
845f13bffffffff,1.0,0.0,0.0,0.0,0.0
845f13dffffffff,10.0,0.0,0.0,0.0,0.0
845f143ffffffff,9.0,0.0,0.0,0.0,0.0
845f163ffffffff,4.0,0.0,0.0,0.0,0.0
845f1cbffffffff,1.0,0.0,0.0,0.0,0.0
845f223ffffffff,1.0,0.0,0.0,0.0,0.0
845f291ffffffff,2.0,0.0,0.0,0.0,0.0
845f295ffffffff,2.0,0.0,0.0,0.0,0.0
845f299ffffffff,5.0,0.0,0.0,0.0,0.0
845f29dffffffff,2.0,0.0,0.0,0.0,0.0
845f2b1ffffffff,22.0,0.0,0.0,0.0,0.0
