cell_id,Psophia viridis,Psophia viridis viridis,Psophia viridis dextralis,Psophia viridis interjecta,Psophia viridis obscura
838061fffffffff,2.0,0.0,2.0,0.0,0.0
838064fffffffff,2.0,0.0,0.0,2.0,0.0
83806efffffffff,1.0,0.0,0.0,0.0,0.0
838074fffffffff,4.0,0.0,0.0,0.0,4.0
838143fffffffff,2.0,0.0,0.0,2.0,0.0
83814afffffffff,26.0,0.0,0.0,21.0,0.0
83814dfffffffff,6.0,0.0,0.0,3.0,0.0
83814efffffffff,27.0,0.0,0.0,23.0,0.0
83815dfffffffff,1.0,0.0,0.0,1.0,0.0
838a04fffffffff,3.0,0.0,0.0,0.0,0.0
838a10fffffffff,10.0,0.0,0.0,0.0,0.0
838a15fffffffff,2.0,0.0,0.0,0.0,0.0
838a31fffffffff,1.0,0.0,0.0,0.0,0.0
838a33fffffffff,6.0,0.0,0.0,0.0,0.0
838a80fffffffff,15.0,0.0,1.0,0.0,0.0
838a82fffffffff,1.0,0.0,0.0,0.0,0.0
838a85fffffffff,1.0,0.0,0.0,0.0,0.0
838a91fffffffff,1.0,0.0,1.0,0.0,0.0
838a92fffffffff,2.0,0.0,2.0,0.0,0.0
838a9cfffffffff,5.0,0.0,5.0,0.0,0.0
838aa2fffffffff,1.0,0.0,0.0,0.0,0.0
838aaafffffffff,13.0,0.0,0.0,0.0,0.0
838aadfffffffff,6.0,0.0,0.0,0.0,0.0
838b82fffffffff,1.0,0.0,0.0,0.0,0.0
838b88fffffffff,1.0,0.0,0.0,0.0,0.0
838b8bfffffffff,1.0,0.0,0.0,0.0,0.0
838b99fffffffff,5.0,0.0,5.0,0.0,0.0
838b9dfffffffff,191.0,0.0,0.0,0.0,0.0
83a8c9fffffffff,1.0,0.0,0.0,0.0,0.0
