cell_id,Pterocles exustus,Pterocles exustus [exustus Group],Pterocles exustus erlangeri,Pterocles exustus hindustan
833cb1fffffffff,17.0,0.0,0.0,0.0
833cb3fffffffff,2.0,0.0,0.0,0.0
833cb6fffffffff,3.0,0.0,0.0,0.0
833d84fffffffff,23.0,0.0,0.0,0.0
833d85fffffffff,86.0,0.0,0.0,0.0
833d86fffffffff,4.0,0.0,0.0,0.0
833d8bfffffffff,2.0,0.0,0.0,0.0
833d8dfffffffff,6.0,0.0,0.0,0.0
833d92fffffffff,4.0,0.0,0.0,0.0
833d96fffffffff,5.0,0.0,0.0,0.0
833d9dfffffffff,5.0,0.0,0.0,0.0
833da1fffffffff,121.0,0.0,0.0,0.0
833da2fffffffff,5.0,0.0,0.0,0.0
833da3fffffffff,63.0,0.0,0.0,0.0
833da6fffffffff,316.0,0.0,0.0,0.0
833daafffffffff,2.0,0.0,0.0,0.0
833db0fffffffff,89.0,0.0,0.0,0.0
833db1fffffffff,20.0,0.0,0.0,0.0
833db2fffffffff,69.0,0.0,0.0,0.0
833db3fffffffff,59.0,0.0,0.0,0.0
833db4fffffffff,5.0,0.0,0.0,0.0
833db5fffffffff,55.0,0.0,0.0,0.0
833db6fffffffff,14.0,0.0,0.0,0.0
833e71fffffffff,1.0,0.0,0.0,0.0
834230fffffffff,2.0,0.0,0.0,0.0
834251fffffffff,68.0,0.0,0.0,0.0
834253fffffffff,721.0,0.0,0.0,0.0
834258fffffffff,35.0,0.0,0.0,0.0
834259fffffffff,72.0,0.0,0.0,0.0
83425afffffffff,30.0,0.0,0.0,0.0
83425dfffffffff,3.0,0.0,0.0,0.0
83425efffffffff,21.0,0.0,0.0,0.0
8342c0fffffffff,104.0,0.0,0.0,0.0
8342c1fffffffff,454.0,0.0,0.0,0.0
8342c2fffffffff,30.0,0.0,0.0,0.0
8342c3fffffffff,31.0,0.0,0.0,0.0
8342c4fffffffff,549.0,0.0,0.0,0.0
8342c5fffffffff,324.0,0.0,0.0,0.0
8342c6fffffffff,41.0,0.0,0.0,0.0
8342c9fffffffff,4.0,0.0,0.0,0.0
8342cbfffffffff,3.0,0.0,0.0,0.0
8342ccfffffffff,22.0,0.0,0.0,0.0
8342cdfffffffff,7.0,0.0,0.0,0.0
8342cefffffffff,562.0,0.0,0.0,0.0
8342d1fffffffff,2.0,0.0,0.0,0.0
8342dcfffffffff,42.0,0.0,0.0,0.0
8342ddfffffffff,123.0,0.0,0.0,0.0
8342e0fffffffff,5.0,0.0,0.0,0.0
8342e2fffffffff,78.0,0.0,0.0,0.0
8342e3fffffffff,43.0,0.0,0.0,0.0
8342e4fffffffff,3.0,0.0,0.0,0.0
8342e9fffffffff,9.0,0.0,0.0,0.0
8342eafffffffff,27.0,0.0,0.0,0.0
8342edfffffffff,4.0,0.0,0.0,0.0
8342eefffffffff,1.0,0.0,0.0,0.0
834310fffffffff,14.0,0.0,0.0,0.0
83431efffffffff,30.0,0.0,0.0,0.0
834385fffffffff,1.0,0.0,0.0,0.0
834388fffffffff,11.0,0.0,2.0,0.0
83438bfffffffff,2.0,0.0,0.0,0.0
83438cfffffffff,14.0,0.0,7.0,0.0
834393fffffffff,3.0,0.0,0.0,0.0
834396fffffffff,9.0,0.0,3.0,0.0
834398fffffffff,12.0,0.0,6.0,0.0
83439dfffffffff,2.0,0.0,0.0,0.0
83439efffffffff,14.0,0.0,10.0,0.0
8343a0fffffffff,21.0,0.0,3.0,0.0
8343a1fffffffff,309.0,0.0,55.0,0.0
8343a3fffffffff,17.0,0.0,2.0,0.0
8343a6fffffffff,1.0,0.0,0.0,0.0
8343a8fffffffff,79.0,0.0,5.0,0.0
8343a9fffffffff,16.0,0.0,0.0,0.0
8343aafffffffff,19.0,0.0,7.0,0.0
8343acfffffffff,158.0,0.0,22.0,0.0
8343aefffffffff,32.0,0.0,3.0,0.0
835211fffffffff,9.0,0.0,0.0,0.0
835215fffffffff,1.0,0.0,0.0,0.0
83521cfffffffff,4.0,0.0,0.0,0.0
83521efffffffff,2.0,0.0,0.0,0.0
83524cfffffffff,2.0,0.0,0.0,0.0
83524dfffffffff,36.0,0.0,21.0,0.0
835269fffffffff,3.0,0.0,0.0,0.0
83526bfffffffff,4.0,0.0,2.0,0.0
835289fffffffff,4.0,0.0,0.0,0.0
83528bfffffffff,3.0,0.0,0.0,0.0
8352aafffffffff,2.0,0.0,0.0,0.0
8352d3fffffffff,1.0,0.0,0.0,0.0
8352d4fffffffff,14.0,0.0,0.0,0.0
8352d6fffffffff,12.0,0.0,0.0,0.0
8352d9fffffffff,2.0,0.0,0.0,0.0
8352defffffffff,2.0,0.0,0.0,0.0
83530dfffffffff,1.0,0.0,0.0,0.0
83534dfffffffff,39.0,0.0,9.0,0.0
835355fffffffff,2.0,0.0,0.0,0.0
835372fffffffff,1.0,0.0,0.0,0.0
8353a9fffffffff,9.0,0.0,0.0,0.0
8353adfffffffff,3.0,0.0,0.0,0.0
835402fffffffff,6.0,4.0,0.0,0.0
835410fffffffff,59.0,31.0,0.0,0.0
835411fffffffff,34.0,12.0,0.0,0.0
835413fffffffff,19.0,6.0,0.0,0.0
835415fffffffff,6.0,4.0,0.0,0.0
835418fffffffff,4.0,0.0,0.0,0.0
835419fffffffff,2.0,0.0,0.0,0.0
83541afffffffff,16.0,1.0,0.0,0.0
83541bfffffffff,2.0,0.0,0.0,0.0
8354a9fffffffff,1.0,0.0,0.0,0.0
835851fffffffff,1.0,0.0,0.0,0.0
835858fffffffff,6.0,0.0,0.0,0.0
835d10fffffffff,740.0,0.0,0.0,0.0
835d13fffffffff,1.0,0.0,0.0,0.0
836010fffffffff,3.0,0.0,0.0,0.0
836012fffffffff,1.0,0.0,0.0,0.0
836014fffffffff,18.0,0.0,0.0,0.0
836015fffffffff,1.0,0.0,0.0,0.0
836016fffffffff,231.0,0.0,0.0,0.0
836026fffffffff,33.0,0.0,0.0,0.0
836030fffffffff,70.0,0.0,0.0,0.0
836031fffffffff,2.0,0.0,0.0,0.0
836033fffffffff,393.0,0.0,0.0,0.0
836034fffffffff,10.0,0.0,0.0,0.0
836035fffffffff,5.0,0.0,0.0,0.0
836036fffffffff,36.0,0.0,0.0,0.0
836080fffffffff,5.0,0.0,0.0,0.0
836081fffffffff,31.0,0.0,0.0,0.0
836084fffffffff,31.0,0.0,0.0,0.0
836085fffffffff,14.0,0.0,0.0,0.0
836088fffffffff,8.0,0.0,0.0,0.0
83608cfffffffff,7.0,0.0,0.0,0.0
83608efffffffff,283.0,0.0,0.0,0.0
836090fffffffff,37.0,0.0,0.0,0.0
836091fffffffff,11.0,0.0,0.0,0.0
836093fffffffff,1.0,0.0,0.0,0.0
836095fffffffff,2.0,0.0,0.0,0.0
836096fffffffff,11.0,0.0,0.0,0.0
83609dfffffffff,7.0,0.0,0.0,0.0
83609efffffffff,5.0,0.0,0.0,0.0
8360a0fffffffff,65.0,0.0,0.0,0.0
8360a1fffffffff,15.0,0.0,0.0,0.0
8360a2fffffffff,171.0,0.0,0.0,0.0
8360a3fffffffff,13.0,0.0,0.0,0.0
8360a5fffffffff,13.0,0.0,0.0,0.0
8360a6fffffffff,14.0,0.0,0.0,0.0
8360a8fffffffff,7.0,0.0,0.0,0.0
8360aafffffffff,17.0,0.0,0.0,0.0
8360aefffffffff,13.0,0.0,0.0,0.0
8360b1fffffffff,98.0,0.0,0.0,0.0
8360b2fffffffff,4.0,0.0,0.0,0.0
8360b3fffffffff,7.0,0.0,0.0,0.0
8360b5fffffffff,2.0,0.0,0.0,0.0
83611bfffffffff,16.0,0.0,0.0,0.0
836188fffffffff,2.0,0.0,0.0,0.0
83618afffffffff,11.0,0.0,0.0,0.0
83618dfffffffff,7.0,0.0,0.0,0.0
836199fffffffff,1.0,0.0,0.0,0.0
836326fffffffff,12.0,0.0,0.0,0.0
836330fffffffff,4.0,0.0,4.0,0.0
836332fffffffff,52.0,0.0,24.0,0.0
836335fffffffff,1.0,0.0,0.0,0.0
836336fffffffff,30.0,0.0,19.0,0.0
836a58fffffffff,3.0,0.0,0.0,0.0
836b12fffffffff,6.0,0.0,0.0,0.0
836b33fffffffff,1.0,0.0,0.0,0.0
837a40fffffffff,289.0,0.0,0.0,0.0
837a41fffffffff,9.0,0.0,0.0,0.0
837a44fffffffff,2.0,0.0,0.0,0.0
837a50fffffffff,6.0,0.0,0.0,0.0
837a55fffffffff,2.0,0.0,0.0,0.0
837a58fffffffff,7.0,0.0,0.0,0.0
837a59fffffffff,5.0,0.0,0.0,0.0
837a5bfffffffff,1.0,0.0,0.0,0.0
837a5cfffffffff,3.0,0.0,0.0,0.0
837a5efffffffff,5.0,0.0,0.0,0.0
837a60fffffffff,7.0,0.0,0.0,0.0
837a61fffffffff,204.0,0.0,0.0,0.0
837a64fffffffff,49.0,0.0,0.0,0.0
837a65fffffffff,8.0,0.0,0.0,0.0
837a66fffffffff,16.0,0.0,0.0,0.0
837a68fffffffff,3.0,2.0,0.0,0.0
837a6cfffffffff,15.0,2.0,0.0,0.0
837a6dfffffffff,138.0,28.0,0.0,0.0
837a6efffffffff,16.0,0.0,0.0,0.0
837a71fffffffff,1.0,0.0,0.0,0.0
837a73fffffffff,7.0,0.0,0.0,0.0
837ac8fffffffff,13.0,0.0,0.0,0.0
837acafffffffff,2.0,0.0,0.0,0.0
837ad9fffffffff,112.0,0.0,0.0,0.0
837adbfffffffff,2.0,0.0,0.0,0.0
839686fffffffff,4.0,0.0,0.0,0.0
839690fffffffff,62.0,2.0,0.0,0.0
839691fffffffff,1.0,0.0,0.0,0.0
839692fffffffff,179.0,34.0,0.0,0.0
839693fffffffff,169.0,22.0,0.0,0.0
83969afffffffff,4.0,0.0,0.0,0.0
8396b1fffffffff,9.0,0.0,0.0,0.0
