cell_id,Pterodroma hasitata,Pterodroma hasitata (White-faced),Pterodroma hasitata (Dark-faced)
842a0d1ffffffff,1.0,0.0,0.0
842a185ffffffff,2.0,0.0,0.0
842a187ffffffff,1.0,0.0,1.0
842a1a3ffffffff,4.0,0.0,0.0
842a2c3ffffffff,1.0,0.0,0.0
842ac05ffffffff,2.0,0.0,0.0
842ac09ffffffff,1.0,0.0,0.0
842ac0dffffffff,1.0,0.0,0.0
842ac21ffffffff,2.0,0.0,0.0
842ac27ffffffff,2.0,0.0,0.0
842ac29ffffffff,2.0,0.0,0.0
842ac2bffffffff,2.0,0.0,0.0
842ac61ffffffff,487.0,32.0,18.0
842ac63ffffffff,5.0,1.0,0.0
842ac69ffffffff,2579.0,74.0,64.0
842ac6dffffffff,352.0,2.0,4.0
842acbdffffffff,1.0,0.0,0.0
842ad51ffffffff,1.0,0.0,0.0
842af11ffffffff,62.0,12.0,9.0
842af13ffffffff,25.0,12.0,1.0
842af15ffffffff,2.0,0.0,0.0
842af17ffffffff,31.0,0.0,0.0
842af19ffffffff,45.0,0.0,0.0
842af1bffffffff,10.0,0.0,0.0
842af1dffffffff,9.0,1.0,0.0
842af51ffffffff,4.0,0.0,0.0
842af53ffffffff,4.0,0.0,0.0
842af55ffffffff,2.0,0.0,0.0
842af57ffffffff,14.0,5.0,0.0
843bae9ffffffff,1.0,0.0,0.0
