cell_id,Pterodroma leucoptera,Pterodroma leucoptera leucoptera,Pterodroma leucoptera caledonica
845ca49ffffffff,1.0,0.0,0.0
8489b45ffffffff,1.0,0.0,0.0
8493a11ffffffff,1.0,0.0,0.0
849b0c1ffffffff,1.0,0.0,0.0
849b457ffffffff,1.0,0.0,0.0
849b4abffffffff,1.0,0.0,0.0
849f4cdffffffff,2.0,0.0,0.0
849f607ffffffff,1.0,0.0,0.0
849f61dffffffff,1.0,0.0,0.0
849f643ffffffff,1.0,0.0,0.0
849f6a5ffffffff,1.0,0.0,0.0
84a069bffffffff,1.0,0.0,0.0
84a1667ffffffff,1.0,0.0,1.0
84ba085ffffffff,1.0,0.0,0.0
84ba0a3ffffffff,2.0,0.0,0.0
84ba1a3ffffffff,7.0,0.0,0.0
84ba1cdffffffff,8.0,0.0,0.0
84ba1e3ffffffff,9.0,0.0,0.0
84ba1ebffffffff,16.0,0.0,0.0
84ba611ffffffff,1.0,1.0,0.0
84ba69dffffffff,1.0,0.0,0.0
84bac61ffffffff,1.0,0.0,0.0
84bac65ffffffff,1.0,0.0,0.0
84baf45ffffffff,1.0,0.0,0.0
84baf6bffffffff,20.0,0.0,0.0
84bb537ffffffff,5.0,0.0,0.0
84bb583ffffffff,3.0,0.0,0.0
84bb595ffffffff,1.0,0.0,0.0
84bb5b9ffffffff,1.0,0.0,0.0
84be0c1ffffffff,5.0,0.0,0.0
84be0e3ffffffff,4.0,0.0,0.0
84be0ebffffffff,12.0,0.0,0.0
84be143ffffffff,1.0,0.0,0.0
84be145ffffffff,1.0,0.0,0.0
84be147ffffffff,2.0,0.0,0.0
84be1a9ffffffff,6.0,0.0,0.0
84be1d1ffffffff,4.0,0.0,0.0
84be1d9ffffffff,4.0,0.0,0.0
84be63bffffffff,1.0,0.0,0.0
84be689ffffffff,3.0,0.0,0.0
84be68bffffffff,4.0,0.0,0.0
84be76dffffffff,1.0,0.0,0.0
84bea05ffffffff,1.0,0.0,0.0
84bea07ffffffff,1.0,0.0,0.0
84bea19ffffffff,1.0,0.0,0.0
84beaa5ffffffff,1.0,0.0,0.0
84beab7ffffffff,21.0,0.0,0.0
84beae3ffffffff,13.0,0.0,0.0
84beae7ffffffff,6.0,0.0,0.0
84beb6dffffffff,2.0,0.0,0.0
84bf1b1ffffffff,3.0,0.0,0.0
84bf2bbffffffff,3.0,0.0,0.0
84bf4c9ffffffff,34.0,0.0,0.0
84bf6a5ffffffff,1.0,0.0,0.0
84bf705ffffffff,3.0,0.0,0.0
84bf715ffffffff,1.0,0.0,0.0
84bf71bffffffff,1.0,0.0,0.0
84bf757ffffffff,1.0,0.0,0.0
84bf761ffffffff,2.0,0.0,0.0
84bfb2bffffffff,1.0,0.0,0.0
84da8cbffffffff,1.0,0.0,0.0
