cell_id,Ptilocichla mindanensis,Ptilocichla mindanensis minuta/fortichi,Ptilocichla mindanensis mindanensis/basilanica
8468415ffffffff,4.0,0.0,0.0
8468433ffffffff,2.0,0.0,0.0
8468435ffffffff,6.0,0.0,1.0
846843dffffffff,2.0,0.0,0.0
8468447ffffffff,99.0,2.0,0.0
8468459ffffffff,1.0,0.0,0.0
84684e5ffffffff,166.0,0.0,10.0
846856bffffffff,9.0,0.0,2.0
846858bffffffff,8.0,0.0,0.0
84685c3ffffffff,8.0,0.0,0.0
84685c7ffffffff,14.0,0.0,5.0
84685c9ffffffff,1.0,0.0,0.0
84685d1ffffffff,2.0,0.0,0.0
84685d7ffffffff,7.0,0.0,0.0
84685dbffffffff,4.0,0.0,0.0
84685e1ffffffff,2.0,0.0,0.0
84685e3ffffffff,12.0,0.0,0.0
84685e7ffffffff,21.0,0.0,11.0
84685e9ffffffff,31.0,0.0,9.0
84685edffffffff,4.0,0.0,3.0
84686e9ffffffff,33.0,5.0,0.0
