cell_id,Pygochelidon cyanoleuca,Pygochelidon cyanoleuca cyanoleuca,Pygochelidon cyanoleuca peruviana,Pygochelidon cyanoleuca patagonica
825f5ffffffffff,5.0,0.0,0.0,0.0
825f77fffffffff,4.0,0.0,0.0,0.0
82660ffffffffff,13.0,0.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0,0.0
82661ffffffffff,8.0,1.0,0.0,0.0
82662ffffffffff,7.0,7.0,0.0,0.0
8266a7fffffffff,66.0,0.0,0.0,0.0
8266b7fffffffff,126.0,35.0,0.0,0.0
8266c7fffffffff,1.0,0.0,0.0,0.0
8266d7fffffffff,15.0,4.0,0.0,2.0
8266dffffffffff,2.0,0.0,0.0,0.0
8266e7fffffffff,19.0,10.0,0.0,0.0
8266f7fffffffff,3.0,0.0,0.0,0.0
826747fffffffff,3.0,1.0,0.0,0.0
82674ffffffffff,3.0,0.0,0.0,0.0
826757fffffffff,10.0,0.0,0.0,0.0
82675ffffffffff,13.0,0.0,0.0,0.0
82679ffffffffff,141.0,0.0,0.0,0.0
826d6ffffffffff,156.0,19.0,0.0,0.0
82814ffffffffff,2.0,0.0,0.0,0.0
82815ffffffffff,2.0,0.0,0.0,0.0
82819ffffffffff,4.0,0.0,0.0,0.0
828b0ffffffffff,3.0,0.0,0.0,0.0
828b2ffffffffff,2.0,0.0,0.0,0.0
828b67fffffffff,3.0,0.0,0.0,0.0
828b9ffffffffff,1.0,0.0,0.0,0.0
828e47fffffffff,2.0,0.0,0.0,0.0
828e67fffffffff,10.0,5.0,2.0,0.0
828f0ffffffffff,7.0,7.0,0.0,0.0
828f2ffffffffff,9.0,9.0,0.0,0.0
828f47fffffffff,3.0,0.0,0.0,3.0
828f4ffffffffff,1.0,0.0,0.0,0.0
828f57fffffffff,20.0,0.0,13.0,0.0
828f77fffffffff,1.0,0.0,0.0,0.0
82a81ffffffffff,3.0,3.0,0.0,0.0
82a847fffffffff,2.0,0.0,0.0,0.0
82a877fffffffff,2.0,0.0,0.0,0.0
82a88ffffffffff,7.0,7.0,0.0,0.0
82a8a7fffffffff,2.0,2.0,0.0,0.0
82a92ffffffffff,5.0,1.0,0.0,0.0
82a94ffffffffff,7.0,0.0,0.0,0.0
82a967fffffffff,12.0,0.0,0.0,0.0
82a977fffffffff,8.0,0.0,0.0,0.0
82b207fffffffff,28.0,0.0,0.0,0.0
82b21ffffffffff,77.0,0.0,0.0,0.0
82b247fffffffff,1.0,0.0,0.0,1.0
82b24ffffffffff,7.0,0.0,0.0,0.0
82b25ffffffffff,8.0,0.0,0.0,0.0
82b277fffffffff,10.0,2.0,0.0,0.0
82b2c7fffffffff,227.0,0.0,0.0,32.0
82b2cffffffffff,2.0,0.0,0.0,0.0
82b2dffffffffff,16.0,0.0,0.0,0.0
82b2e7fffffffff,89.0,0.0,0.0,0.0
82b2effffffffff,15.0,0.0,0.0,0.0
82b327fffffffff,1.0,0.0,0.0,1.0
82b337fffffffff,3.0,0.0,0.0,0.0
82b347fffffffff,6.0,0.0,0.0,0.0
82b357fffffffff,19.0,4.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0,0.0
82b377fffffffff,2.0,2.0,0.0,0.0
82c2c7fffffffff,3.0,0.0,0.0,0.0
82c2cffffffffff,8.0,0.0,0.0,0.0
82c2d7fffffffff,5.0,0.0,0.0,0.0
82c2effffffffff,9.0,0.0,0.0,0.0
82c2f7fffffffff,11.0,0.0,0.0,0.0
82c307fffffffff,3.0,0.0,0.0,3.0
82c327fffffffff,11.0,0.0,0.0,3.0
82c32ffffffffff,11.0,0.0,0.0,9.0
82c34ffffffffff,1.0,0.0,0.0,0.0
82ce87fffffffff,7.0,0.0,0.0,0.0
82ce8ffffffffff,30.0,0.0,0.0,2.0
82ce9ffffffffff,2.0,0.0,0.0,0.0
82ceaffffffffff,6.0,0.0,0.0,0.0
82cf17fffffffff,2.0,0.0,0.0,2.0
82cf8ffffffffff,2.0,0.0,0.0,2.0
82cf97fffffffff,14.0,0.0,0.0,0.0
82cf9ffffffffff,2.0,0.0,0.0,0.0
82cfa7fffffffff,9.0,0.0,0.0,0.0
82cfaffffffffff,1.0,0.0,0.0,1.0
82df6ffffffffff,9.0,0.0,0.0,5.0
