cell_id,Pyriglena maura,Pyriglena maura pacifica,Pyriglena maura castanoptera,Pyriglena maura picea,Pyriglena maura [maura Group]
8266c7fffffffff,951.0,0.0,0.0,0.0,0.0
8266d7fffffffff,29.0,0.0,0.0,0.0,0.0
8266dffffffffff,1184.0,0.0,128.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0,0.0,0.0
828b07fffffffff,12.0,0.0,0.0,0.0,0.0
828b0ffffffffff,10.0,0.0,0.0,0.0,0.0
828b17fffffffff,12.0,0.0,0.0,0.0,0.0
828b1ffffffffff,4.0,0.0,0.0,0.0,0.0
828b27fffffffff,204.0,0.0,0.0,0.0,0.0
828b2ffffffffff,32.0,0.0,0.0,0.0,0.0
828b37fffffffff,47.0,0.0,0.0,0.0,0.0
828b67fffffffff,455.0,0.0,0.0,0.0,5.0
828b6ffffffffff,8.0,0.0,0.0,0.0,0.0
828b77fffffffff,75.0,0.0,0.0,0.0,0.0
828b87fffffffff,2.0,0.0,0.0,0.0,0.0
828b9ffffffffff,2.0,0.0,0.0,0.0,0.0
828ba7fffffffff,26.0,0.0,0.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0,0.0,0.0
828bb7fffffffff,166.0,0.0,0.0,0.0,0.0
828e67fffffffff,79.0,0.0,0.0,0.0,0.0
828f0ffffffffff,87.0,0.0,0.0,0.0,0.0
828f2ffffffffff,423.0,46.0,0.0,0.0,0.0
828f47fffffffff,65.0,0.0,0.0,0.0,0.0
828f4ffffffffff,19.0,0.0,0.0,0.0,0.0
828f57fffffffff,4.0,0.0,0.0,0.0,0.0
828f5ffffffffff,17.0,0.0,0.0,0.0,0.0
828f77fffffffff,256.0,0.0,1.0,0.0,0.0
82a847fffffffff,14.0,0.0,0.0,0.0,0.0
82a84ffffffffff,4.0,0.0,0.0,0.0,0.0
82a85ffffffffff,3.0,0.0,0.0,0.0,0.0
82a86ffffffffff,4.0,0.0,0.0,0.0,0.0
82b327fffffffff,20.0,0.0,0.0,0.0,0.0
82b367fffffffff,12.0,0.0,0.0,0.0,0.0
