cell_id,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus assimilis,Pyrrhomyias cinnamomeus [vieillotioides Group],Pyrrhomyias cinnamomeus cinnamomeus/pyrrhopterus
845f483ffffffff,1.0,0.0,0.0,0.0
8466089ffffffff,5.0,0.0,0.0,0.0
84660b9ffffffff,1.0,0.0,0.0,0.0
84660bdffffffff,3.0,0.0,0.0,0.0
84660ddffffffff,6.0,0.0,0.0,0.0
8466207ffffffff,2.0,0.0,0.0,0.0
846622bffffffff,2.0,2.0,0.0,0.0
8466c41ffffffff,2.0,0.0,0.0,0.0
8466de1ffffffff,18.0,0.0,0.0,18.0
8466e6dffffffff,1.0,0.0,0.0,0.0
8466f1dffffffff,5.0,0.0,0.0,2.0
84674edffffffff,1.0,0.0,1.0,0.0
84675a5ffffffff,2.0,0.0,2.0,0.0
84675e3ffffffff,3.0,0.0,0.0,0.0
84675ebffffffff,1.0,0.0,1.0,0.0
848b229ffffffff,2.0,0.0,0.0,2.0
848b2cdffffffff,2.0,0.0,0.0,0.0
848b6edffffffff,1.0,0.0,0.0,0.0
848f4a5ffffffff,1.0,0.0,0.0,1.0
848f4b3ffffffff,19.0,0.0,0.0,0.0
848f547ffffffff,2.0,0.0,0.0,0.0
848f5cdffffffff,1.0,0.0,0.0,1.0
84b2709ffffffff,1.0,0.0,0.0,0.0
84b3425ffffffff,1.0,0.0,0.0,0.0
84b35c1ffffffff,2.0,0.0,0.0,0.0
84b35c9ffffffff,2.0,0.0,0.0,0.0
84b35edffffffff,1.0,0.0,0.0,0.0
