cell_id,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus assimilis,Pyrrhomyias cinnamomeus [vieillotioides Group],Pyrrhomyias cinnamomeus cinnamomeus/pyrrhopterus
835f48fffffffff,9.0,0.0,0.0,0.0
835f4afffffffff,30.0,0.0,0.0,0.0
835f4bfffffffff,40.0,0.0,0.0,0.0
835f59fffffffff,1.0,0.0,1.0,0.0
836601fffffffff,2.0,0.0,0.0,0.0
836608fffffffff,463.0,0.0,0.0,8.0
836609fffffffff,23.0,0.0,0.0,0.0
83660afffffffff,15.0,0.0,0.0,0.0
83660bfffffffff,507.0,0.0,0.0,0.0
83660cfffffffff,151.0,0.0,0.0,2.0
83660dfffffffff,32.0,0.0,0.0,0.0
836618fffffffff,733.0,0.0,0.0,2.0
836619fffffffff,1357.0,0.0,0.0,4.0
83661afffffffff,2.0,0.0,0.0,0.0
83661bfffffffff,5346.0,0.0,0.0,420.0
83661cfffffffff,2.0,0.0,0.0,0.0
83661dfffffffff,268.0,0.0,0.0,3.0
83661efffffffff,3.0,0.0,0.0,0.0
836620fffffffff,1755.0,318.0,0.0,0.0
836621fffffffff,197.0,0.0,0.0,0.0
836622fffffffff,16.0,2.0,0.0,0.0
836623fffffffff,67.0,39.0,0.0,0.0
836629fffffffff,5.0,0.0,0.0,0.0
83662bfffffffff,2.0,0.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0,0.0
836656fffffffff,1.0,0.0,0.0,0.0
8366c0fffffffff,461.0,0.0,0.0,0.0
8366c2fffffffff,369.0,0.0,0.0,0.0
8366c4fffffffff,160.0,0.0,0.0,0.0
8366c6fffffffff,754.0,0.0,0.0,1.0
8366d0fffffffff,117.0,0.0,0.0,0.0
8366d1fffffffff,56.0,0.0,0.0,0.0
8366d2fffffffff,1.0,0.0,0.0,0.0
8366d3fffffffff,1814.0,0.0,0.0,126.0
8366d5fffffffff,53.0,0.0,0.0,5.0
8366dafffffffff,14.0,0.0,0.0,0.0
8366defffffffff,4797.0,0.0,0.0,343.0
8366e0fffffffff,1121.0,0.0,0.0,10.0
8366e2fffffffff,112.0,0.0,0.0,0.0
8366e3fffffffff,21.0,0.0,0.0,0.0
8366e4fffffffff,795.0,0.0,0.0,2.0
8366e5fffffffff,485.0,0.0,0.0,2.0
8366e6fffffffff,6697.0,0.0,0.0,180.0
8366f0fffffffff,142.0,0.0,0.0,0.0
8366f1fffffffff,1784.0,0.0,0.0,21.0
8366f3fffffffff,22.0,0.0,0.0,0.0
8366f5fffffffff,1101.0,0.0,0.0,9.0
836741fffffffff,15.0,0.0,0.0,0.0
836743fffffffff,94.0,0.0,2.0,0.0
83674cfffffffff,5.0,0.0,0.0,0.0
83674efffffffff,106.0,0.0,0.0,0.0
83675afffffffff,34.0,0.0,0.0,0.0
83675cfffffffff,32.0,0.0,0.0,0.0
83675efffffffff,31.0,0.0,0.0,0.0
838b20fffffffff,48.0,0.0,0.0,0.0
838b21fffffffff,34.0,0.0,0.0,0.0
838b22fffffffff,5.0,0.0,0.0,0.0
838b24fffffffff,4.0,0.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0,0.0
838b2cfffffffff,134.0,0.0,0.0,0.0
838b2dfffffffff,23.0,0.0,0.0,0.0
838b2efffffffff,3.0,0.0,0.0,0.0
838b61fffffffff,1831.0,0.0,0.0,123.0
838b63fffffffff,2.0,0.0,0.0,0.0
838b66fffffffff,2.0,0.0,0.0,0.0
838b6cfffffffff,758.0,0.0,0.0,18.0
838b74fffffffff,1.0,0.0,0.0,0.0
838b75fffffffff,78.0,0.0,0.0,0.0
838e60fffffffff,3.0,0.0,0.0,0.0
838e61fffffffff,24.0,0.0,0.0,0.0
838e64fffffffff,460.0,0.0,0.0,0.0
838e65fffffffff,144.0,0.0,0.0,0.0
838e6cfffffffff,38.0,0.0,0.0,0.0
838e6dfffffffff,164.0,0.0,0.0,9.0
838f29fffffffff,16.0,0.0,0.0,0.0
838f2bfffffffff,6.0,0.0,0.0,0.0
838f2dfffffffff,47.0,0.0,0.0,0.0
838f40fffffffff,1.0,0.0,0.0,0.0
838f42fffffffff,209.0,0.0,0.0,8.0
838f43fffffffff,19.0,0.0,0.0,0.0
838f46fffffffff,462.0,0.0,0.0,4.0
838f48fffffffff,4.0,0.0,0.0,0.0
838f4afffffffff,150.0,0.0,0.0,0.0
838f50fffffffff,8.0,0.0,0.0,0.0
838f51fffffffff,6.0,0.0,0.0,0.0
838f54fffffffff,138.0,0.0,0.0,0.0
838f55fffffffff,329.0,0.0,0.0,13.0
838f59fffffffff,85.0,0.0,0.0,0.0
838f5cfffffffff,41.0,0.0,0.0,0.0
838f5dfffffffff,30.0,0.0,0.0,0.0
838f70fffffffff,139.0,0.0,0.0,0.0
838f72fffffffff,717.0,0.0,0.0,45.0
838f73fffffffff,547.0,0.0,0.0,47.0
838f74fffffffff,39.0,0.0,0.0,0.0
838f76fffffffff,179.0,0.0,0.0,0.0
83b274fffffffff,14.0,0.0,0.0,0.0
83b321fffffffff,4.0,0.0,0.0,0.0
83b324fffffffff,30.0,0.0,0.0,0.0
83b325fffffffff,161.0,0.0,0.0,0.0
83b342fffffffff,243.0,0.0,0.0,0.0
83b344fffffffff,5.0,0.0,0.0,0.0
83b346fffffffff,22.0,0.0,0.0,0.0
83b351fffffffff,122.0,0.0,0.0,0.0
83b35bfffffffff,3.0,0.0,0.0,0.0
83b35cfffffffff,28.0,0.0,0.0,0.0
83b35efffffffff,17.0,0.0,0.0,0.0
83b373fffffffff,3.0,0.0,0.0,0.0
