cell_id,Rallus elegans,Rallus elegans elegans,Rallus elegans ramsdeni
822627fffffffff,1.0,0.0,0.0
822647fffffffff,4.0,0.0,0.0
82264ffffffffff,10.0,0.0,0.0
822667fffffffff,5.0,0.0,0.0
82266ffffffffff,20.0,0.0,0.0
822677fffffffff,5.0,0.0,0.0
8226dffffffffff,49.0,0.0,0.0
8226e7fffffffff,162.0,0.0,0.0
822aaffffffffff,1067.0,22.0,0.0
822ab7fffffffff,3.0,0.0,0.0
822ad7fffffffff,328.0,0.0,0.0
822af7fffffffff,1531.0,0.0,0.0
824417fffffffff,582.0,6.0,0.0
82441ffffffffff,67.0,0.0,0.0
824437fffffffff,40.0,0.0,1.0
824447fffffffff,2446.0,0.0,0.0
82444ffffffffff,119.0,0.0,0.0
824457fffffffff,284.0,0.0,0.0
82445ffffffffff,99.0,0.0,0.0
824467fffffffff,392.0,0.0,0.0
82446ffffffffff,3051.0,0.0,0.0
824477fffffffff,327.0,0.0,0.0
8244a7fffffffff,304.0,4.0,0.0
8244affffffffff,2422.0,25.0,0.0
8244c7fffffffff,297.0,0.0,0.0
8244d7fffffffff,266.0,0.0,0.0
8244dffffffffff,2.0,0.0,0.0
8244e7fffffffff,224.0,0.0,0.0
8244effffffffff,159.0,0.0,0.0
8244f7fffffffff,1385.0,2.0,0.0
82458ffffffffff,82.0,0.0,5.0
824597fffffffff,3.0,0.0,0.0
82459ffffffffff,3.0,0.0,0.0
824897fffffffff,451.0,0.0,0.0
824c97fffffffff,4.0,0.0,0.0
826d37fffffffff,1.0,0.0,0.0
