cell_id,Ramphocelus flammigerus,Ramphocelus flammigerus flammigerus,Ramphocelus flammigerus icteronotus,Ramphocelus flammigerus flammigerus x icteronotus
836601fffffffff,1.0,0.0,0.0,0.0
836602fffffffff,3.0,0.0,0.0,0.0
836608fffffffff,1019.0,0.0,271.0,0.0
83660afffffffff,30.0,0.0,5.0,0.0
83660bfffffffff,3.0,0.0,0.0,0.0
83660cfffffffff,41.0,0.0,13.0,0.0
83660efffffffff,5.0,0.0,3.0,0.0
836610fffffffff,374.0,0.0,107.0,0.0
836611fffffffff,86.0,2.0,65.0,0.0
836613fffffffff,330.0,0.0,133.0,0.0
836616fffffffff,222.0,0.0,56.0,0.0
836618fffffffff,518.0,85.0,46.0,0.0
836619fffffffff,2437.0,156.0,561.0,0.0
83661afffffffff,485.0,3.0,273.0,0.0
83661bfffffffff,8560.0,1291.0,1705.0,0.0
83661cfffffffff,92.0,0.0,25.0,0.0
83661dfffffffff,558.0,21.0,223.0,0.0
83661efffffffff,369.0,0.0,76.0,0.0
8366a0fffffffff,2399.0,0.0,755.0,0.0
8366a5fffffffff,2289.0,0.0,497.0,0.0
8366a6fffffffff,17.0,0.0,3.0,0.0
8366adfffffffff,1.0,0.0,0.0,0.0
8366b5fffffffff,11.0,0.0,4.0,0.0
8366c4fffffffff,30.0,0.0,10.0,0.0
8366c6fffffffff,1170.0,21.0,5.0,0.0
8366d0fffffffff,2347.0,5.0,1078.0,0.0
8366d1fffffffff,4.0,0.0,3.0,0.0
8366d2fffffffff,508.0,0.0,252.0,0.0
8366d3fffffffff,15086.0,0.0,7234.0,0.0
8366d4fffffffff,115.0,0.0,46.0,0.0
8366d5fffffffff,172.0,9.0,18.0,0.0
8366d6fffffffff,2.0,0.0,2.0,0.0
8366e0fffffffff,29.0,0.0,1.0,0.0
8366e2fffffffff,24.0,0.0,0.0,0.0
8366e4fffffffff,86.0,0.0,15.0,0.0
8366e6fffffffff,7320.0,695.0,83.0,0.0
8366f0fffffffff,3053.0,39.0,1690.0,0.0
8366f1fffffffff,7740.0,925.0,896.0,0.0
8366f3fffffffff,198.0,0.0,22.0,0.0
8366f5fffffffff,2452.0,162.0,35.0,0.0
83678bfffffffff,4.0,0.0,2.0,0.0
83679bfffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,1306.0,0.0,671.0,0.0
838f28fffffffff,4.0,0.0,0.0,0.0
838f29fffffffff,502.0,0.0,182.0,0.0
838f2afffffffff,441.0,0.0,183.0,0.0
838f2bfffffffff,206.0,0.0,90.0,0.0
838f2cfffffffff,448.0,0.0,103.0,0.0
838f2dfffffffff,8.0,0.0,4.0,0.0
838f2efffffffff,8.0,0.0,6.0,0.0
838f76fffffffff,82.0,0.0,13.0,0.0
