cell_id,Ramphocelus passerinii,Ramphocelus passerinii passerinii,Ramphocelus passerinii costaricensis
8445215ffffffff,1.0,1.0,0.0
844526bffffffff,10.0,0.0,0.0
84452e1ffffffff,14.0,2.0,0.0
84452e3ffffffff,1.0,1.0,0.0
84452e5ffffffff,2.0,2.0,0.0
8466b01ffffffff,112.0,0.0,112.0
8466b09ffffffff,482.0,0.0,480.0
8466b0bffffffff,1149.0,0.0,1149.0
8466b0dffffffff,3.0,0.0,3.0
8466b1dffffffff,1.0,0.0,1.0
8466b41ffffffff,1040.0,0.0,1034.0
8466b43ffffffff,13.0,0.0,13.0
8466b45ffffffff,455.0,0.0,455.0
8466b47ffffffff,584.0,0.0,583.0
8466b49ffffffff,2.0,2.0,0.0
8466b4dffffffff,15.0,8.0,0.0
8466b51ffffffff,13.0,0.0,4.0
8466b55ffffffff,445.0,0.0,443.0
8466b57ffffffff,212.0,0.0,212.0
8466b59ffffffff,1.0,1.0,0.0
8466b5bffffffff,11.0,2.0,2.0
8467961ffffffff,2.0,2.0,0.0
84679a1ffffffff,1.0,1.0,0.0
84679a5ffffffff,2459.0,2453.0,0.0
84679a7ffffffff,3.0,0.0,0.0
84679b3ffffffff,5.0,2.0,0.0
84679b7ffffffff,1.0,1.0,0.0
846d203ffffffff,18.0,18.0,0.0
846d21dffffffff,7.0,3.0,0.0
846d2c7ffffffff,4.0,0.0,0.0
846d315ffffffff,2.0,0.0,0.0
846d319ffffffff,4.0,4.0,0.0
846d613ffffffff,2.0,2.0,0.0
846d689ffffffff,3.0,0.0,0.0
846d68bffffffff,16.0,10.0,0.0
846d691ffffffff,70.0,35.0,14.0
846d697ffffffff,3.0,0.0,3.0
846d699ffffffff,396.0,392.0,0.0
846d69dffffffff,226.0,18.0,7.0
846d6d1ffffffff,3.0,3.0,0.0
846d6d3ffffffff,2.0,2.0,0.0
