cell_id,Rhipidura albiscapa,Rhipidura albiscapa [pelzelni Group],Rhipidura albiscapa keasti,Rhipidura albiscapa alisteri,Rhipidura albiscapa albiscapa,Rhipidura albiscapa preissi,Rhipidura albiscapa albicauda
82941ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
829457fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
82945ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
829487fffffffff,93.0,0.0,0.0,43.0,0.0,0.0,0.0
82948ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8294affffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8294c7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8294e7fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8294effffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8294f7fffffffff,16.0,0.0,0.0,8.0,0.0,0.0,0.0
829c07fffffffff,239.0,0.0,10.0,0.0,0.0,0.0,0.0
829c0ffffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
829c1ffffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
829c27fffffffff,3495.0,0.0,468.0,0.0,0.0,0.0,0.0
829c2ffffffffff,51.0,0.0,0.0,0.0,0.0,0.0,0.0
829c47fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
829c4ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
829c67fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
829c6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
829c77fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
829ce7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
829cf7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
829d07fffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
829d0ffffffffff,665.0,0.0,8.0,0.0,0.0,0.0,0.0
829d27fffffffff,388.0,0.0,0.0,35.0,0.0,0.0,0.0
829d2ffffffffff,90.0,0.0,2.0,0.0,0.0,0.0,0.0
829d47fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
829d4ffffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
829d57fffffffff,21.0,0.0,2.0,0.0,0.0,0.0,0.0
829d5ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
829d67fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
829d6ffffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
829d77fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
829e07fffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0
829e17fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
829e27fffffffff,252.0,0.0,0.0,0.0,0.0,0.0,0.0
829e2ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
829e37fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
829ed7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
829f0ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
829f57fffffffff,232.0,0.0,0.0,0.0,0.0,0.0,0.0
829f5ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82a617fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82a627fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82a637fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
82a707fffffffff,73.0,0.0,0.0,0.0,0.0,0.0,0.0
82a717fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
82a71ffffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
82a727fffffffff,1347.0,0.0,0.0,0.0,0.0,236.0,0.0
82a737fffffffff,344.0,0.0,0.0,0.0,0.0,68.0,0.0
82a787fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,2.0
82a78ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
82a79ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82a7affffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82b827fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82b82ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82b847fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82b84ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
