cell_id,Rhipidura layardi,Rhipidura layardi layardi,Rhipidura layardi erythronota,Rhipidura layardi rufilateralis
849b41bffffffff,55.0,0.0,0.0,0.0
849b437ffffffff,54.0,0.0,0.0,8.0
849b4c9ffffffff,2.0,0.0,0.0,0.0
849b4cbffffffff,8.0,0.0,0.0,0.0
849b4cdffffffff,4.0,0.0,0.0,0.0
849b4e5ffffffff,19.0,0.0,0.0,0.0
849b5d9ffffffff,11.0,0.0,0.0,0.0
849b5ddffffffff,2.0,0.0,0.0,1.0
849b6a3ffffffff,3.0,0.0,0.0,0.0
849b6a7ffffffff,49.0,0.0,0.0,0.0
849b6b5ffffffff,18.0,0.0,0.0,0.0
849b6b7ffffffff,1.0,0.0,0.0,0.0
849b6bdffffffff,2.0,0.0,0.0,0.0
849b6e7ffffffff,1.0,0.0,0.0,0.0
