cell_id,Rhynchocyclus olivaceus,Rhynchocyclus olivaceus guianensis/sordidus,Rhynchocyclus olivaceus olivaceus
825f07fffffffff,6.0,0.0,0.0
825f0ffffffffff,6.0,0.0,0.0
825f17fffffffff,20.0,1.0,0.0
825f1ffffffffff,3.0,0.0,0.0
825f2ffffffffff,66.0,0.0,0.0
825f47fffffffff,4.0,0.0,0.0
825f67fffffffff,1.0,0.0,0.0
825f6ffffffffff,7.0,0.0,0.0
825f77fffffffff,6.0,0.0,0.0
82802ffffffffff,1.0,0.0,0.0
828047fffffffff,53.0,0.0,0.0
828067fffffffff,22.0,0.0,0.0
82806ffffffffff,3.0,0.0,0.0
828077fffffffff,9.0,0.0,0.0
828117fffffffff,3.0,0.0,0.0
828137fffffffff,33.0,0.0,0.0
828147fffffffff,3.0,0.0,0.0
82814ffffffffff,25.0,0.0,0.0
82815ffffffffff,13.0,0.0,0.0
828187fffffffff,16.0,0.0,0.0
828a07fffffffff,13.0,0.0,0.0
828a17fffffffff,7.0,0.0,0.0
828a37fffffffff,3.0,0.0,0.0
828a87fffffffff,27.0,0.0,0.0
828a9ffffffffff,10.0,0.0,0.0
828aaffffffffff,10.0,0.0,0.0
828af7fffffffff,154.0,0.0,0.0
828b0ffffffffff,1.0,0.0,0.0
828b57fffffffff,1.0,0.0,0.0
828b5ffffffffff,2.0,0.0,0.0
828b9ffffffffff,28.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0
82a597fffffffff,35.0,0.0,0.0
82a85ffffffffff,1.0,0.0,0.0
82a887fffffffff,16.0,0.0,0.0
82a897fffffffff,42.0,0.0,0.0
82a89ffffffffff,1.0,0.0,0.0
