cell_id,Rynchops niger,Rynchops niger niger,Rynchops niger cinerascens,Rynchops niger intercedens
820e4ffffffffff,6.0,0.0,0.0,0.0
822647fffffffff,1.0,0.0,0.0,0.0
82264ffffffffff,4.0,0.0,0.0,0.0
82266ffffffffff,1.0,0.0,0.0,0.0
8226e7fffffffff,3.0,0.0,0.0,0.0
822807fffffffff,13.0,0.0,0.0,0.0
82281ffffffffff,1.0,0.0,0.0,0.0
822837fffffffff,727.0,1.0,0.0,0.0
822917fffffffff,1.0,0.0,0.0,0.0
82291ffffffffff,3.0,0.0,0.0,0.0
8229a7fffffffff,545.0,6.0,0.0,0.0
8229affffffffff,96.0,0.0,0.0,0.0
8229b7fffffffff,10.0,3.0,0.0,0.0
822a07fffffffff,10.0,0.0,0.0,0.0
822a17fffffffff,626.0,16.0,0.0,0.0
822a1ffffffffff,1.0,0.0,0.0,0.0
822a37fffffffff,646.0,3.0,0.0,0.0
822a87fffffffff,2.0,0.0,0.0,0.0
822a8ffffffffff,6.0,0.0,0.0,0.0
822aaffffffffff,932.0,12.0,0.0,0.0
822ab7fffffffff,2.0,0.0,0.0,0.0
822ad7fffffffff,100.0,0.0,0.0,0.0
822af7fffffffff,423.0,0.0,0.0,0.0
822b07fffffffff,2.0,0.0,0.0,0.0
822b0ffffffffff,249.0,0.0,0.0,0.0
822b17fffffffff,8.0,0.0,0.0,0.0
822b1ffffffffff,38.0,0.0,0.0,0.0
822b2ffffffffff,4.0,0.0,0.0,0.0
822baffffffffff,11.0,0.0,0.0,0.0
824417fffffffff,48.0,0.0,0.0,0.0
82441ffffffffff,229.0,32.0,0.0,0.0
824437fffffffff,3.0,0.0,0.0,0.0
824447fffffffff,75.0,0.0,0.0,0.0
824457fffffffff,49.0,0.0,0.0,0.0
82445ffffffffff,2.0,0.0,0.0,0.0
824467fffffffff,86.0,0.0,0.0,0.0
82446ffffffffff,101.0,2.0,0.0,0.0
824477fffffffff,74.0,0.0,0.0,0.0
824487fffffffff,79.0,0.0,0.0,0.0
8244a7fffffffff,7.0,0.0,0.0,0.0
8244affffffffff,179.0,5.0,0.0,0.0
8244b7fffffffff,11.0,4.0,0.0,0.0
8244cffffffffff,2.0,0.0,0.0,0.0
8244d7fffffffff,394.0,0.0,0.0,0.0
8244dffffffffff,4.0,0.0,0.0,0.0
8244e7fffffffff,8.0,6.0,0.0,0.0
8244f7fffffffff,203.0,0.0,0.0,0.0
824507fffffffff,37.0,0.0,0.0,0.0
82450ffffffffff,3.0,0.0,0.0,0.0
824527fffffffff,46.0,0.0,0.0,0.0
82452ffffffffff,45.0,0.0,0.0,0.0
824537fffffffff,5.0,0.0,0.0,0.0
824577fffffffff,2.0,2.0,0.0,0.0
82458ffffffffff,9.0,0.0,0.0,0.0
82459ffffffffff,4.0,0.0,0.0,0.0
8245a7fffffffff,1.0,0.0,0.0,0.0
82482ffffffffff,46.0,1.0,0.0,0.0
824837fffffffff,1.0,1.0,0.0,0.0
824847fffffffff,2.0,0.0,0.0,0.0
824857fffffffff,1.0,0.0,0.0,0.0
82485ffffffffff,77.0,0.0,0.0,0.0
824877fffffffff,12.0,0.0,0.0,0.0
824887fffffffff,18.0,0.0,0.0,0.0
824897fffffffff,202.0,1.0,0.0,0.0
82489ffffffffff,10.0,0.0,0.0,0.0
8248b7fffffffff,260.0,0.0,0.0,0.0
8248effffffffff,8.0,0.0,0.0,0.0
824987fffffffff,2.0,0.0,0.0,0.0
824997fffffffff,76.0,33.0,0.0,0.0
8249a7fffffffff,5.0,0.0,0.0,0.0
8249affffffffff,3.0,0.0,0.0,0.0
8249b7fffffffff,1.0,0.0,0.0,0.0
824cc7fffffffff,51.0,2.0,0.0,0.0
824ceffffffffff,29.0,0.0,0.0,0.0
824cf7fffffffff,3.0,3.0,0.0,0.0
825e4ffffffffff,2.0,0.0,0.0,0.0
825e67fffffffff,7.0,0.0,0.0,0.0
825f17fffffffff,1.0,0.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0,0.0
825f47fffffffff,3.0,0.0,0.0,0.0
825f5ffffffffff,56.0,0.0,2.0,0.0
826617fffffffff,16.0,0.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0
826627fffffffff,3.0,0.0,3.0,0.0
82662ffffffffff,6.0,0.0,0.0,0.0
826657fffffffff,2.0,0.0,0.0,0.0
826677fffffffff,2.0,0.0,0.0,0.0
8266a7fffffffff,75.0,0.0,6.0,0.0
8266b7fffffffff,13.0,2.0,0.0,0.0
8266d7fffffffff,29.0,1.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0
