cell_id,Sakesphorus canadensis,Sakesphorus canadensis pulchellus,Sakesphorus canadensis [canadensis Group]
845f581ffffffff,4.0,0.0,4.0
8466113ffffffff,11.0,0.0,0.0
84661cdffffffff,11.0,0.0,0.0
8466217ffffffff,2.0,0.0,0.0
8466219ffffffff,2.0,0.0,0.0
846623bffffffff,1.0,0.0,0.0
84662b7ffffffff,3.0,0.0,0.0
84662cdffffffff,1.0,1.0,0.0
84662e5ffffffff,1.0,0.0,0.0
8466411ffffffff,2.0,0.0,0.0
846656dffffffff,5.0,0.0,0.0
8466e0bffffffff,1.0,0.0,0.0
8466e51ffffffff,1.0,0.0,0.0
8466e57ffffffff,30.0,0.0,0.0
8466e59ffffffff,7.0,0.0,2.0
84674a7ffffffff,2.0,0.0,2.0
846751dffffffff,3.0,3.0,0.0
8467599ffffffff,2.0,0.0,2.0
84675cbffffffff,1.0,0.0,0.0
848a6d3ffffffff,1.0,0.0,0.0
848f489ffffffff,3.0,0.0,0.0
848f4c7ffffffff,4.0,0.0,0.0
