cell_id,Saxicola torquatus,Saxicola torquatus [torquatus Group],Saxicola torquatus albofasciatus,Saxicola torquatus sibilla
846adc7ffffffff,1.0,0.0,1.0,0.0
846adebffffffff,4.0,4.0,0.0,0.0
847a459ffffffff,2.0,2.0,0.0,0.0
847a657ffffffff,18.0,0.0,0.0,0.0
847a681ffffffff,7.0,0.0,0.0,0.0
847a6e5ffffffff,2.0,2.0,0.0,0.0
8496025ffffffff,1.0,0.0,0.0,0.0
8496097ffffffff,1.0,1.0,0.0,0.0
84962b9ffffffff,2.0,2.0,0.0,0.0
8496925ffffffff,2.0,0.0,0.0,0.0
8496935ffffffff,1.0,0.0,0.0,0.0
84a2353ffffffff,1.0,0.0,0.0,0.0
84a2357ffffffff,3.0,0.0,0.0,3.0
84a3083ffffffff,1.0,0.0,0.0,0.0
84a308bffffffff,9.0,0.0,0.0,9.0
84bc6b5ffffffff,2.0,0.0,0.0,0.0
84bcc6dffffffff,1.0,0.0,0.0,0.0
84bcdebffffffff,3.0,0.0,0.0,0.0
