cell_id,Sclerurus obscurior,Sclerurus obscurior andinus,Sclerurus obscurior obscurior,Sclerurus obscurior peruvianus,Sclerurus obscurior macconnelli,Sclerurus obscurior bahiae
845f00bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f117ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f129ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f143ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
845f2b3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
845f2d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
845f549ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466089ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846608dffffffff,17.0,0.0,0.0,0.0,0.0,0.0
84660c3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84660cbffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84660ddffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466113ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466189ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84661a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84661adffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84661b1ffffffff,131.0,69.0,0.0,0.0,0.0,0.0
84661b3ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
84661b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84661b9ffffffff,10.0,1.0,0.0,0.0,0.0,0.0
84661bbffffffff,5.0,1.0,0.0,0.0,0.0,0.0
84661bdffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84661cdffffffff,47.0,0.0,0.0,0.0,0.0,0.0
84661d1ffffffff,51.0,14.0,0.0,0.0,0.0,0.0
84661ddffffffff,2.0,1.0,0.0,0.0,0.0,0.0
846629dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84662e9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466c0dffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8466c63ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466d03ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8466d07ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8466d0bffffffff,58.0,7.0,0.0,0.0,0.0,0.0
8466d23ffffffff,7.0,0.0,3.0,0.0,0.0,0.0
8466d27ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466d31ffffffff,242.0,0.0,41.0,0.0,0.0,0.0
8466d35ffffffff,72.0,0.0,21.0,0.0,0.0,0.0
8466d37ffffffff,12.0,0.0,1.0,0.0,0.0,0.0
8466d3dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466da9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466dadffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8466dc3ffffffff,4.0,0.0,0.0,1.0,0.0,0.0
8466dd5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466dddffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8466de1ffffffff,29.0,0.0,0.0,2.0,0.0,0.0
8466de3ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8466debffffffff,44.0,0.0,0.0,9.0,0.0,0.0
