cell_id,Selenidera reinwardtii,Selenidera reinwardtii reinwardtii,Selenidera reinwardtii langsdorffii
84665abffffffff,1.0,0.0,0.0
8466c15ffffffff,1.0,0.0,0.0
8466c1dffffffff,3.0,0.0,0.0
8466c21ffffffff,102.0,0.0,0.0
8466c23ffffffff,16.0,0.0,0.0
8466c27ffffffff,8.0,0.0,0.0
8466c29ffffffff,10.0,0.0,0.0
8466c2bffffffff,21.0,0.0,0.0
8466c2dffffffff,3.0,0.0,0.0
8466c35ffffffff,6.0,0.0,0.0
8466c95ffffffff,3.0,0.0,0.0
8466cb1ffffffff,1.0,0.0,0.0
8466cc5ffffffff,7.0,0.0,0.0
8466cdbffffffff,1.0,0.0,0.0
8466ce9ffffffff,21.0,0.0,0.0
8466d13ffffffff,5.0,0.0,0.0
8466d1bffffffff,111.0,0.0,0.0
8466d81ffffffff,55.0,0.0,0.0
8466d8dffffffff,15.0,0.0,0.0
8466da9ffffffff,3.0,0.0,0.0
8466dadffffffff,18.0,2.0,0.0
8466db1ffffffff,13.0,0.0,0.0
8466db5ffffffff,6.0,0.0,0.0
8466dc1ffffffff,1.0,0.0,0.0
8466dc3ffffffff,351.0,40.0,0.0
8466dc7ffffffff,34.0,0.0,0.0
8466dc9ffffffff,2.0,0.0,0.0
8466dcbffffffff,2.0,2.0,0.0
8466dcdffffffff,3.0,0.0,0.0
8466dd3ffffffff,3.0,0.0,0.0
8466dd5ffffffff,42.0,4.0,0.0
8466dd7ffffffff,5.0,0.0,0.0
8466dd9ffffffff,2.0,0.0,0.0
8466ddbffffffff,4.0,0.0,0.0
8466dddffffffff,2.0,2.0,0.0
8466de1ffffffff,634.0,42.0,0.0
8466de3ffffffff,40.0,3.0,0.0
8466de9ffffffff,1.0,0.0,0.0
8466debffffffff,73.0,1.0,0.0
8466e8dffffffff,2.0,0.0,0.0
8466eadffffffff,7.0,0.0,0.0
8466ee1ffffffff,2.0,0.0,0.0
848a003ffffffff,2.0,0.0,2.0
848a00bffffffff,5.0,0.0,1.0
848a01dffffffff,10.0,0.0,4.0
848a051ffffffff,12.0,0.0,0.0
848a055ffffffff,1.0,0.0,0.0
848a059ffffffff,21.0,0.0,0.0
848a05bffffffff,18.0,0.0,0.0
848a069ffffffff,2.0,0.0,0.0
848a1a7ffffffff,18.0,0.0,1.0
848a1abffffffff,2.0,0.0,2.0
848a213ffffffff,1.0,0.0,0.0
848a2cdffffffff,3.0,0.0,0.0
848a451ffffffff,2.0,0.0,0.0
848a459ffffffff,36.0,0.0,0.0
848a45bffffffff,13.0,0.0,0.0
848a45dffffffff,6.0,0.0,0.0
848a489ffffffff,2.0,0.0,0.0
848a565ffffffff,2.0,0.0,0.0
848a68bffffffff,3.0,0.0,0.0
848a699ffffffff,65.0,0.0,0.0
848a69dffffffff,2.0,0.0,0.0
848a6b5ffffffff,1.0,0.0,0.0
848a6d1ffffffff,1.0,0.0,0.0
848a6d7ffffffff,3.0,0.0,0.0
848a6d9ffffffff,24.0,0.0,0.0
848a6dbffffffff,50.0,0.0,0.0
848a707ffffffff,7.0,0.0,0.0
848aa93ffffffff,10.0,0.0,0.0
848aa9dffffffff,2.0,0.0,0.0
848af4dffffffff,5.0,0.0,0.0
848b01bffffffff,3.0,0.0,0.0
848b401ffffffff,2.0,0.0,0.0
848b40bffffffff,3.0,0.0,0.0
848b40dffffffff,61.0,0.0,0.0
848b42dffffffff,2.0,0.0,0.0
848b445ffffffff,16.0,0.0,0.0
848b447ffffffff,12.0,0.0,0.0
848b449ffffffff,10.0,0.0,0.0
848b44bffffffff,133.0,0.0,5.0
848b44dffffffff,121.0,0.0,1.0
848b459ffffffff,9.0,0.0,0.0
848b463ffffffff,1.0,0.0,0.0
848b469ffffffff,41.0,0.0,0.0
848b46bffffffff,21.0,0.0,0.0
848b483ffffffff,2.0,0.0,0.0
