cell_id,Serpophaga subcristata,Serpophaga subcristata subcristata/straminea,Serpophaga subcristata munda
828b47fffffffff,3.0,1.0,0.0
82a82ffffffffff,1.0,0.0,0.0
82a85ffffffffff,34.0,0.0,34.0
82a877fffffffff,1.0,0.0,0.0
82a907fffffffff,6.0,0.0,2.0
82a947fffffffff,400.0,398.0,2.0
82a94ffffffffff,44.0,14.0,23.0
82a957fffffffff,3.0,1.0,0.0
82a967fffffffff,47.0,39.0,8.0
82a96ffffffffff,68.0,60.0,5.0
82a977fffffffff,17.0,17.0,0.0
82b20ffffffffff,2.0,0.0,2.0
82b247fffffffff,20.0,18.0,0.0
82b24ffffffffff,445.0,387.0,12.0
82b25ffffffffff,179.0,169.0,8.0
82b267fffffffff,83.0,79.0,3.0
82b26ffffffffff,183.0,168.0,11.0
82b277fffffffff,19.0,17.0,0.0
82b2cffffffffff,2.0,0.0,0.0
82b2effffffffff,4.0,0.0,4.0
82b347fffffffff,6.0,4.0,2.0
82b34ffffffffff,18.0,0.0,18.0
82b35ffffffffff,8.0,2.0,2.0
82b367fffffffff,3.0,1.0,2.0
82c207fffffffff,42.0,42.0,0.0
82c21ffffffffff,114.0,114.0,0.0
82c227fffffffff,4.0,4.0,0.0
82c22ffffffffff,47.0,47.0,0.0
82c28ffffffffff,1.0,0.0,0.0
82c2c7fffffffff,23.0,16.0,4.0
82c2cffffffffff,218.0,200.0,6.0
82c2e7fffffffff,2.0,0.0,0.0
82c2effffffffff,52.0,50.0,0.0
82c2f7fffffffff,3.0,1.0,2.0
82c30ffffffffff,6.0,6.0,0.0
82c32ffffffffff,19.0,13.0,1.0
82c34ffffffffff,22.0,22.0,0.0
82c357fffffffff,79.0,79.0,0.0
82c36ffffffffff,4.0,4.0,0.0
82c377fffffffff,3.0,1.0,2.0
82ce97fffffffff,23.0,10.0,5.0
