cell_id,Setophaga dominica,Setophaga dominica albilora,Setophaga dominica dominica/stoddardi
832609fffffffff,12.0,0.0,0.0
83260bfffffffff,4.0,0.0,0.0
83260dfffffffff,36.0,0.0,0.0
832629fffffffff,1.0,0.0,0.0
83262bfffffffff,31.0,0.0,0.0
832640fffffffff,265.0,6.0,0.0
832641fffffffff,826.0,89.0,0.0
832642fffffffff,426.0,5.0,0.0
832643fffffffff,846.0,15.0,0.0
832644fffffffff,35.0,1.0,0.0
832645fffffffff,42.0,3.0,0.0
832646fffffffff,1463.0,24.0,0.0
832648fffffffff,589.0,0.0,0.0
832649fffffffff,296.0,0.0,0.0
83264afffffffff,590.0,0.0,0.0
83264bfffffffff,250.0,0.0,0.0
83264cfffffffff,942.0,0.0,0.0
83264dfffffffff,980.0,0.0,0.0
83264efffffffff,217.0,2.0,0.0
832650fffffffff,169.0,4.0,0.0
832651fffffffff,426.0,0.0,0.0
832652fffffffff,188.0,0.0,0.0
832653fffffffff,748.0,10.0,0.0
832654fffffffff,52.0,0.0,0.0
832655fffffffff,992.0,6.0,0.0
832656fffffffff,642.0,0.0,0.0
832658fffffffff,140.0,0.0,0.0
832659fffffffff,680.0,0.0,0.0
83265afffffffff,81.0,0.0,0.0
83265bfffffffff,334.0,0.0,0.0
83265cfffffffff,684.0,18.0,0.0
83265dfffffffff,354.0,0.0,0.0
83265efffffffff,458.0,0.0,0.0
832660fffffffff,83.0,0.0,0.0
832661fffffffff,1736.0,0.0,0.0
832662fffffffff,302.0,3.0,0.0
832663fffffffff,394.0,3.0,0.0
832664fffffffff,666.0,2.0,0.0
832665fffffffff,191.0,0.0,0.0
832666fffffffff,214.0,5.0,0.0
832668fffffffff,863.0,0.0,0.0
832669fffffffff,89.0,0.0,0.0
83266afffffffff,434.0,0.0,0.0
83266bfffffffff,563.0,0.0,0.0
83266cfffffffff,1535.0,0.0,0.0
83266dfffffffff,646.0,0.0,0.0
83266efffffffff,410.0,2.0,0.0
832670fffffffff,83.0,2.0,0.0
832671fffffffff,66.0,7.0,0.0
832672fffffffff,9.0,0.0,0.0
832673fffffffff,69.0,0.0,0.0
832674fffffffff,70.0,0.0,0.0
832675fffffffff,37.0,2.0,0.0
8326c1fffffffff,204.0,0.0,0.0
8326c5fffffffff,41.0,0.0,0.0
8326c8fffffffff,60.0,0.0,0.0
8326c9fffffffff,116.0,0.0,0.0
8326ccfffffffff,95.0,0.0,0.0
8326cdfffffffff,80.0,1.0,0.0
8326cefffffffff,8.0,0.0,0.0
8326e1fffffffff,7.0,0.0,0.0
8326e5fffffffff,84.0,0.0,0.0
8326e8fffffffff,132.0,0.0,0.0
8326e9fffffffff,176.0,0.0,0.0
8326eafffffffff,68.0,0.0,0.0
8326ebfffffffff,31.0,0.0,0.0
8326ecfffffffff,323.0,0.0,0.0
8326edfffffffff,1220.0,3.0,0.0
8326eefffffffff,142.0,0.0,0.0
832749fffffffff,29.0,0.0,0.0
83274bfffffffff,389.0,0.0,0.0
832759fffffffff,432.0,4.0,0.0
83275afffffffff,146.0,0.0,0.0
83275bfffffffff,397.0,11.0,0.0
832a10fffffffff,131.0,0.0,0.0
832a12fffffffff,47.0,1.0,0.0
832a13fffffffff,84.0,0.0,0.0
832a4cfffffffff,288.0,0.0,0.0
832a80fffffffff,389.0,17.0,0.0
832a81fffffffff,149.0,25.0,0.0
832a82fffffffff,888.0,9.0,0.0
832a83fffffffff,109.0,2.0,0.0
832a84fffffffff,952.0,7.0,0.0
832a85fffffffff,371.0,83.0,0.0
832a86fffffffff,363.0,4.0,0.0
832a88fffffffff,436.0,0.0,0.0
832a89fffffffff,1434.0,0.0,2.0
832a8afffffffff,422.0,0.0,0.0
832a8bfffffffff,1781.0,0.0,20.0
832a8cfffffffff,676.0,0.0,0.0
832a8dfffffffff,1783.0,0.0,0.0
832a8efffffffff,331.0,3.0,0.0
832a90fffffffff,1377.0,0.0,0.0
832a91fffffffff,1183.0,0.0,0.0
832a92fffffffff,707.0,0.0,0.0
832a93fffffffff,2628.0,0.0,0.0
832a94fffffffff,284.0,0.0,0.0
832a95fffffffff,2804.0,0.0,0.0
832a96fffffffff,95.0,0.0,0.0
832a98fffffffff,144.0,0.0,0.0
832a99fffffffff,621.0,0.0,0.0
832a9afffffffff,813.0,0.0,0.0
832a9bfffffffff,714.0,0.0,0.0
832a9cfffffffff,338.0,3.0,0.0
832a9dfffffffff,534.0,56.0,0.0
832a9efffffffff,1086.0,0.0,0.0
832aa0fffffffff,71.0,0.0,0.0
832aa1fffffffff,28.0,0.0,0.0
832aa2fffffffff,32.0,0.0,0.0
832aa3fffffffff,288.0,0.0,0.0
832aa8fffffffff,2140.0,32.0,105.0
832aa9fffffffff,3608.0,0.0,421.0
832aaafffffffff,935.0,28.0,0.0
832aabfffffffff,1346.0,0.0,16.0
832aacfffffffff,719.0,90.0,0.0
832aadfffffffff,5704.0,24.0,290.0
832aaefffffffff,350.0,2.0,0.0
832ab0fffffffff,15.0,0.0,0.0
832ab1fffffffff,68.0,0.0,0.0
832ab2fffffffff,267.0,0.0,0.0
832ab3fffffffff,1242.0,0.0,0.0
832ad0fffffffff,294.0,0.0,9.0
832ad1fffffffff,179.0,0.0,0.0
832ad2fffffffff,209.0,0.0,0.0
832ad3fffffffff,503.0,0.0,0.0
832ad4fffffffff,182.0,0.0,0.0
832ad5fffffffff,714.0,0.0,28.0
832ad6fffffffff,2197.0,0.0,44.0
832af0fffffffff,94.0,0.0,2.0
832af1fffffffff,20.0,0.0,0.0
832af2fffffffff,520.0,0.0,5.0
832af3fffffffff,447.0,0.0,21.0
832af6fffffffff,3238.0,0.0,0.0
834412fffffffff,1054.0,0.0,38.0
834413fffffffff,5423.0,0.0,9.0
834414fffffffff,233.0,0.0,5.0
834415fffffffff,1.0,0.0,0.0
834416fffffffff,1634.0,0.0,81.0
83441afffffffff,4862.0,0.0,206.0
83441bfffffffff,235.0,0.0,0.0
83441efffffffff,4781.0,0.0,213.0
834424fffffffff,86.0,2.0,0.0
834430fffffffff,417.0,27.0,0.0
834432fffffffff,780.0,66.0,10.0
834434fffffffff,134.0,4.0,0.0
834436fffffffff,22.0,0.0,0.0
834440fffffffff,281.0,0.0,0.0
834441fffffffff,41.0,0.0,0.0
834442fffffffff,42.0,0.0,0.0
834443fffffffff,55.0,0.0,0.0
834444fffffffff,152.0,0.0,0.0
834445fffffffff,41.0,0.0,0.0
834446fffffffff,657.0,0.0,0.0
834448fffffffff,135.0,0.0,0.0
834449fffffffff,308.0,0.0,0.0
83444afffffffff,36.0,0.0,0.0
83444bfffffffff,128.0,0.0,0.0
83444cfffffffff,143.0,0.0,0.0
83444dfffffffff,383.0,0.0,0.0
83444efffffffff,180.0,0.0,0.0
834450fffffffff,1002.0,0.0,0.0
834451fffffffff,39.0,0.0,0.0
834452fffffffff,108.0,0.0,0.0
834453fffffffff,26.0,0.0,0.0
834455fffffffff,375.0,0.0,0.0
834456fffffffff,118.0,0.0,0.0
834458fffffffff,15.0,0.0,0.0
834459fffffffff,49.0,0.0,0.0
83445afffffffff,368.0,0.0,0.0
83445bfffffffff,486.0,0.0,0.0
83445cfffffffff,92.0,0.0,0.0
83445dfffffffff,17.0,0.0,0.0
83445efffffffff,17.0,0.0,0.0
834463fffffffff,56.0,0.0,0.0
834468fffffffff,287.0,2.0,0.0
834469fffffffff,139.0,0.0,0.0
83446afffffffff,467.0,6.0,0.0
83446bfffffffff,154.0,2.0,0.0
83446cfffffffff,1501.0,4.0,0.0
83446dfffffffff,136.0,1.0,0.0
83446efffffffff,801.0,2.0,0.0
834471fffffffff,30.0,0.0,0.0
834473fffffffff,701.0,0.0,0.0
