cell_id,Setophaga palmarum,Setophaga palmarum palmarum,Setophaga palmarum hypochrysea
830c2cfffffffff,2.0,0.0,0.0
830c41fffffffff,28.0,2.0,0.0
830c42fffffffff,1.0,0.0,0.0
830c73fffffffff,3.0,0.0,0.0
830c75fffffffff,2.0,2.0,0.0
830ca4fffffffff,2.0,2.0,0.0
830d03fffffffff,8.0,8.0,0.0
830d5afffffffff,5.0,0.0,0.0
830e48fffffffff,2.0,0.0,0.0
830e49fffffffff,2.0,0.0,1.0
830e80fffffffff,7.0,7.0,0.0
830e9afffffffff,4.0,4.0,0.0
830ec5fffffffff,1.0,0.0,0.0
830eccfffffffff,22.0,5.0,0.0
830ed8fffffffff,1.0,0.0,0.0
830eeafffffffff,214.0,3.0,0.0
830eedfffffffff,2.0,0.0,0.0
830eeefffffffff,5.0,0.0,0.0
831225fffffffff,2.0,0.0,0.0
83122efffffffff,1.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0
831243fffffffff,1.0,0.0,0.0
831259fffffffff,2.0,2.0,0.0
83125afffffffff,2.0,0.0,0.0
83128bfffffffff,2.0,2.0,0.0
831290fffffffff,25.0,6.0,0.0
831294fffffffff,9.0,0.0,0.0
8312abfffffffff,2.0,2.0,0.0
8312b0fffffffff,16.0,0.0,0.0
8312b6fffffffff,2.0,0.0,0.0
8312c0fffffffff,2.0,2.0,0.0
8312c1fffffffff,32.0,6.0,0.0
8312c2fffffffff,2.0,2.0,0.0
8312c8fffffffff,4.0,0.0,0.0
8312c9fffffffff,4.0,4.0,0.0
8312cafffffffff,6.0,0.0,0.0
8312cbfffffffff,2.0,0.0,0.0
8312ccfffffffff,70.0,2.0,0.0
8312cdfffffffff,4.0,0.0,0.0
8312cefffffffff,2.0,0.0,0.0
8312d1fffffffff,1.0,0.0,0.0
8312d6fffffffff,2.0,0.0,0.0
8312d8fffffffff,3.0,0.0,0.0
8312dcfffffffff,5.0,0.0,0.0
8312ddfffffffff,4.0,0.0,0.0
8312defffffffff,2.0,0.0,0.0
8312eafffffffff,2.0,0.0,0.0
8312ecfffffffff,5.0,0.0,0.0
8312f6fffffffff,4.0,0.0,0.0
831352fffffffff,5.0,5.0,0.0
831353fffffffff,5.0,0.0,0.0
831383fffffffff,1.0,0.0,0.0
831386fffffffff,7.0,0.0,0.0
83139efffffffff,6.0,0.0,0.0
831aa0fffffffff,27.0,0.0,0.0
831aa2fffffffff,12.0,0.0,0.0
831aa3fffffffff,41.0,0.0,0.0
831aa4fffffffff,2.0,0.0,0.0
831aa6fffffffff,38.0,0.0,6.0
831aadfffffffff,1.0,0.0,0.0
831ab0fffffffff,9.0,0.0,0.0
831ab5fffffffff,2.0,0.0,0.0
831b8afffffffff,8.0,0.0,0.0
831b98fffffffff,1.0,0.0,0.0
831b99fffffffff,1.0,0.0,0.0
831b9afffffffff,1.0,0.0,0.0
831b9bfffffffff,8.0,0.0,4.0
831b9efffffffff,4.0,0.0,2.0
831bb3fffffffff,2.0,2.0,0.0
8322d0fffffffff,2.0,0.0,0.0
832600fffffffff,2.0,2.0,0.0
832603fffffffff,8.0,2.0,0.0
832604fffffffff,2.0,0.0,0.0
832608fffffffff,6.0,0.0,0.0
83260afffffffff,15.0,5.0,0.0
83260bfffffffff,8.0,0.0,0.0
83260efffffffff,2.0,0.0,0.0
832611fffffffff,4.0,0.0,0.0
832616fffffffff,2.0,0.0,0.0
832618fffffffff,2.0,0.0,0.0
832621fffffffff,6.0,2.0,0.0
832626fffffffff,12.0,0.0,0.0
832628fffffffff,1.0,0.0,0.0
832629fffffffff,8.0,2.0,0.0
83262bfffffffff,18.0,0.0,0.0
83262cfffffffff,6.0,1.0,0.0
83262efffffffff,2.0,0.0,0.0
832634fffffffff,3.0,0.0,0.0
832635fffffffff,3.0,3.0,0.0
832636fffffffff,1.0,0.0,0.0
832640fffffffff,16.0,1.0,0.0
832641fffffffff,29.0,7.0,0.0
832642fffffffff,3.0,1.0,0.0
832643fffffffff,34.0,1.0,0.0
832645fffffffff,1.0,1.0,0.0
832646fffffffff,56.0,4.0,0.0
832648fffffffff,23.0,0.0,0.0
832649fffffffff,41.0,5.0,2.0
83264afffffffff,60.0,3.0,2.0
83264bfffffffff,29.0,0.0,1.0
83264cfffffffff,85.0,22.0,11.0
83264dfffffffff,81.0,24.0,2.0
83264efffffffff,32.0,4.0,0.0
832650fffffffff,2.0,0.0,0.0
832651fffffffff,6.0,0.0,0.0
832652fffffffff,6.0,0.0,0.0
832653fffffffff,6.0,0.0,0.0
832655fffffffff,6.0,1.0,0.0
832656fffffffff,28.0,0.0,0.0
832659fffffffff,19.0,3.0,0.0
83265afffffffff,16.0,8.0,2.0
83265bfffffffff,10.0,2.0,0.0
83265cfffffffff,3.0,2.0,0.0
83265dfffffffff,58.0,3.0,0.0
83265efffffffff,4.0,0.0,0.0
832661fffffffff,8.0,0.0,0.0
832662fffffffff,3.0,0.0,0.0
832663fffffffff,10.0,6.0,0.0
832664fffffffff,166.0,52.0,0.0
832665fffffffff,14.0,6.0,0.0
832666fffffffff,14.0,0.0,1.0
