cell_id,Sheppardia polioptera,Sheppardia polioptera nigriceps/tessmanni,Sheppardia polioptera polioptera
8358c8fffffffff,4.0,0.0,0.0
8358defffffffff,1.0,0.0,0.0
8358e2fffffffff,6.0,0.0,0.0
836ac0fffffffff,2.0,0.0,1.0
836ac1fffffffff,50.0,0.0,4.0
836ac3fffffffff,1.0,0.0,0.0
836ac8fffffffff,1.0,0.0,1.0
836acdfffffffff,3.0,0.0,0.0
836acefffffffff,2.0,0.0,0.0
836adcfffffffff,431.0,0.0,47.0
8375a0fffffffff,1.0,0.0,0.0
837a48fffffffff,25.0,0.0,0.0
837a4cfffffffff,154.0,0.0,0.0
837a4dfffffffff,22.0,0.0,0.0
837a68fffffffff,2.0,0.0,0.0
838312fffffffff,13.0,0.0,0.0
838315fffffffff,2.0,0.0,0.0
8383a8fffffffff,3.0,0.0,0.0
839609fffffffff,12.0,0.0,0.0
83960bfffffffff,9.0,0.0,2.0
839656fffffffff,7.0,0.0,0.0
