cell_id,Sialia sialis,Sialia sialis sialis/bermudensis,Sialia sialis [guatemalae Group]
820e4ffffffffff,97.0,0.0,0.0
820e5ffffffffff,4.0,0.0,0.0
820ecffffffffff,58.0,0.0,0.0
820edffffffffff,4.0,0.0,0.0
820eeffffffffff,2.0,0.0,0.0
82125ffffffffff,3.0,0.0,0.0
822607fffffffff,1038.0,112.0,0.0
82260ffffffffff,4895.0,86.0,0.0
822617fffffffff,615.0,5.0,0.0
82261ffffffffff,413.0,2.0,0.0
822627fffffffff,5411.0,0.0,0.0
82262ffffffffff,5485.0,0.0,0.0
822637fffffffff,397.0,0.0,0.0
822647fffffffff,14855.0,0.0,0.0
82264ffffffffff,23799.0,0.0,0.0
822657fffffffff,32925.0,0.0,0.0
82265ffffffffff,15953.0,0.0,0.0
822667fffffffff,28677.0,164.0,0.0
82266ffffffffff,15449.0,293.0,0.0
822677fffffffff,4109.0,0.0,0.0
822687fffffffff,172.0,0.0,0.0
82268ffffffffff,492.0,0.0,0.0
8226a7fffffffff,143.0,0.0,0.0
8226affffffffff,1491.0,0.0,0.0
8226c7fffffffff,5084.0,0.0,0.0
8226cffffffffff,19377.0,0.0,0.0
8226d7fffffffff,493.0,0.0,0.0
8226dffffffffff,2239.0,0.0,0.0
8226e7fffffffff,13045.0,0.0,0.0
8226effffffffff,8481.0,0.0,0.0
8226f7fffffffff,676.0,0.0,0.0
822707fffffffff,466.0,0.0,0.0
82270ffffffffff,1002.0,0.0,0.0
822717fffffffff,564.0,0.0,0.0
82271ffffffffff,805.0,0.0,0.0
82272ffffffffff,7.0,0.0,0.0
822747fffffffff,3739.0,0.0,0.0
82274ffffffffff,40828.0,2.0,0.0
822757fffffffff,7445.0,0.0,0.0
82275ffffffffff,24964.0,0.0,0.0
822767fffffffff,1078.0,0.0,0.0
82276ffffffffff,3869.0,0.0,0.0
822777fffffffff,397.0,0.0,0.0
822787fffffffff,26.0,0.0,0.0
82278ffffffffff,192.0,0.0,0.0
822797fffffffff,2.0,0.0,0.0
82279ffffffffff,10.0,0.0,0.0
8227a7fffffffff,14.0,0.0,0.0
8227affffffffff,512.0,0.0,0.0
822a07fffffffff,42.0,0.0,0.0
822a17fffffffff,65464.0,17.0,0.0
822a37fffffffff,62676.0,59.0,0.0
822a4ffffffffff,1754.0,0.0,0.0
822a87fffffffff,22411.0,286.0,0.0
822a8ffffffffff,80219.0,1006.0,0.0
822a97fffffffff,35860.0,257.0,0.0
822a9ffffffffff,11057.0,53.0,0.0
822aa7fffffffff,42225.0,65.0,0.0
822aaffffffffff,170379.0,3996.0,0.0
822ab7fffffffff,36633.0,30.0,0.0
822ad7fffffffff,19429.0,123.0,0.0
822af7fffffffff,27533.0,0.0,0.0
822b07fffffffff,315.0,0.0,0.0
822b0ffffffffff,5.0,0.0,0.0
822b17fffffffff,2012.0,0.0,0.0
822b1ffffffffff,3881.0,0.0,0.0
822b2ffffffffff,4.0,0.0,0.0
822b37fffffffff,187.0,0.0,0.0
822b87fffffffff,3807.0,50.0,0.0
822b8ffffffffff,25732.0,69.0,0.0
822b97fffffffff,513.0,0.0,0.0
822b9ffffffffff,14526.0,119.0,0.0
822ba7fffffffff,539.0,0.0,0.0
822baffffffffff,10280.0,1.0,0.0
822bb7fffffffff,290.0,0.0,0.0
824417fffffffff,3409.0,26.0,0.0
82441ffffffffff,10712.0,206.0,0.0
824447fffffffff,11036.0,0.0,0.0
82444ffffffffff,8289.0,2.0,0.0
824457fffffffff,17242.0,0.0,0.0
82445ffffffffff,5326.0,0.0,0.0
824467fffffffff,54.0,0.0,0.0
82446ffffffffff,20472.0,0.0,0.0
824477fffffffff,242.0,0.0,0.0
8244affffffffff,6621.0,49.0,0.0
8244c7fffffffff,37237.0,0.0,0.0
8244cffffffffff,31135.0,88.0,0.0
8244d7fffffffff,31312.0,0.0,0.0
8244dffffffffff,43627.0,2076.0,0.0
8244e7fffffffff,11915.0,238.0,0.0
8244effffffffff,9062.0,0.0,0.0
8244f7fffffffff,21863.0,561.0,0.0
824527fffffffff,1029.0,0.0,0.0
824537fffffffff,152.0,0.0,0.0
82480ffffffffff,37.0,0.0,0.0
824817fffffffff,183.0,0.0,0.0
82481ffffffffff,55.0,0.0,0.0
824837fffffffff,855.0,0.0,60.0
824857fffffffff,2.0,0.0,0.0
824887fffffffff,954.0,0.0,0.0
82488ffffffffff,619.0,0.0,0.0
824897fffffffff,4946.0,0.0,0.0
82489ffffffffff,26041.0,0.0,0.0
8248a7fffffffff,129.0,0.0,0.0
8248affffffffff,163.0,0.0,0.0
8248b7fffffffff,1561.0,0.0,0.0
8248c7fffffffff,722.0,0.0,15.0
8248cffffffffff,2.0,0.0,0.0
8248d7fffffffff,276.0,0.0,0.0
8248dffffffffff,5135.0,0.0,0.0
8248e7fffffffff,186.0,0.0,1.0
8248effffffffff,2177.0,0.0,918.0
8248f7fffffffff,124.0,0.0,0.0
824987fffffffff,571.0,0.0,0.0
82498ffffffffff,79.0,0.0,2.0
824997fffffffff,606.0,0.0,59.0
82499ffffffffff,134.0,0.0,13.0
8249a7fffffffff,1.0,0.0,0.0
8249affffffffff,1032.0,0.0,54.0
8249b7fffffffff,118.0,0.0,0.0
826797fffffffff,26.0,0.0,0.0
8267b7fffffffff,13.0,0.0,0.0
826d17fffffffff,3.0,0.0,0.0
826d27fffffffff,341.0,0.0,44.0
826d2ffffffffff,3717.0,0.0,143.0
826d37fffffffff,116.0,0.0,19.0
826d67fffffffff,1840.0,0.0,0.0
826d77fffffffff,54.0,0.0,0.0
