cell_id,Spinus magellanicus,Spinus magellanicus longirostris,Spinus magellanicus [capitalis Group],Spinus magellanicus [magellanicus Group]
845f291ffffffff,13.0,0.0,0.0,0.0
845f297ffffffff,4.0,0.0,0.0,0.0
845f42bffffffff,2.0,0.0,0.0,0.0
845f711ffffffff,6.0,0.0,0.0,0.0
845f719ffffffff,8.0,0.0,0.0,0.0
845f74bffffffff,4.0,0.0,0.0,0.0
845f755ffffffff,11.0,0.0,0.0,0.0
845f759ffffffff,4.0,0.0,0.0,0.0
846618bffffffff,1.0,0.0,0.0,0.0
8466191ffffffff,2.0,0.0,0.0,0.0
8466197ffffffff,42.0,0.0,0.0,0.0
846619dffffffff,7.0,0.0,0.0,0.0
84661b3ffffffff,3.0,0.0,0.0,0.0
84661b9ffffffff,5.0,0.0,0.0,0.0
84661bbffffffff,19.0,0.0,0.0,0.0
84661d1ffffffff,12.0,0.0,0.0,0.0
8466c63ffffffff,2.0,0.0,0.0,0.0
8466c69ffffffff,4.0,0.0,0.0,0.0
8466c6dffffffff,4.0,0.0,0.0,0.0
8466d11ffffffff,11.0,0.0,0.0,0.0
8466d15ffffffff,103.0,0.0,0.0,0.0
8466d1dffffffff,5.0,0.0,0.0,0.0
8466d31ffffffff,568.0,0.0,0.0,0.0
8466d33ffffffff,2342.0,0.0,0.0,0.0
8466d35ffffffff,7.0,0.0,0.0,0.0
8466d37ffffffff,10.0,0.0,0.0,0.0
8466d39ffffffff,14.0,0.0,0.0,0.0
8466d3bffffffff,344.0,0.0,0.0,0.0
8466da7ffffffff,1.0,0.0,0.0,0.0
8466dadffffffff,6.0,0.0,0.0,0.0
8466de1ffffffff,41.0,0.0,0.0,0.0
8466de5ffffffff,302.0,0.0,0.0,0.0
8466dedffffffff,130.0,0.0,0.0,0.0
8466e2dffffffff,10.0,0.0,0.0,0.0
8466e61ffffffff,70.0,0.0,0.0,0.0
8466e65ffffffff,198.0,0.0,0.0,0.0
8466e67ffffffff,23.0,0.0,0.0,0.0
8466e69ffffffff,5.0,0.0,0.0,0.0
8466e6dffffffff,451.0,0.0,0.0,0.0
8466f19ffffffff,12.0,0.0,0.0,0.0
8466f1dffffffff,7.0,0.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0,0.0
8466f53ffffffff,8.0,0.0,0.0,0.0
8466f5bffffffff,8.0,0.0,0.0,0.0
8481029ffffffff,19.0,0.0,0.0,0.0
8481063ffffffff,3.0,0.0,0.0,0.0
8481149ffffffff,2.0,0.0,0.0,0.0
8481163ffffffff,1.0,0.0,0.0,0.0
8481245ffffffff,4.0,0.0,0.0,0.0
848124dffffffff,48.0,0.0,0.0,0.0
848b201ffffffff,47.0,0.0,0.0,0.0
848b203ffffffff,110.0,0.0,0.0,0.0
848b205ffffffff,54.0,0.0,0.0,0.0
848b207ffffffff,8.0,0.0,0.0,0.0
848b20bffffffff,46.0,0.0,0.0,0.0
848b20dffffffff,3.0,0.0,0.0,0.0
848b211ffffffff,35.0,0.0,0.0,0.0
848b213ffffffff,2.0,0.0,0.0,0.0
848b215ffffffff,1.0,0.0,0.0,0.0
848b21bffffffff,15.0,0.0,0.0,0.0
848b21dffffffff,37.0,0.0,0.0,0.0
848b229ffffffff,52.0,0.0,0.0,0.0
848b22dffffffff,4.0,0.0,0.0,0.0
848b241ffffffff,14.0,0.0,0.0,0.0
848b247ffffffff,7.0,0.0,0.0,0.0
848b249ffffffff,2.0,0.0,0.0,0.0
848b24bffffffff,6.0,0.0,0.0,0.0
