cell_id,Spizella breweri,Spizella breweri breweri,Spizella breweri taverneri
820c67fffffffff,22.0,0.0,22.0
820d4ffffffffff,2.0,0.0,2.0
821217fffffffff,6.0,0.0,3.0
82121ffffffffff,2.0,0.0,2.0
82128ffffffffff,5.0,0.0,3.0
8212b7fffffffff,2.0,0.0,1.0
8212c7fffffffff,35.0,0.0,9.0
8212cffffffffff,45.0,2.0,40.0
8212d7fffffffff,31.0,0.0,0.0
8212dffffffffff,84.0,6.0,0.0
8212e7fffffffff,2.0,0.0,2.0
8212effffffffff,2.0,0.0,0.0
8212f7fffffffff,2.0,0.0,2.0
821387fffffffff,44.0,0.0,22.0
82138ffffffffff,4.0,0.0,4.0
821397fffffffff,6.0,0.0,2.0
8213b7fffffffff,2.0,0.0,2.0
82260ffffffffff,2.0,0.0,0.0
822617fffffffff,1.0,0.0,0.0
822667fffffffff,2.0,0.0,0.0
822687fffffffff,80.0,0.0,0.0
82268ffffffffff,198.0,11.0,0.0
822697fffffffff,129.0,2.0,2.0
82269ffffffffff,119.0,6.0,0.0
8226a7fffffffff,13.0,0.0,0.0
8226affffffffff,99.0,0.0,0.0
8226b7fffffffff,8.0,0.0,0.0
8226d7fffffffff,66.0,0.0,0.0
8226dffffffffff,44.0,0.0,0.0
8226effffffffff,4.0,0.0,0.0
8226f7fffffffff,29.0,4.0,0.0
822717fffffffff,2.0,0.0,0.0
822747fffffffff,2.0,0.0,0.0
822777fffffffff,1.0,0.0,0.0
822787fffffffff,14.0,0.0,0.0
82278ffffffffff,49.0,0.0,0.0
822797fffffffff,5.0,0.0,0.0
82279ffffffffff,2.0,2.0,0.0
8227b7fffffffff,34.0,8.0,0.0
822807fffffffff,31.0,2.0,0.0
822817fffffffff,68.0,0.0,0.0
82281ffffffffff,120.0,0.0,0.0
822837fffffffff,360.0,13.0,1.0
822887fffffffff,48.0,0.0,0.0
82288ffffffffff,22.0,0.0,0.0
822897fffffffff,25.0,2.0,0.0
82289ffffffffff,5.0,0.0,0.0
8228a7fffffffff,18.0,0.0,0.0
8228affffffffff,77.0,4.0,0.0
8228b7fffffffff,11.0,0.0,0.0
8228c7fffffffff,3.0,0.0,0.0
8228d7fffffffff,125.0,2.0,0.0
8228dffffffffff,30.0,1.0,0.0
8228f7fffffffff,58.0,0.0,0.0
822917fffffffff,45.0,0.0,0.0
82291ffffffffff,35.0,1.0,0.0
822987fffffffff,42.0,0.0,0.0
82298ffffffffff,115.0,6.0,0.0
822997fffffffff,57.0,10.0,0.0
82299ffffffffff,1.0,0.0,0.0
8229a7fffffffff,415.0,5.0,0.0
8229affffffffff,124.0,3.0,0.0
8229b7fffffffff,57.0,10.0,0.0
822a17fffffffff,46.0,9.0,0.0
822a87fffffffff,14.0,0.0,0.0
822aaffffffffff,12.0,0.0,0.0
822ab7fffffffff,35.0,0.0,0.0
822af7fffffffff,61.0,0.0,0.0
822b0ffffffffff,2.0,0.0,0.0
822b1ffffffffff,12.0,0.0,0.0
822b37fffffffff,2.0,0.0,2.0
82446ffffffffff,78.0,0.0,0.0
82480ffffffffff,6.0,0.0,0.0
824827fffffffff,7.0,2.0,0.0
82482ffffffffff,31.0,1.0,0.0
824837fffffffff,2.0,0.0,0.0
824847fffffffff,1.0,0.0,0.0
824857fffffffff,1.0,0.0,0.0
82485ffffffffff,86.0,0.0,0.0
824877fffffffff,8.0,0.0,0.0
824887fffffffff,44.0,2.0,0.0
82488ffffffffff,61.0,0.0,0.0
824897fffffffff,5.0,0.0,0.0
82489ffffffffff,79.0,2.0,0.0
8248affffffffff,2.0,0.0,0.0
8248b7fffffffff,38.0,0.0,0.0
8248c7fffffffff,40.0,2.0,0.0
8248cffffffffff,25.0,6.0,0.0
8248d7fffffffff,36.0,0.0,0.0
8248dffffffffff,81.0,0.0,0.0
8248e7fffffffff,6.0,0.0,0.0
8248effffffffff,525.0,316.0,2.0
8248f7fffffffff,26.0,0.0,0.0
824987fffffffff,9.0,0.0,0.0
824997fffffffff,17.0,0.0,0.0
8249affffffffff,6.0,0.0,0.0
