cell_id,Sporophila corvina,Sporophila corvina corvina,Sporophila corvina [ophthalmica Group]
834505fffffffff,103.0,0.0,0.0
834520fffffffff,196.0,0.0,0.0
834521fffffffff,1183.0,32.0,0.0
834522fffffffff,550.0,0.0,0.0
834523fffffffff,1188.0,76.0,0.0
834525fffffffff,95.0,3.0,0.0
834526fffffffff,411.0,0.0,0.0
834528fffffffff,16.0,2.0,0.0
83452afffffffff,200.0,15.0,0.0
83452cfffffffff,269.0,30.0,0.0
83452dfffffffff,189.0,46.0,0.0
83452efffffffff,2348.0,134.0,0.0
834530fffffffff,17.0,0.0,0.0
834531fffffffff,122.0,0.0,0.0
834532fffffffff,100.0,0.0,0.0
834534fffffffff,44.0,0.0,0.0
834535fffffffff,8.0,0.0,0.0
834536fffffffff,132.0,0.0,0.0
836610fffffffff,852.0,0.0,0.0
836611fffffffff,35.0,0.0,0.0
836612fffffffff,72.0,0.0,0.0
836613fffffffff,918.0,0.0,0.0
836616fffffffff,1657.0,0.0,0.0
836618fffffffff,7.0,0.0,0.0
83661afffffffff,370.0,0.0,7.0
83661bfffffffff,621.0,0.0,22.0
83661efffffffff,172.0,0.0,0.0
836684fffffffff,18.0,0.0,0.0
8366a0fffffffff,1988.0,0.0,0.0
8366a1fffffffff,599.0,0.0,0.0
8366a2fffffffff,150.0,0.0,0.0
8366a3fffffffff,115.0,0.0,0.0
8366a5fffffffff,10825.0,0.0,0.0
8366a6fffffffff,1282.0,522.0,0.0
8366adfffffffff,2.0,0.0,0.0
8366b0fffffffff,3105.0,0.0,0.0
8366b1fffffffff,72.0,0.0,0.0
8366b4fffffffff,10046.0,0.0,0.0
8366b5fffffffff,8273.0,240.0,0.0
8366b6fffffffff,232.0,0.0,0.0
8366d0fffffffff,1284.0,0.0,75.0
8366d2fffffffff,358.0,0.0,38.0
8366d3fffffffff,5442.0,0.0,450.0
8366d4fffffffff,167.0,0.0,13.0
8366d5fffffffff,29.0,0.0,0.0
8366d6fffffffff,16.0,0.0,4.0
8366f0fffffffff,1047.0,0.0,20.0
8366f1fffffffff,137.0,0.0,0.0
8366f3fffffffff,123.0,0.0,0.0
8366f5fffffffff,16.0,0.0,0.0
83678bfffffffff,21.0,0.0,0.0
836790fffffffff,37.0,0.0,0.0
836791fffffffff,3.0,0.0,0.0
836792fffffffff,32.0,0.0,0.0
836793fffffffff,37.0,0.0,0.0
836794fffffffff,49.0,0.0,0.0
836796fffffffff,186.0,0.0,0.0
83679afffffffff,7332.0,0.0,0.0
83679bfffffffff,2351.0,218.0,0.0
8367b2fffffffff,6.0,0.0,0.0
836d20fffffffff,26.0,0.0,0.0
836d21fffffffff,191.0,39.0,0.0
836d22fffffffff,15.0,1.0,0.0
836d23fffffffff,51.0,11.0,0.0
836d25fffffffff,4.0,0.0,0.0
836d28fffffffff,2.0,0.0,0.0
836d2cfffffffff,474.0,95.0,0.0
836d2dfffffffff,250.0,73.0,0.0
836d30fffffffff,104.0,23.0,0.0
836d31fffffffff,115.0,14.0,0.0
836d34fffffffff,1.0,0.0,0.0
836d35fffffffff,49.0,0.0,0.0
836d60fffffffff,11.0,0.0,0.0
836d61fffffffff,5.0,0.0,0.0
836d64fffffffff,4.0,0.0,0.0
836d65fffffffff,1506.0,0.0,0.0
836d68fffffffff,3237.0,148.0,11.0
836d69fffffffff,19003.0,0.0,0.0
836d6bfffffffff,261.0,0.0,0.0
836d6cfffffffff,29.0,0.0,0.0
836d6dfffffffff,4190.0,0.0,0.0
838f08fffffffff,3.0,0.0,0.0
838f09fffffffff,16.0,0.0,0.0
838f0dfffffffff,838.0,0.0,0.0
838f28fffffffff,73.0,0.0,5.0
838f29fffffffff,283.0,0.0,0.0
838f2afffffffff,752.0,0.0,18.0
838f2bfffffffff,959.0,0.0,58.0
838f2cfffffffff,330.0,0.0,9.0
838f2dfffffffff,10.0,0.0,0.0
838f2efffffffff,51.0,0.0,8.0
838f50fffffffff,258.0,0.0,0.0
838f54fffffffff,3.0,0.0,0.0
838f56fffffffff,37.0,0.0,0.0
838f72fffffffff,4.0,0.0,0.0
838f76fffffffff,66.0,0.0,0.0
