cell_id,Sporophila morelleti,Sporophila morelleti sharpei,Sporophila morelleti morelleti
824507fffffffff,4.0,0.0,0.0
82450ffffffffff,1.0,0.0,0.0
824527fffffffff,13.0,0.0,0.0
82452ffffffffff,42.0,0.0,0.0
824577fffffffff,1.0,0.0,0.0
824807fffffffff,2.0,0.0,0.0
824887fffffffff,45.0,0.0,0.0
82488ffffffffff,120.0,0.0,0.0
8248b7fffffffff,1194.0,0.0,0.0
824997fffffffff,52.0,0.0,0.0
82499ffffffffff,9.0,0.0,0.0
8266b7fffffffff,33.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0
826d07fffffffff,8.0,0.0,0.0
826d27fffffffff,8.0,0.0,0.0
826d2ffffffffff,12.0,0.0,0.0
826d37fffffffff,25.0,0.0,0.0
826d67fffffffff,10.0,0.0,0.0
826d6ffffffffff,43.0,0.0,0.0
826d77fffffffff,1.0,0.0,0.0
