cell_id,Stactolaema leucotis,Stactolaema leucotis leucogrammica,Stactolaema leucotis leucotis/kilimensis
837a40fffffffff,17.0,0.0,0.0
837a45fffffffff,23.0,0.0,0.0
837a61fffffffff,8.0,0.0,0.0
837a65fffffffff,86.0,0.0,0.0
837a6dfffffffff,2.0,0.0,0.0
837b48fffffffff,160.0,0.0,0.0
837b4afffffffff,45.0,0.0,0.0
837b4bfffffffff,25.0,0.0,0.0
837b59fffffffff,2.0,0.0,0.0
839690fffffffff,18.0,0.0,0.0
839692fffffffff,532.0,0.0,0.0
839693fffffffff,3.0,0.0,0.0
8396b0fffffffff,3.0,0.0,0.0
8396b4fffffffff,4.0,0.0,0.0
8396b6fffffffff,3.0,0.0,0.0
839702fffffffff,22.0,0.0,0.0
839703fffffffff,50.0,0.0,0.0
839711fffffffff,17.0,0.0,0.0
83971cfffffffff,68.0,0.0,0.0
83978dfffffffff,1.0,0.0,0.0
839799fffffffff,3.0,0.0,0.0
8397a8fffffffff,42.0,0.0,0.0
8397acfffffffff,4.0,0.0,0.0
83bc19fffffffff,4.0,0.0,0.0
83bc1bfffffffff,88.0,0.0,8.0
83bc89fffffffff,20.0,0.0,0.0
83bcd4fffffffff,2.0,0.0,0.0
83bce2fffffffff,1.0,0.0,0.0
83bcf0fffffffff,261.0,0.0,52.0
83bcf2fffffffff,245.0,0.0,47.0
83bcf4fffffffff,285.0,0.0,48.0
83bcf5fffffffff,116.0,0.0,4.0
83bcf6fffffffff,892.0,0.0,154.0
