cell_id,Stelgidopteryx serripennis,Stelgidopteryx serripennis [serripennis Group],Stelgidopteryx serripennis ridgwayi/stuarti
821217fffffffff,2.0,0.0,0.0
82121ffffffffff,56.0,0.0,0.0
821257fffffffff,15.0,0.0,0.0
82125ffffffffff,38.0,0.0,0.0
821277fffffffff,7.0,0.0,0.0
821287fffffffff,152.0,0.0,0.0
82128ffffffffff,472.0,0.0,0.0
82129ffffffffff,32.0,0.0,0.0
8212a7fffffffff,2.0,0.0,0.0
8212affffffffff,300.0,0.0,0.0
8212b7fffffffff,4.0,0.0,0.0
8212c7fffffffff,1586.0,1.0,0.0
8212cffffffffff,4242.0,0.0,0.0
8212d7fffffffff,3390.0,0.0,0.0
8212dffffffffff,6340.0,11.0,0.0
8212e7fffffffff,30.0,0.0,0.0
8212effffffffff,235.0,0.0,0.0
8212f7fffffffff,278.0,0.0,0.0
82139ffffffffff,2.0,0.0,0.0
822607fffffffff,813.0,17.0,0.0
82260ffffffffff,1860.0,13.0,0.0
822617fffffffff,492.0,1.0,0.0
82261ffffffffff,298.0,1.0,0.0
822627fffffffff,1559.0,0.0,0.0
82262ffffffffff,2651.0,0.0,0.0
822637fffffffff,546.0,0.0,0.0
822647fffffffff,5655.0,10.0,0.0
82264ffffffffff,7983.0,0.0,0.0
822657fffffffff,10604.0,0.0,0.0
82265ffffffffff,4704.0,0.0,0.0
822667fffffffff,17517.0,51.0,0.0
82266ffffffffff,6040.0,0.0,0.0
822677fffffffff,2426.0,0.0,0.0
822687fffffffff,3952.0,0.0,0.0
82268ffffffffff,8215.0,0.0,0.0
822697fffffffff,6432.0,0.0,0.0
82269ffffffffff,3935.0,1.0,0.0
8226a7fffffffff,387.0,0.0,0.0
8226affffffffff,2715.0,1.0,0.0
8226b7fffffffff,753.0,0.0,0.0
8226c7fffffffff,830.0,0.0,0.0
8226cffffffffff,2136.0,0.0,0.0
8226d7fffffffff,423.0,0.0,0.0
8226dffffffffff,305.0,0.0,0.0
8226e7fffffffff,3949.0,0.0,0.0
8226effffffffff,2222.0,0.0,0.0
8226f7fffffffff,915.0,0.0,0.0
822707fffffffff,86.0,0.0,0.0
82270ffffffffff,224.0,0.0,0.0
822717fffffffff,101.0,0.0,0.0
82271ffffffffff,393.0,0.0,0.0
822747fffffffff,2063.0,0.0,0.0
82274ffffffffff,14918.0,0.0,0.0
822757fffffffff,2501.0,0.0,0.0
82275ffffffffff,15224.0,0.0,0.0
822767fffffffff,178.0,0.0,0.0
82276ffffffffff,2239.0,0.0,0.0
822777fffffffff,48.0,0.0,0.0
822787fffffffff,404.0,0.0,0.0
82278ffffffffff,437.0,0.0,0.0
822797fffffffff,1114.0,0.0,0.0
82279ffffffffff,485.0,0.0,0.0
8227a7fffffffff,136.0,0.0,0.0
8227affffffffff,558.0,0.0,0.0
8227b7fffffffff,353.0,0.0,0.0
822807fffffffff,2094.0,0.0,0.0
822817fffffffff,2571.0,0.0,0.0
82281ffffffffff,1855.0,90.0,0.0
822837fffffffff,23377.0,163.0,0.0
822887fffffffff,4942.0,85.0,0.0
82288ffffffffff,5656.0,113.0,0.0
822897fffffffff,2865.0,0.0,0.0
82289ffffffffff,2230.0,0.0,0.0
8228a7fffffffff,281.0,3.0,0.0
8228affffffffff,3095.0,70.0,0.0
8228b7fffffffff,2500.0,0.0,0.0
8228c7fffffffff,825.0,0.0,0.0
8228cffffffffff,21.0,0.0,0.0
8228d7fffffffff,14574.0,0.0,0.0
8228dffffffffff,4636.0,0.0,0.0
8228f7fffffffff,6312.0,0.0,0.0
822917fffffffff,2838.0,0.0,0.0
82291ffffffffff,550.0,0.0,0.0
822987fffffffff,4297.0,0.0,0.0
82298ffffffffff,2811.0,0.0,0.0
822997fffffffff,2132.0,6.0,0.0
82299ffffffffff,442.0,0.0,0.0
8229a7fffffffff,38985.0,0.0,0.0
8229affffffffff,5185.0,0.0,0.0
8229b7fffffffff,7803.0,0.0,0.0
822a07fffffffff,35.0,0.0,0.0
822a17fffffffff,28959.0,66.0,0.0
