cell_id,Strepera versicolor,Strepera versicolor versicolor/plumbea,Strepera versicolor arguta,Strepera versicolor melanoptera,Strepera versicolor intermedia,Strepera versicolor halmaturina
84be089ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84be08dffffffff,8.0,2.0,0.0,0.0,0.0,0.0
84be093ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be0bbffffffff,2.0,2.0,0.0,0.0,0.0,0.0
84be0c3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84be0d1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be0dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be453ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be4cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be4edffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be541ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84be593ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
84be607ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be62bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be631ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84be635ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be6b5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84be721ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be725ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84be72dffffffff,13.0,13.0,0.0,0.0,0.0,0.0
84be735ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84bf4c5ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
84c9905ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
