cell_id,Strix huhula,Strix huhula [undescribed cloud-forest form]
845f2b9ffffffff,2.0,0.0
845f2bbffffffff,5.0,0.0
845f4e5ffffffff,4.0,0.0
8466c5dffffffff,1.0,0.0
8466d1bffffffff,1.0,0.0
8466dadffffffff,7.0,0.0
8466dc7ffffffff,2.0,0.0
8466de1ffffffff,12.0,6.0
8466debffffffff,3.0,0.0
8466e3bffffffff,5.0,0.0
8466e57ffffffff,28.0,0.0
8466e59ffffffff,22.0,0.0
8480053ffffffff,1.0,0.0
848a459ffffffff,2.0,0.0
848a45dffffffff,1.0,0.0
848f705ffffffff,10.0,0.0
848f763ffffffff,3.0,0.0
84a8353ffffffff,19.0,0.0
84a9425ffffffff,10.0,0.0
84b340dffffffff,5.0,0.0
84b3461ffffffff,6.0,0.0
84b346bffffffff,7.0,0.0
