cell_id,Strix huhula,Strix huhula [undescribed cloud-forest form]
845f00dffffffff,1.0,0.0
845f03dffffffff,12.0,0.0
845f083ffffffff,2.0,0.0
845f10dffffffff,1.0,0.0
845f12bffffffff,1.0,0.0
845f151ffffffff,1.0,0.0
845f1c3ffffffff,3.0,0.0
845f1cbffffffff,6.0,0.0
845f2b1ffffffff,9.0,0.0
845f2b3ffffffff,4.0,0.0
845f2b9ffffffff,2.0,0.0
845f2bbffffffff,120.0,0.0
845f407ffffffff,1.0,0.0
845f42bffffffff,2.0,0.0
845f461ffffffff,1.0,0.0
845f689ffffffff,1.0,0.0
845f68bffffffff,2.0,0.0
845f713ffffffff,1.0,0.0
84666a1ffffffff,2.0,0.0
84666e3ffffffff,2.0,0.0
84666ebffffffff,3.0,0.0
8466c01ffffffff,69.0,0.0
8466c0dffffffff,1.0,0.0
8466c21ffffffff,4.0,0.0
8466c2bffffffff,12.0,0.0
8466c35ffffffff,2.0,0.0
8466ce1ffffffff,2.0,0.0
8466d81ffffffff,15.0,0.0
8466da7ffffffff,2.0,0.0
8466da9ffffffff,2.0,0.0
8466dadffffffff,1.0,0.0
8466db1ffffffff,5.0,0.0
8466dc3ffffffff,72.0,0.0
8466dc7ffffffff,21.0,0.0
8466dd5ffffffff,3.0,0.0
8466dd7ffffffff,1.0,0.0
8466de1ffffffff,1013.0,841.0
8466de3ffffffff,5.0,0.0
8466de7ffffffff,3.0,0.0
8466debffffffff,9.0,0.0
8466e8dffffffff,2.0,0.0
8466eadffffffff,2.0,0.0
8466ee5ffffffff,2.0,0.0
8480469ffffffff,2.0,0.0
8480655ffffffff,4.0,0.0
848066bffffffff,3.0,0.0
84806b3ffffffff,1.0,0.0
8480709ffffffff,1.0,0.0
8480759ffffffff,2.0,0.0
8481211ffffffff,7.0,0.0
8481303ffffffff,1.0,0.0
8481307ffffffff,1.0,0.0
8481343ffffffff,9.0,0.0
8481421ffffffff,1.0,0.0
848145dffffffff,1.0,0.0
84814a9ffffffff,3.0,0.0
84814adffffffff,2.0,0.0
84814d5ffffffff,13.0,0.0
84814e3ffffffff,1.0,0.0
84814e7ffffffff,2.0,0.0
84815abffffffff,3.0,0.0
84815d9ffffffff,13.0,0.0
8481635ffffffff,33.0,0.0
8481711ffffffff,1.0,0.0
848175bffffffff,2.0,0.0
848a04bffffffff,2.0,0.0
848a059ffffffff,9.0,0.0
848a23bffffffff,2.0,0.0
848a249ffffffff,4.0,0.0
848a259ffffffff,1.0,0.0
848a451ffffffff,3.0,0.0
848a459ffffffff,7.0,0.0
848a45bffffffff,3.0,0.0
848a681ffffffff,1.0,0.0
848a68bffffffff,6.0,0.0
848a691ffffffff,1.0,0.0
848a699ffffffff,39.0,0.0
848a6d3ffffffff,1.0,0.0
848a6d7ffffffff,14.0,0.0
848a6d9ffffffff,12.0,0.0
848a6dbffffffff,11.0,0.0
848a927ffffffff,6.0,0.0
848a9cdffffffff,6.0,0.0
848aa91ffffffff,1.0,0.0
848aaadffffffff,5.0,0.0
848ad13ffffffff,1.0,0.0
848af09ffffffff,4.0,0.0
848af61ffffffff,5.0,0.0
848af63ffffffff,34.0,0.0
848af67ffffffff,12.0,0.0
848b0d1ffffffff,1.0,0.0
848b213ffffffff,2.0,0.0
848b229ffffffff,2.0,0.0
848b291ffffffff,1.0,0.0
848b40dffffffff,3.0,0.0
848b445ffffffff,2.0,0.0
848b447ffffffff,9.0,0.0
848b44bffffffff,42.0,0.0
848b44dffffffff,14.0,0.0
848b459ffffffff,4.0,0.0
848b469ffffffff,3.0,0.0
848b4e5ffffffff,2.0,0.0
848b511ffffffff,4.0,0.0
848b529ffffffff,4.0,0.0
848b5cdffffffff,1.0,0.0
848b617ffffffff,119.0,0.0
848b61bffffffff,2.0,0.0
848b623ffffffff,1.0,0.0
848b627ffffffff,6.0,0.0
848b637ffffffff,43.0,0.0
848b63bffffffff,45.0,0.0
848b69bffffffff,2.0,0.0
848b6e5ffffffff,8.0,0.0
848b6e7ffffffff,12.0,0.0
848b6edffffffff,13.0,0.0
848b709ffffffff,9.0,0.0
848b713ffffffff,29.0,0.0
848b747ffffffff,1.0,0.0
848b759ffffffff,2.0,0.0
848b829ffffffff,2.0,0.0
848b849ffffffff,1.0,0.0
848b999ffffffff,5.0,0.0
848b9d5ffffffff,11.0,0.0
848ba47ffffffff,2.0,0.0
848ba55ffffffff,1.0,0.0
848ba63ffffffff,4.0,0.0
848bb59ffffffff,1.0,0.0
848f401ffffffff,58.0,0.0
848f421ffffffff,15.0,0.0
848f425ffffffff,3.0,0.0
848f437ffffffff,1.0,0.0
848f439ffffffff,1.0,0.0
848f461ffffffff,2.0,0.0
848f463ffffffff,17.0,0.0
848f4c7ffffffff,4.0,0.0
848f61bffffffff,1.0,0.0
848f6b5ffffffff,1.0,0.0
848f6c9ffffffff,5.0,0.0
848f71bffffffff,3.0,0.0
848f733ffffffff,2.0,0.0
848f74bffffffff,1.0,0.0
848f76bffffffff,6.0,0.0
84a801bffffffff,5.0,0.0
84a8061ffffffff,6.0,0.0
84a8103ffffffff,6.0,0.0
84a8105ffffffff,1.0,0.0
84a8109ffffffff,1.0,0.0
84a8123ffffffff,4.0,0.0
84a8129ffffffff,2.0,0.0
84a812bffffffff,14.0,0.0
84a8153ffffffff,1.0,0.0
84a8155ffffffff,14.0,0.0
84a8167ffffffff,3.0,0.0
84a8195ffffffff,2.0,0.0
84a81bbffffffff,2.0,0.0
84a81edffffffff,32.0,0.0
84a82a5ffffffff,2.0,0.0
84a8311ffffffff,2.0,0.0
84a8421ffffffff,3.0,0.0
84a8439ffffffff,2.0,0.0
84a8461ffffffff,5.0,0.0
84a8463ffffffff,20.0,0.0
84a856dffffffff,2.0,0.0
84a8591ffffffff,134.0,0.0
84a8599ffffffff,4.0,0.0
84a8807ffffffff,7.0,0.0
84a88ddffffffff,12.0,0.0
84a8917ffffffff,7.0,0.0
84a8919ffffffff,3.0,0.0
84a891bffffffff,3.0,0.0
84a8a19ffffffff,3.0,0.0
84a8a23ffffffff,25.0,0.0
84a8a2bffffffff,1.0,0.0
84a8a35ffffffff,2.0,0.0
84a8a3bffffffff,2.0,0.0
