cell_id,Strix leptogrammica,Strix leptogrammica [indranee Group],Strix leptogrammica niasensis,Strix leptogrammica [leptogrammica Group]
833c0afffffffff,8.0,0.0,0.0,0.0
833c1dfffffffff,14.0,0.0,0.0,0.0
833c36fffffffff,1.0,0.0,0.0,0.0
833c43fffffffff,1.0,0.0,0.0,0.0
833c5cfffffffff,2.0,0.0,0.0,0.0
833c83fffffffff,2.0,0.0,0.0,0.0
833c90fffffffff,7.0,0.0,0.0,0.0
833c92fffffffff,8.0,0.0,0.0,0.0
833cabfffffffff,54.0,1.0,0.0,0.0
833cb4fffffffff,3.0,0.0,0.0,0.0
833cc0fffffffff,2.0,0.0,0.0,0.0
833cc5fffffffff,6.0,0.0,0.0,0.0
833cd4fffffffff,13.0,0.0,0.0,0.0
833ce2fffffffff,1.0,0.0,0.0,0.0
833ce4fffffffff,2.0,0.0,0.0,0.0
833ce5fffffffff,5.0,0.0,0.0,0.0
833cf3fffffffff,6.0,0.0,0.0,0.0
833d15fffffffff,2.0,0.0,0.0,0.0
833d9bfffffffff,1.0,0.0,0.0,0.0
833dadfffffffff,9.0,1.0,0.0,0.0
834185fffffffff,7.0,0.0,0.0,0.0
8342d9fffffffff,6.0,0.0,0.0,0.0
8342dbfffffffff,2.0,0.0,0.0,0.0
836002fffffffff,26.0,0.0,0.0,0.0
836006fffffffff,10.0,0.0,0.0,0.0
836011fffffffff,29.0,0.0,0.0,0.0
836014fffffffff,7.0,0.0,0.0,0.0
836015fffffffff,11.0,0.0,0.0,0.0
836016fffffffff,3.0,0.0,0.0,0.0
83601efffffffff,2.0,0.0,0.0,0.0
836026fffffffff,11.0,0.0,0.0,0.0
836031fffffffff,80.0,1.0,0.0,0.0
836032fffffffff,7.0,0.0,0.0,0.0
836033fffffffff,50.0,0.0,0.0,0.0
836088fffffffff,18.0,0.0,0.0,0.0
83608bfffffffff,13.0,0.0,0.0,0.0
83608dfffffffff,13.0,0.0,0.0,0.0
836092fffffffff,14.0,0.0,0.0,0.0
8360a8fffffffff,1.0,0.0,0.0,0.0
8360a9fffffffff,39.0,0.0,0.0,0.0
836500fffffffff,32.0,0.0,0.0,0.0
836503fffffffff,6.0,0.0,0.0,0.0
83651dfffffffff,2.0,0.0,0.0,0.0
836591fffffffff,2.0,0.0,0.0,0.0
8365b0fffffffff,1.0,0.0,0.0,0.0
836818fffffffff,3.0,0.0,0.0,3.0
