cell_id,Strix virgata,Strix virgata [virgata Group],Strix virgata superciliaris/macconnelli,Strix virgata borelliana
8444249ffffffff,1.0,0.0,0.0,0.0
8445019ffffffff,25.0,0.0,0.0,0.0
844501bffffffff,3.0,0.0,0.0,0.0
8445053ffffffff,4.0,0.0,0.0,0.0
844505bffffffff,13.0,0.0,0.0,0.0
8445083ffffffff,41.0,0.0,0.0,0.0
8445085ffffffff,8.0,0.0,0.0,0.0
8445087ffffffff,119.0,0.0,0.0,0.0
844508bffffffff,6.0,0.0,0.0,0.0
84450a1ffffffff,15.0,0.0,0.0,0.0
84450a3ffffffff,47.0,0.0,0.0,0.0
84450a5ffffffff,1.0,0.0,0.0,0.0
84450a7ffffffff,2.0,0.0,0.0,0.0
84450a9ffffffff,9.0,0.0,0.0,0.0
84450abffffffff,29.0,2.0,0.0,0.0
84450b1ffffffff,5.0,0.0,0.0,0.0
84450b5ffffffff,13.0,0.0,0.0,0.0
84450bdffffffff,4.0,0.0,0.0,0.0
84450c1ffffffff,3.0,0.0,0.0,0.0
84450c5ffffffff,22.0,0.0,0.0,0.0
84450cbffffffff,1.0,0.0,0.0,0.0
84450cdffffffff,16.0,0.0,0.0,0.0
84450d3ffffffff,4.0,0.0,0.0,0.0
84450e1ffffffff,3.0,0.0,0.0,0.0
84450e3ffffffff,4.0,0.0,0.0,0.0
84450ebffffffff,77.0,2.0,0.0,0.0
844519bffffffff,1.0,0.0,0.0,0.0
8445201ffffffff,4.0,0.0,0.0,0.0
8445203ffffffff,29.0,4.0,0.0,0.0
8445205ffffffff,13.0,0.0,0.0,0.0
8445207ffffffff,14.0,0.0,0.0,0.0
844520bffffffff,30.0,1.0,0.0,0.0
844520dffffffff,65.0,0.0,0.0,0.0
8445213ffffffff,17.0,0.0,0.0,0.0
8445215ffffffff,334.0,0.0,0.0,0.0
8445217ffffffff,54.0,0.0,0.0,0.0
8445219ffffffff,1.0,0.0,0.0,0.0
844521dffffffff,23.0,6.0,0.0,0.0
8445221ffffffff,22.0,0.0,0.0,0.0
8445223ffffffff,2.0,0.0,0.0,0.0
8445225ffffffff,231.0,0.0,0.0,0.0
844522bffffffff,25.0,0.0,0.0,0.0
844522dffffffff,2.0,0.0,0.0,0.0
8445233ffffffff,103.0,0.0,0.0,0.0
844523bffffffff,27.0,0.0,0.0,0.0
8445243ffffffff,24.0,0.0,0.0,0.0
8445247ffffffff,8.0,0.0,0.0,0.0
8445249ffffffff,8.0,0.0,0.0,0.0
844524bffffffff,19.0,0.0,0.0,0.0
8445253ffffffff,4.0,4.0,0.0,0.0
8445255ffffffff,1.0,0.0,0.0,0.0
8445257ffffffff,3.0,0.0,0.0,0.0
844525bffffffff,7.0,2.0,0.0,0.0
844525dffffffff,5.0,3.0,0.0,0.0
8445261ffffffff,5.0,0.0,0.0,0.0
8445263ffffffff,161.0,0.0,0.0,0.0
8445267ffffffff,4.0,0.0,0.0,0.0
844526bffffffff,11.0,0.0,0.0,0.0
8445281ffffffff,9.0,0.0,0.0,0.0
8445283ffffffff,7.0,2.0,0.0,0.0
8445285ffffffff,6.0,2.0,0.0,0.0
8445287ffffffff,80.0,8.0,0.0,0.0
8445289ffffffff,67.0,3.0,0.0,0.0
844528dffffffff,36.0,0.0,0.0,0.0
84452a5ffffffff,51.0,0.0,0.0,0.0
84452a7ffffffff,2.0,0.0,0.0,0.0
84452a9ffffffff,208.0,0.0,0.0,0.0
84452abffffffff,12.0,0.0,0.0,0.0
84452adffffffff,296.0,0.0,0.0,0.0
84452b1ffffffff,1.0,0.0,0.0,0.0
84452b5ffffffff,8.0,3.0,0.0,0.0
84452b9ffffffff,85.0,17.0,0.0,0.0
84452bdffffffff,37.0,3.0,0.0,0.0
84452c1ffffffff,10.0,0.0,0.0,0.0
84452c3ffffffff,237.0,28.0,0.0,0.0
84452c5ffffffff,8.0,2.0,0.0,0.0
84452c7ffffffff,73.0,0.0,0.0,0.0
84452c9ffffffff,4.0,0.0,0.0,0.0
84452cbffffffff,4.0,0.0,0.0,0.0
84452d5ffffffff,6.0,0.0,0.0,0.0
84452d9ffffffff,28.0,9.0,0.0,0.0
84452dbffffffff,16.0,0.0,0.0,0.0
84452e1ffffffff,902.0,0.0,0.0,0.0
84452e3ffffffff,244.0,0.0,0.0,0.0
84452e5ffffffff,121.0,0.0,0.0,0.0
84452e7ffffffff,51.0,0.0,0.0,0.0
84452e9ffffffff,24.0,0.0,0.0,0.0
84452ebffffffff,272.0,35.0,0.0,0.0
84452edffffffff,101.0,0.0,0.0,0.0
8445305ffffffff,3.0,0.0,0.0,0.0
8445309ffffffff,5.0,0.0,0.0,0.0
8445319ffffffff,7.0,0.0,0.0,0.0
844532bffffffff,7.0,0.0,0.0,0.0
8445343ffffffff,21.0,0.0,0.0,0.0
8445351ffffffff,63.0,0.0,0.0,0.0
8445353ffffffff,11.0,0.0,0.0,0.0
8445363ffffffff,8.0,0.0,0.0,0.0
8445365ffffffff,23.0,0.0,0.0,0.0
8445649ffffffff,20.0,0.0,0.0,0.0
8445721ffffffff,8.0,0.0,0.0,0.0
844802bffffffff,11.0,0.0,0.0,0.0
8448035ffffffff,3.0,0.0,0.0,0.0
8448065ffffffff,10.0,0.0,0.0,0.0
844806dffffffff,3.0,0.0,0.0,0.0
84480a5ffffffff,2.0,0.0,0.0,0.0
84480adffffffff,83.0,0.0,0.0,0.0
84480e1ffffffff,1.0,0.0,0.0,0.0
844811bffffffff,1.0,0.0,0.0,0.0
844815bffffffff,6.0,0.0,0.0,0.0
84481d9ffffffff,2.0,0.0,0.0,0.0
84481dbffffffff,1.0,0.0,0.0,0.0
8448325ffffffff,2.0,0.0,0.0,0.0
8448331ffffffff,16.0,0.0,0.0,0.0
8448333ffffffff,8.0,0.0,0.0,0.0
8448337ffffffff,59.0,0.0,0.0,0.0
844833bffffffff,21.0,0.0,0.0,0.0
844833dffffffff,2.0,0.0,0.0,0.0
8448361ffffffff,275.0,0.0,0.0,0.0
8448363ffffffff,288.0,0.0,0.0,0.0
