cell_id,Sula leucogaster,Sula leucogaster leucogaster,Sula leucogaster plotus
842f415ffffffff,1.0,0.0,1.0
842f5d1ffffffff,9.0,0.0,0.0
842f5d7ffffffff,10.0,0.0,0.0
842f5d9ffffffff,5.0,0.0,3.0
842f61bffffffff,3.0,0.0,3.0
842f65bffffffff,1.0,0.0,1.0
842f6e7ffffffff,4.0,0.0,4.0
8430d83ffffffff,2.0,0.0,0.0
8430d9bffffffff,2.0,0.0,0.0
843e411ffffffff,4.0,0.0,0.0
843e457ffffffff,4.0,0.0,0.0
843e4cbffffffff,1.0,0.0,0.0
843e4ddffffffff,1.0,0.0,0.0
843e689ffffffff,7.0,0.0,2.0
843e68dffffffff,321.0,0.0,18.0
843e6a1ffffffff,1.0,0.0,0.0
8441b41ffffffff,3.0,0.0,0.0
8441b4bffffffff,1.0,0.0,0.0
8441b55ffffffff,4.0,0.0,0.0
8444045ffffffff,1.0,1.0,0.0
8444061ffffffff,2.0,0.0,0.0
8444069ffffffff,2.0,0.0,0.0
844406bffffffff,3.0,0.0,0.0
8444109ffffffff,4.0,0.0,0.0
844410bffffffff,28.0,0.0,0.0
8444141ffffffff,43.0,0.0,0.0
8444143ffffffff,351.0,0.0,0.0
8444145ffffffff,9.0,0.0,0.0
8444147ffffffff,62.0,0.0,0.0
844414dffffffff,1.0,0.0,0.0
8444155ffffffff,12.0,0.0,0.0
844415dffffffff,720.0,0.0,0.0
8444161ffffffff,1.0,0.0,0.0
8444165ffffffff,52.0,0.0,0.0
844416bffffffff,50.0,0.0,0.0
8444241ffffffff,2.0,0.0,0.0
8444249ffffffff,10.0,0.0,0.0
844424dffffffff,15.0,0.0,0.0
8444265ffffffff,2.0,0.0,0.0
844426dffffffff,2.0,0.0,0.0
84442d9ffffffff,1.0,0.0,0.0
84442e1ffffffff,2.0,0.0,0.0
8444307ffffffff,3.0,0.0,0.0
8444319ffffffff,4.0,0.0,0.0
8444323ffffffff,1.0,0.0,0.0
8444327ffffffff,1.0,0.0,0.0
844432bffffffff,4.0,0.0,0.0
8444331ffffffff,2.0,0.0,0.0
8444335ffffffff,2.0,0.0,0.0
8444351ffffffff,2.0,0.0,0.0
8444353ffffffff,2.0,0.0,0.0
8444355ffffffff,9.0,0.0,0.0
8444357ffffffff,1.0,0.0,0.0
8444359ffffffff,5.0,0.0,0.0
8444609ffffffff,5.0,0.0,0.0
8444613ffffffff,3.0,0.0,0.0
844461bffffffff,1.0,0.0,0.0
8444655ffffffff,4.0,0.0,0.0
84446c1ffffffff,46.0,0.0,0.0
84446c5ffffffff,2.0,0.0,0.0
84446cdffffffff,12.0,0.0,0.0
8444859ffffffff,10.0,0.0,0.0
8444861ffffffff,5.0,0.0,0.0
8444869ffffffff,2.0,0.0,0.0
8444a11ffffffff,2.0,0.0,0.0
8444a19ffffffff,11.0,0.0,0.0
8444a1dffffffff,39.0,0.0,0.0
8444a23ffffffff,2.0,0.0,0.0
8444a33ffffffff,1.0,0.0,0.0
8444a3bffffffff,2.0,0.0,0.0
8444a51ffffffff,6.0,0.0,0.0
8444a53ffffffff,5.0,0.0,0.0
8444a57ffffffff,75.0,0.0,0.0
8444a59ffffffff,1.0,0.0,0.0
8444a5bffffffff,10.0,0.0,0.0
8444a5dffffffff,4.0,0.0,0.0
8444b13ffffffff,2.0,0.0,0.0
8444b17ffffffff,2.0,0.0,0.0
8444b63ffffffff,3.0,0.0,0.0
8445019ffffffff,21.0,0.0,0.0
8445033ffffffff,4.0,0.0,0.0
8445043ffffffff,11.0,2.0,0.0
8445051ffffffff,12.0,0.0,0.0
8445053ffffffff,78.0,5.0,0.0
8445057ffffffff,4.0,0.0,0.0
8445059ffffffff,81.0,1.0,0.0
844505bffffffff,167.0,8.0,0.0
8445093ffffffff,13.0,4.0,0.0
8445097ffffffff,3.0,0.0,0.0
84450a5ffffffff,2.0,0.0,0.0
84450a9ffffffff,1.0,0.0,0.0
84450adffffffff,24.0,0.0,0.0
84450b1ffffffff,10.0,4.0,0.0
84450b5ffffffff,24.0,0.0,0.0
84450e1ffffffff,42.0,0.0,0.0
84450e7ffffffff,2.0,0.0,0.0
8445101ffffffff,3.0,0.0,0.0
844510dffffffff,10.0,0.0,0.0
8445111ffffffff,1.0,0.0,0.0
8445121ffffffff,1.0,0.0,0.0
8445183ffffffff,1.0,0.0,0.0
8445197ffffffff,4.0,0.0,0.0
844519dffffffff,4.0,0.0,0.0
84451b3ffffffff,1.0,0.0,0.0
84451b7ffffffff,5.0,0.0,0.0
84451bbffffffff,2.0,0.0,0.0
84451d9ffffffff,2.0,0.0,0.0
8445207ffffffff,7.0,0.0,0.0
8445215ffffffff,21.0,0.0,0.0
844521dffffffff,3.0,0.0,0.0
8445221ffffffff,22.0,0.0,0.0
8445223ffffffff,25.0,0.0,0.0
8445225ffffffff,3.0,0.0,0.0
8445227ffffffff,2.0,0.0,0.0
844522bffffffff,2.0,0.0,0.0
8445231ffffffff,25.0,0.0,0.0
8445233ffffffff,47.0,0.0,0.0
8445237ffffffff,99.0,8.0,0.0
8445239ffffffff,18.0,0.0,0.0
8445313ffffffff,9.0,0.0,0.0
8445315ffffffff,2.0,0.0,0.0
8445317ffffffff,3.0,0.0,0.0
8445319ffffffff,11.0,0.0,0.0
8445335ffffffff,2.0,0.0,0.0
844533bffffffff,5.0,0.0,0.0
84454a5ffffffff,2.0,0.0,0.0
8445589ffffffff,2.0,0.0,0.0
84455a9ffffffff,2.0,0.0,0.0
84455adffffffff,4.0,0.0,0.0
8445721ffffffff,24.0,4.0,0.0
8445847ffffffff,136.0,0.0,0.0
8445883ffffffff,2.0,0.0,0.0
8445893ffffffff,2.0,0.0,0.0
844589bffffffff,4.0,0.0,0.0
8445933ffffffff,1.0,0.0,0.0
8445937ffffffff,2.0,0.0,0.0
8445981ffffffff,13.0,7.0,0.0
8445989ffffffff,2.0,0.0,0.0
844598bffffffff,11.0,0.0,0.0
844598dffffffff,3.0,0.0,0.0
844599dffffffff,1.0,0.0,0.0
84459d7ffffffff,2.0,0.0,0.0
8445a5dffffffff,1.0,0.0,0.0
8445a6bffffffff,4.0,0.0,0.0
8445b07ffffffff,4.0,0.0,0.0
8445b23ffffffff,1.0,0.0,0.0
8445b27ffffffff,2.0,0.0,0.0
8445b29ffffffff,3.0,0.0,0.0
8445b3dffffffff,2.0,0.0,0.0
8446065ffffffff,2.0,0.0,0.0
8446081ffffffff,3.0,0.0,0.0
8446083ffffffff,13.0,0.0,0.0
